,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAEI Emissions - PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,LAEI Emissions - PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2016,,,,,,,,,Year,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sum of PM2.5 Emissions tpa,Zone,,,,,,,,,Sum of PM2.5 Emissions tpa,Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greater London,,,Greater London Total,External,LAEI (Grand Total),,,,Source,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,
,Source,Central,Inner,Outer,,,,,,,Domestic, 	26.0 , 	39.7 , 	35.0 , 	27.5 , 	44.2 , 	9.1 , 	0.1 , 	8.7 , 	46.0 , 	35.8 , 	37.8 , 	25.9 , 	11.3 , 	12.8 , 	22.8 , 	31.1 , 	37.3 , 	34.2 , 	26.3 , 	9.3 , 	9.6 , 	20.6 , 	19.0 , 	26.8 , 	25.6 , 	25.5 , 	35.2 , 	24.8 , 	13.6 , 	24.5 , 	6.1 , 	29.7 , 	24.8 , 	253.9 ,
,Domestic, 	4.5 , 	195.0 , 	607.5 , 	806.9 , 	253.9 ," 	1,060.8 ",,,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Biomass,,,,,,,,,,Wood Burning, 	20.8 , 	28.9 , 	27.5 , 	20.0 , 	33.2 , 	4.8 , 	0.0 , 	4.4 , 	34.3 , 	26.9 , 	28.8 , 	19.4 , 	6.7 , 	8.5 , 	16.2 , 	23.8 , 	29.1 , 	26.2 , 	19.8 , 	5.2 , 	5.6 , 	15.8 , 	12.1 , 	19.3 , 	19.3 , 	18.8 , 	27.3 , 	18.5 , 	8.2 , 	18.6 , 	2.8 , 	22.5 , 	17.1 , 	190.9 ,
,Wood Burning, 	1.4 , 	128.3 , 	460.8 , 	590.4 , 	190.9 , 	781.4 ,,,,Heat and Power Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
