,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAEI Emissions – PM2.5 Summary by Zone (tonnes/year),,,,,,,,,,LAEI Emissions – PM2.5 Summary by Borough (tonnes/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM2.5 Emissions (tonnes/annum),Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLA,,,GLA Total,Non GLA,LAEI (Grand Total),,,,PM2.5 Emissions (tonnes/annum),Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Source,Central,Inner,Outer,,,,,,,Row Labels,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,Grand Total,
,Domestic, 	5.54 , 	231.09 , 	580.63 , 	817.26 , 	150.57 , 	967.83 ,,,,Domestic, 	25.93 , 	40.13 , 	34.69 , 	27.77 , 	44.01 , 	9.86 , 	0.15 , 	9.78 , 	46.15 , 	36.06 , 	37.97 , 	26.28 , 	11.93 , 	13.51 , 	22.86 , 	31.09 , 	37.37 , 	34.01 , 	25.92 , 	10.26 , 	10.60 , 	20.44 , 	19.68 , 	27.70 , 	25.73 , 	25.63 , 	35.39 , 	24.72 , 	14.58 , 	24.75 , 	6.67 , 	29.99 , 	25.35 , 	150.86 , 	967.83 ,
,Biomass, 	1.98 , 	145.73 , 	421.19 , 	568.90 , 	92.10 , 	661.00 ,,,,Biomass, 	19.90 , 	27.81 , 	26.14 , 	19.10 , 	31.53 , 	4.98 , 	0.02 , 	4.80 , 	33.09 , 	25.71 , 	27.58 , 	18.66 , 	6.56 , 	8.63 , 	15.33 , 	22.79 , 	28.01 , 	24.76 , 	18.38 , 	5.53 , 	6.11 , 	14.98 , 	11.72 , 	19.04 , 	18.43 , 	17.96 , 	26.20 , 	17.49 , 	8.53 , 	17.96 , 	2.83 , 	21.70 , 	16.47 , 	92.29 , 	661.00 ,
,Wood Burning, 	1.98 , 	145.73 , 	421.19 , 	568.90 , 	92.10 , 	661.00 ,,,,Wood Burning, 	19.90 , 	27.81 , 	26.14 , 	19.10 , 	31.53 , 	4.98 , 	0.02 , 	4.80 , 	33.09 , 	25.71 , 	27.58 , 	18.66 , 	6.56 , 	8.63 , 	15.33 , 	22.79 , 	28.01 , 	24.76 , 	18.38 , 	5.53 , 	6.11 , 	14.98 , 	11.72 , 	19.04 , 	18.43 , 	17.96 , 	26.20 , 	17.49 , 	8.53 , 	17.96 , 	2.83 , 	21.70 , 	16.47 , 	92.29 , 	661.00 ,
,Heat and Power Generation, 	3.56 , 	85.27 , 	158.35 , 	247.18 , 	57.92 , 	305.09 ,,,,Heat and Power Generation, 	6.02 , 	12.22 , 	8.49 , 	8.64 , 	12.35 , 	4.88 , 	0.14 , 	4.98 , 	12.97 , 	10.31 , 	10.32 , 	7.59 , 	5.37 , 	4.88 , 	7.51 , 	8.23 , 	9.26 , 	9.15 , 	7.50 , 	4.73 , 	4.49 , 	5.42 , 	7.95 , 	8.65 , 	7.27 , 	7.66 , 	9.16 , 	7.20 , 	6.05 , 	6.73 , 	3.84 , 	8.28 , 	8.87 , 	58.02 , 	305.09 ,
,Gas Combustion, 	2.87 , 	64.99 , 	111.32 , 	179.18 , 	27.38 , 	206.56 ,,,,Gas Combustion, 	3.40 , 	9.69 , 	5.43 , 	6.83 , 	9.02 , 	4.20 , 	0.14 , 	4.27 , 	9.15 , 	7.44 , 	6.93 , 	5.06 , 	4.36 , 	3.91 , 	5.58 , 	6.34 , 	5.99 , 	6.45 , 	5.25 , 	4.00 , 	3.85 , 	3.95 , 	6.18 , 	5.93 , 	4.78 , 	4.88 , 	6.44 , 	5.25 , 	4.63 , 	4.60 , 	3.13 , 	5.34 , 	6.76 , 	27.40 , 	206.56 ,
,Oil/Coal Combustion, 	0.69 , 	20.28 , 	47.03 , 	67.99 , 	30.54 , 	98.53 ,,,,Oil/Coal Combustion, 	2.61 , 	2.52 , 	3.06 , 	1.81 , 	3.33 , 	0.68 , 	0.00 , 	0.71 , 	3.82 , 	2.87 , 	3.39 , 	2.53 , 	1.01 , 	0.97 , 	1.93 , 	1.89 , 	3.27 , 	2.69 , 	2.25 , 	0.73 , 	0.64 , 	1.47 , 	1.76 , 	2.72 , 	2.49 , 	2.78 , 	2.72 , 	1.95 , 	1.42 , 	2.13 , 	0.72 , 	2.93 , 	2.11 , 	30.61 , 	98.53 ,
,Machinery, 	0.00 , 	0.10 , 	1.09 , 	1.19 , 	0.55 , 	1.74 ,,,,Machinery, 	0.02 , 	0.11 , 	0.06 , 	0.04 , 	0.14 , 	0.01 , 	0.00 , 	0.00 , 	0.09 , 	0.04 , 	0.07 , 	0.03 , 	0.00 , 	0.00 , 	0.01 , 	0.07 , 	0.09 , 	0.10 , 	0.04 , 	0.00 , 	0.00 , 	0.04 , 	0.01 , 	0.02 , 	0.03 , 	0.00 , 	0.04 , 	0.03 , 	0.01 , 	0.05 , 	0.00 , 	0.02 , 	0.01 , 	0.55 , 	1.74 ,
,Household and Garden NRMM, 	0.00 , 	0.10 , 	1.09 , 	1.19 , 	0.55 , 	1.74 ,,,,Household and Garden NRMM, 	0.02 , 	0.11 , 	0.06 , 	0.04 , 	0.14 , 	0.01 , 	0.00 , 	0.00 , 	0.09 , 	0.04 , 	0.07 , 	0.03 , 	0.00 , 	0.00 , 	0.01 , 	0.07 , 	0.09 , 	0.10 , 	0.04 , 	0.00 , 	0.00 , 	0.04 , 	0.01 , 	0.02 , 	0.03 , 	0.00 , 	0.04 , 	0.03 , 	0.01 , 	0.05 , 	0.00 , 	0.02 , 	0.01 , 	0.55 , 	1.74 ,
,Industrial and Commercial, 	183.27 , 	483.64 , 	610.12 ," 	1,277.04 ", 	136.75 ," 	1,413.79 ",,,,Industrial and Commercial, 	35.23 , 	36.78 , 	50.64 , 	45.07 , 	33.48 , 	62.60 , 	37.33 , 	136.96 , 	34.78 , 	41.42 , 	41.50 , 	43.10 , 	23.91 , 	26.76 , 	15.17 , 	21.51 , 	26.74 , 	98.15 , 	50.21 , 	30.13 , 	30.93 , 	21.80 , 	26.76 , 	15.61 , 	22.31 , 	55.44 , 	19.64 , 	24.15 , 	32.73 , 	25.81 , 	62.03 , 	13.57 , 	34.72 , 	136.84 ," 	1,413.79 ",
,Heat and Power Generation, 	20.66 , 	72.38 , 	111.53 , 	204.57 , 	43.16 , 	247.73 ,,,,Heat and Power Generation, 	6.79 , 	5.66 , 	7.53 , 	7.14 , 	5.96 , 	8.79 , 	5.40 , 	23.79 , 	3.55 , 	8.54 , 	6.16 , 	6.00 , 	2.86 , 	3.92 , 	2.69 , 	2.07 , 	4.79 , 	33.11 , 	4.96 , 	3.81 , 	3.04 , 	2.97 , 	3.04 , 	1.78 , 	3.12 , 	9.61 , 	3.00 , 	2.47 , 	5.02 , 	2.76 , 	8.14 , 	3.12 , 	2.93 , 	43.23 , 	247.73 ,
,Gas Combustion, 	10.77 , 	24.29 , 	19.22 , 	54.28 , 	5.64 , 	59.92 ,,,,Gas Combustion, 	0.58 , 	1.53 , 	0.95 , 	1.69 , 	1.05 , 	4.39 , 	2.15 , 	6.91 , 	1.31 , 	1.94 , 	1.61 , 	1.45 , 	1.05 , 	1.58 , 	0.96 , 	0.66 , 	0.69 , 	1.91 , 	1.61 , 	1.90 , 	2.41 , 	0.68 , 	2.05 , 	1.08 , 	0.83 , 	1.45 , 	0.72 , 	0.80 , 	2.80 , 	0.74 , 	2.38 , 	0.82 , 	1.56 , 	5.65 , 	59.92 ,
