,PM2.5 Pivot Table by Borough,,"Select the Year in cell C5. Alternative breakdown of emissions can be displayed in the table, by ticking/unticking relevant fields in the ""PivotTable Field List"" on the right hand side. To display the PivotTable Field List (if not visible), click anywhere in the table --> Menu ""PivotTable Tools"" --> click on ""Field List"" (in the ""Show"" category)",,,,,,,,,,,
,Emissions in Tonnes/Year,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Year,2013,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Borough, Road Transport, Aviation, River, Rail, Industry, NRMM, Domestic and Commercial Gas, Domestic and Commercial Other Fuels, Other, Resuspension, C&D Dust, Total,
,Barking and Dagenham, 	26.1 , 	-   , 	8.0 , 	0.4 , 	11.5 , 	15.1 , 	1.9 , 	8.4 , 	5.0 , 	0.9 , 	0.3 , 	77.5 ,
,Barnet, 	72.5 , 	0.0 , 	-   , 	3.7 , 	4.6 , 	23.3 , 	5.5 , 	3.2 , 	9.5 , 	2.2 , 	0.5 , 	124.9 ,
,Bexley, 	36.6 , 	0.2 , 	4.7 , 	0.2 , 	13.7 , 	11.3 , 	3.0 , 	4.2 , 	6.6 , 	1.1 , 	0.2 , 	81.8 ,
,Brent, 	41.0 , 	0.0 , 	-   , 	2.6 , 	5.5 , 	8.2 , 	4.4 , 	2.4 , 	6.5 , 	1.2 , 	0.2 , 	72.0 ,
,Bromley, 	52.8 , 	0.4 , 	-   , 	0.2 , 	0.8 , 	14.2 , 	4.8 , 	3.8 , 	11.0 , 	1.3 , 	0.3 , 	89.6 ,
,Camden, 	29.8 , 	-   , 	-   , 	2.9 , 	0.3 , 	12.2 , 	5.9 , 	1.4 , 	3.6 , 	0.8 , 	0.2 , 	57.0 ,
,City, 	10.8 , 	0.0 , 	0.8 , 	-   , 	-   , 	0.8 , 	2.1 , 	0.3 , 	0.5 , 	0.3 , 	0.0 , 	15.7 ,
,City of Westminster, 	52.0 , 	-   , 	0.8 , 	2.7 , 	-   , 	8.0 , 	9.2 , 	1.9 , 	4.0 , 	1.4 , 	0.1 , 	80.0 ,
,Croydon, 	48.6 , 	0.0 , 	-   , 	0.2 , 	3.3 , 	8.8 , 	5.0 , 	3.3 , 	9.4 , 	1.3 , 	0.2 , 	80.1 ,
,Ealing, 	55.2 , 	0.0 , 	-   , 	15.0 , 	1.7 , 	14.9 , 	5.2 , 	4.3 , 	8.1 , 	1.6 , 	0.3 , 	106.3 ,
,Enfield, 	66.6 , 	0.0 , 	-   , 	0.4 , 	9.0 , 	5.8 , 	4.3 , 	3.7 , 	8.1 , 	2.6 , 	0.1 , 	100.5 ,
