NRMM/Agriculture/Other-ALL,CO2_TA,Methane_TA,SO2_TA,NOx_TA,NO2_TA,NMVOC_TA,CO_TA,HC_TA,Benzene_TA,Butadiene_TA,PM_TA,PM10_TA,PM25_TA,N2O_TA,Lead_TA,NH3_TA
Enfield,10414.2,14.8,3.4,114.5,,68.9,553.2,,2.0,0.5,22.4,20.1,15.7,19.4,,19.8
Barnet,5606.7,7.5,1.5,51.7,,67.0,501.0,,1.9,0.4,20.9,18.0,14.9,5.8,,10.2
Waltham Forest,2899.0,2.0,0.9,31.4,,29.5,192.0,,0.7,0.2,7.4,6.9,5.6,1.2,,0.8
Harrow,4001.8,4.1,1.1,38.3,,45.9,351.1,,1.3,0.3,13.0,11.4,9.7,2.0,,3.5
Redbridge,2726.3,2.8,0.8,24.8,,37.4,244.1,,0.9,0.2,10.0,9.1,7.5,8.4,,9.4
Havering,12086.6,23702.9,4.0,129.0,,1081.0,638.5,,11.4,2.2,28.5,24.9,19.2,39.3,,111.6
Hillingdon,11159.4,19202.2,3.5,116.7,,907.7,706.7,,10.0,1.9,30.1,25.8,20.4,12.1,,74.8
Brent,19885.8,5.5,6.7,235.5,,81.4,850.5,,2.9,0.8,35.9,31.7,23.7,8.2,,1.6
Haringey,2591.8,1.7,0.8,28.3,,20.2,170.4,,0.6,0.1,6.8,6.3,5.0,1.0,,0.4
Barking and Dagenham,8352.3,14.3,2.8,96.9,,39.0,398.1,,1.4,0.4,15.9,14.3,11.0,6.9,,5.6
Hackney,8514.7,2.1,3.0,102.9,,31.2,323.2,,1.1,0.3,14.2,12.7,9.2,3.5,,0.3
Camden,21493.8,4.5,7.5,260.9,,75.0,778.5,,2.6,0.8,34.1,30.0,21.6,9.0,,0.8
Islington,40046.9,6.8,14.0,487.9,,127.9,1405.0,,4.7,1.4,62.8,54.9,39.3,16.8,,0.4
Newham,37715.3,31.6,13.2,458.0,,126.7,1367.3,,4.6,1.4,59.7,52.6,38.0,21.2,,8.8
Ealing,13054.9,5.8,4.3,149.4,,67.0,658.5,,2.3,0.6,26.3,23.2,18.1,5.2,,2.8
Tower Hamlets,86881.8,14.1,30.5,1058.6,,276.1,3032.0,,10.1,3.1,136.2,118.5,84.9,36.4,,0.8
Hammersmith and Fulham,15115.0,3.2,5.3,183.4,,50.7,551.0,,1.8,0.5,24.3,21.4,15.5,6.3,,0.5
City of Westminster,18275.5,4.1,6.4,222.1,,60.8,655.5,,2.2,0.7,28.4,25.1,18.1,7.7,,0.9
Kensington and Chelsea,6945.8,1.7,2.4,84.3,,24.1,257.5,,0.8,0.3,10.9,9.7,7.1,2.9,,0.2
Southwark,20846.9,4.4,7.2,251.2,,75.7,800.5,,2.7,0.8,34.7,30.5,22.4,8.6,,0.4
Greenwich,18597.0,16.5,6.3,218.9,,85.3,813.6,,2.8,0.8,34.1,30.1,22.8,10.2,,4.9
Bexley,8005.7,1498.1,2.5,86.2,,122.8,501.1,,2.4,0.6,18.3,16.5,13.5,13.8,,19.4
Hounslow,11191.3,18.2,3.6,126.1,,59.7,582.7,,2.1,0.5,24.7,21.5,16.6,7.1,,8.0
Richmond,4264.8,11.5,1.3,41.8,,48.8,318.6,,1.2,0.3,13.5,11.5,9.3,2.9,,7.0
Lewisham,3150.3,2.0,0.9,32.0,,27.6,258.9,,1.0,0.2,10.2,9.2,7.6,1.1,,0.4
Wandsworth,17512.5,4.5,6.0,209.0,,71.8,714.3,,2.4,0.7,31.1,27.2,20.2,7.2,,1.1
Lambeth,10179.9,2.7,3.4,120.4,,42.8,451.2,,1.6,0.4,19.1,17.0,12.8,4.1,,0.2
Kingston,1749.1,2.0,0.4,14.5,,27.8,188.0,,0.7,0.2,7.4,6.6,5.6,3.2,,4.0
Merton,5059.2,2.5,1.6,54.5,,37.5,324.2,,1.2,0.3,12.6,11.3,9.1,1.9,,0.9
Bromley,6781.2,8.1,1.9,56.4,,120.5,597.9,,2.3,0.5,25.6,22.3,18.5,35.4,,42.6
Croydon,18843.7,6.9,6.2,214.2,,121.6,956.8,,3.4,0.9,40.4,35.5,27.6,10.8,,6.5
Sutton,3752.3,14855.1,1.0,36.5,,657.5,318.5,,7.0,1.3,12.2,10.9,9.1,4.8,,49.3
City,44520.3,7.0,15.6,542.9,,139.6,1538.3,,5.1,1.6,69.2,60.1,42.9,18.7,,0.4
NonGLA,50011.0,28870.6,16.8,482.1,,1942.5,2911.2,,21.6,4.5,169.8,125.5,91.4,263.9,,530.9
Total LAEI,552232.8,88341.7,186.7,6361.1,,6799.1,24909.8,,120.8,29.8,1110.6,952.3,714.1,606.9,,929.1
Total ALL,552232.8,88341.7,186.7,6361.1,,6799.1,24909.8,,120.8,29.8,1110.6,952.3,714.1,606.9,,929.1
