,,2012,,,,,,,,,
Road - All Sources,Mode,CO2,NOx,PM10 Exhaust,PM10 Brake,PM10 Tyre,PM10_Total,PM25 Exhaust,PM25 Brake,PM25 Tyre,PM25_Total
Total LAEI,,9780673.5,30472.2,686.5,1834.5,459.5,2980.5,612.2,730.1,321.7,1663.9
Central Total,All Modes,257066.5,1060.1,29.8,44.4,8.3,82.5,26.7,17.7,5.8,50.2
Central,Motorcycle,8059.7,7.5,0.8,1.2,0.2,2.3,0.6,0.5,0.2,1.3
Central,Taxi,43717.3,152.2,11.1,5.9,1.3,18.2,9.9,2.3,0.9,13.2
Central,PetrolCar,58303.7,51.3,0.6,10.0,2.2,12.8,0.5,4.0,1.5,6.0
Central,DieselCar,34144.1,133.9,5.8,6.9,1.5,14.2,5.2,2.8,1.1,9.0
Central,PetrolLgv,1011.9,1.7,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Central,DieselLgv,26218.9,98.8,6.7,6.1,1.3,14.2,6.1,2.4,0.9,9.4
Central,LTBus,45123.7,326.8,1.8,6.6,0.7,9.1,1.7,2.6,0.5,4.7
Central,Coach,14964.2,111.6,1.2,1.6,0.2,3.0,1.1,0.7,0.1,1.9
Central,Rigid,21055.3,145.7,1.5,5.4,0.6,7.5,1.3,2.1,0.5,3.9
Central,Artic,4467.6,30.6,0.3,0.6,0.2,1.0,0.2,0.2,0.1,0.6
Inner Total,All Modes,1912672.7,6686.5,144.4,415.6,83.4,643.4,128.9,165.4,58.4,352.7
Inner,Motorcycle,33258.4,34.9,3.7,5.7,1.1,10.5,3.1,2.3,0.8,6.1
Inner,Taxi,90603.5,350.6,21.0,14.1,3.2,38.4,18.9,5.6,2.2,26.7
Inner,PetrolCar,687278.6,580.4,7.9,140.3,31.4,179.6,6.6,55.8,22.0,84.4
Inner,DieselCar,423034.2,1586.5,51.9,97.5,21.8,171.2,46.6,38.8,15.3,100.7
Inner,PetrolLgv,7569.7,13.9,0.1,1.7,0.4,2.2,0.0,0.7,0.3,1.0
Inner,DieselLgv,200773.6,761.4,34.8,55.9,12.7,103.4,31.2,22.2,8.9,62.4
Inner,LTBus,177708.0,1374.8,6.9,33.8,3.6,44.2,6.2,13.4,2.5,22.1
Inner,Coach,60841.4,465.9,4.6,8.4,0.9,14.0,4.1,3.4,0.6,8.1
Inner,Rigid,178520.7,1183.1,11.0,50.4,6.3,67.7,9.9,20.1,4.4,34.3
Inner,Artic,53084.5,335.0,2.6,7.6,2.1,12.3,2.3,3.0,1.5,6.8
Outer Total,All Modes,4471413.6,13623.3,305.7,947.6,220.4,1473.8,272.6,377.1,154.3,804.0
Outer,Motorcycle,33602.3,46.9,4.3,5.8,1.2,11.2,3.6,2.3,0.8,6.7
Outer,Taxi,87150.0,341.8,18.0,13.1,3.3,34.4,16.2,5.2,2.3,23.7
Outer,PetrolCar,1840215.3,1665.3,24.7,371.9,92.0,488.6,20.5,148.0,64.4,233.0
