NRMM/Agriculture/Other-ALL,CO2_TA,Methane_TA,SO2_TA,NOx_TA,NO2_TA,NMVOC_TA,CO_TA,HC_TA,Benzene_TA,Butadiene_TA,PM_TA,PM10_TA,PM25_TA,N2O_TA,Lead_TA,NH3_TA
Enfield,9124.8,15.0,3.0,98.6,,65.2,512.6,,1.8,0.5,22.6,19.5,15.0,18.9,,19.9
Barnet,5197.1,7.4,1.3,45.8,,67.4,504.9,,1.9,0.4,28.8,21.6,16.2,5.6,,10.1
Waltham Forest,2559.5,2.0,0.8,27.1,,28.7,183.6,,0.6,0.2,9.4,7.7,5.7,1.0,,0.8
Harrow,3623.1,4.1,0.9,33.4,,45.0,342.1,,1.3,0.3,14.3,11.8,9.7,1.8,,3.4
Redbridge,2522.1,2.7,0.7,22.1,,37.2,241.5,,0.9,0.2,12.8,10.4,7.9,8.3,,9.4
Havering,10782.1,24626.3,3.5,112.1,,1117.4,612.3,,11.7,2.2,34.4,27.1,19.6,38.8,,114.3
Hillingdon,9820.5,19949.8,3.0,100.8,,933.9,650.2,,10.1,1.9,28.8,23.8,19.1,11.6,,77.0
Brent,17030.5,5.1,5.7,200.1,,73.3,762.4,,2.7,0.7,32.3,28.2,21.3,7.0,,1.6
Haringey,2282.0,1.6,0.7,24.4,,19.5,162.9,,0.6,0.1,10.0,7.8,5.4,0.8,,0.4
Barking and Dagenham,7258.1,14.6,2.4,82.8,,36.9,375.4,,1.3,0.4,22.8,17.4,11.7,6.5,,5.7
Hackney,7238.3,1.9,2.5,87.3,,27.3,280.4,,0.9,0.3,12.2,11.0,8.0,3.0,,0.3
Camden,18225.8,4.0,6.4,221.0,,64.8,666.3,,2.2,0.7,26.2,24.1,18.1,7.6,,0.7
Islington,33910.0,5.8,11.9,413.1,,108.8,1194.0,,4.0,1.2,45.9,42.9,32.3,14.2,,0.3
Newham,32024.8,31.7,11.2,388.1,,109.9,1181.1,,3.9,1.2,62.2,50.9,34.6,19.0,,9.0
Ealing,11279.2,5.5,3.6,127.4,,61.9,602.3,,2.2,0.6,27.6,22.9,17.2,4.4,,2.8
Tower Hamlets,73595.4,12.1,25.8,896.2,,235.2,2581.1,,8.6,2.6,102.2,93.8,70.1,30.8,,0.7
Hammersmith and Fulham,12819.7,2.8,4.5,155.4,,43.6,472.7,,1.6,0.5,19.5,17.7,13.1,5.3,,0.5
City of Westminster,15493.8,3.6,5.4,188.2,,52.2,560.0,,1.8,0.6,21.8,20.2,15.2,6.5,,0.9
Kensington and Chelsea,5891.3,1.5,2.1,71.5,,20.9,221.4,,0.7,0.2,9.0,8.2,6.1,2.5,,0.2
Southwark,17722.7,3.9,6.1,213.0,,66.2,695.7,,2.4,0.7,28.6,25.8,19.3,7.3,,0.4
Greenwich,16055.7,16.6,5.3,186.5,,79.9,754.0,,2.7,0.7,33.0,28.4,21.3,9.2,,5.0
Bexley,7035.0,1556.2,2.1,74.1,,122.5,471.5,,2.3,0.5,19.5,16.7,13.2,13.5,,19.8
Hounslow,9695.9,18.4,3.1,107.8,,55.1,532.0,,1.9,0.5,23.3,19.7,15.4,6.6,,8.2
Richmond,3845.0,11.6,1.1,36.6,,47.7,306.5,,1.2,0.3,14.8,11.8,9.3,2.8,,7.0
Lewisham,2820.5,2.0,0.7,27.7,,27.0,252.5,,1.0,0.2,11.8,9.8,7.7,0.9,,0.4
Wandsworth,14935.9,4.1,5.1,177.4,,64.1,628.9,,2.2,0.6,26.7,23.6,17.8,6.1,,1.0
Lambeth,8707.8,2.5,2.9,102.2,,38.5,403.6,,1.4,0.4,17.6,15.4,11.6,3.5,,0.2
Kingston,1637.9,2.0,0.4,13.0,,27.6,186.3,,0.7,0.2,8.9,7.3,5.8,3.1,,4.0
Merton,4422.6,2.4,1.3,46.7,,35.3,301.0,,1.1,0.3,11.9,10.6,8.6,1.6,,0.9
Bromley,6381.2,8.0,1.8,51.2,,119.7,589.9,,2.2,0.5,29.3,23.8,18.8,35.2,,42.5
Croydon,16316.9,6.5,5.3,183.0,,114.4,877.5,,3.2,0.8,35.8,31.8,25.1,9.7,,6.4
Sutton,3377.1,15433.9,0.9,31.8,,680.8,307.9,,7.2,1.3,12.8,11.0,9.0,4.7,,51.0
City,37680.6,5.9,13.2,459.5,,118.2,1302.3,,4.4,1.3,47.4,45.1,34.6,15.8,,0.3
NonGLA,45864.1,29988.6,15.2,428.8,,1981.1,2820.3,,21.8,4.5,170.7,112.8,89.9,262.2,,532.3
Total LAEI,477176.8,91760.1,160.0,5434.4,,6727.2,22537.1,,114.5,27.6,1034.8,860.8,653.7,576.0,,937.6
Total ALL,477176.8,91760.1,160.0,5434.4,,6727.2,22537.1,,114.5,27.6,1034.8,860.8,653.7,576.0,,937.6
