,,2015,,,,,,,,,
Road - All Sources,Mode,CO2,NOx,PM10 Exhaust,PM10 Brake,PM10 Tyre,PM10_Total,PM25 Exhaust,PM25 Brake,PM25 Tyre,PM25_Total
Total LAEI,,9518620.0,25134.1,493.3,1866.4,465.5,2825.2,439.4,742.7,325.9,1508.0
Central Total,All Modes,254384.7,901.9,22.5,44.9,8.4,75.8,20.2,17.9,5.9,43.9
Central,Motorcycle,8091.8,6.5,0.6,1.3,0.2,2.1,0.5,0.5,0.2,1.2
Central,Taxi,44275.2,141.7,8.8,5.9,1.3,16.1,7.9,2.4,0.9,11.2
Central,PetrolCar,49233.3,29.2,0.6,8.7,1.9,11.2,0.5,3.5,1.3,5.3
Central,DieselCar,39873.3,137.7,4.1,8.4,1.8,14.3,3.7,3.3,1.3,8.3
Central,PetrolLgv,1022.6,1.3,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.1
Central,DieselLgv,26458.4,88.2,4.3,6.1,1.4,11.8,3.8,2.4,1.0,7.2
Central,LTBus,44237.2,239.1,1.9,6.6,0.7,9.2,1.7,2.6,0.5,4.9
Central,Coach,15252.0,106.6,1.0,1.7,0.2,2.9,0.9,0.7,0.1,1.7
Central,Rigid,21401.1,130.1,1.0,5.4,0.7,7.1,0.9,2.2,0.5,3.5
Central,Artic,4540.0,21.6,0.2,0.6,0.2,0.9,0.1,0.2,0.1,0.5
Inner Total,All Modes,1872482.0,5721.2,105.7,420.8,84.4,610.9,94.3,167.5,59.1,320.8
Inner,Motorcycle,33332.2,29.9,2.9,5.8,1.1,9.8,2.4,2.3,0.8,5.5
Inner,Taxi,91728.2,326.4,16.8,14.3,3.2,34.4,15.1,5.7,2.3,23.1
Inner,PetrolCar,574996.3,340.6,6.8,122.8,27.5,157.1,5.7,48.9,19.2,73.8
Inner,DieselCar,490689.7,1632.8,37.1,118.0,26.4,181.5,33.3,47.0,18.5,98.7
Inner,PetrolLgv,7645.5,11.1,0.1,1.8,0.4,2.2,0.0,0.7,0.3,1.0
Inner,DieselLgv,202225.4,681.2,22.2,56.6,12.8,91.6,19.9,22.5,9.0,51.4
Inner,LTBus,174643.9,1006.0,7.1,34.2,3.6,44.9,6.4,13.6,2.5,22.5
Inner,Coach,61970.0,442.0,3.8,8.5,0.9,13.3,3.5,3.4,0.6,7.5
Inner,Rigid,181310.0,1026.7,7.3,51.1,6.3,64.8,6.6,20.3,4.4,31.4
Inner,Artic,53940.8,224.5,1.6,7.7,2.1,11.4,1.4,3.1,1.5,6.0
Outer Total,All Modes,4341866.4,11424.5,219.7,963.4,223.3,1406.4,195.7,383.4,156.3,735.3
Outer,Motorcycle,33617.6,40.0,3.3,5.8,1.2,10.4,2.8,2.3,0.9,6.0
Outer,Taxi,88067.4,317.9,14.4,13.3,3.3,31.0,12.9,5.3,2.3,20.6
Outer,PetrolCar,1526743.7,946.8,21.2,326.8,80.6,428.6,17.7,130.0,56.4,204.1
Outer,DieselCar,1325565.5,4421.9,103.6,314.0,77.4,495.0,93.1,124.9,54.2,272.2
Outer,PetrolLgv,15790.4,29.0,0.1,3.6,0.9,4.7,0.1,1.5,0.6,2.2
Outer,DieselLgv,440131.6,1497.0,46.1,117.8,29.8,193.7,41.4,46.9,20.8,109.1
Outer,LTBus,222955.0,1219.8,8.1,50.0,5.5,63.7,7.3,19.9,3.9,31.1
Outer,Coach,78413.6,530.3,4.4,12.5,1.4,18.3,4.0,5.0,1.0,9.9
Outer,Rigid,380537.1,1798.8,12.9,96.2,13.8,122.8,11.6,38.3,9.6,59.5
Outer,Artic,230044.5,623.0,5.4,23.4,9.3,38.1,4.8,9.3,6.5,20.7
NonGLA Total,All Modes,3049886.9,7086.5,145.4,437.2,149.5,732.1,129.3,174.0,104.6,408.0
NonGLA,Motorcycle,15344.2,27.4,1.6,1.8,0.5,3.9,1.3,0.7,0.4,2.4
NonGLA,Taxi,44388.8,149.5,7.1,4.0,1.4,12.5,6.3,1.6,1.0,8.9
NonGLA,PetrolCar,956781.1,574.5,17.7,142.7,48.5,208.8,14.7,56.8,33.9,105.5
NonGLA,DieselCar,826474.0,2809.7,64.5,137.1,46.6,248.1,57.9,54.6,32.6,145.0
NonGLA,PetrolLgv,11485.0,25.8,0.1,1.7,0.6,2.5,0.1,0.7,0.4,1.2
NonGLA,DieselLgv,357922.7,1121.9,33.7,55.6,20.4,109.7,30.3,22.1,14.3,66.7
NonGLA,LTBus,48112.6,220.6,1.4,8.5,1.3,11.2,1.3,3.4,0.9,5.6
NonGLA,Coach,16559.3,92.1,0.8,2.1,0.3,3.2,0.7,0.8,0.2,1.7
NonGLA,Rigid,274662.3,1004.6,7.9,45.9,9.4,63.2,7.1,18.3,6.6,31.9
NonGLA,Artic,498156.9,1060.6,10.7,37.8,20.5,69.0,9.6,15.0,14.3,39.0
Total GLA,,6468733.1,18047.6,347.9,1429.1,316.0,2093.1,310.1,568.7,221.2,1100.1
,,,,,,,,,,,
,,,,,,,,,,,
,,2015,,,,,,,,,
Road - All Sources,Mode,CO2,NOx,PM10 Exhaust,PM10 Brake,PM10 Tyre,PM10_Total,PM25 Exhaust,PM25 Brake,PM25 Tyre,PM25_Total
Total LAEI,,9518620.0,25134.1,493.3,1866.4,465.5,2825.2,439.4,742.7,325.9,1508.0
Enfield Total,All Modes,364538.3,904.3,17.4,66.2,17.8,101.5,15.5,26.4,12.5,54.4
Enfield,Motorcycle,1752.1,2.1,0.2,0.3,0.1,0.5,0.1,0.1,0.0,0.3
Enfield,Taxi,6701.7,23.3,1.1,0.8,0.2,2.2,1.0,0.3,0.2,1.5
Enfield,PetrolCar,118233.3,71.5,1.8,22.0,6.0,29.9,1.5,8.8,4.2,14.5
Enfield,DieselCar,101987.2,340.6,7.9,21.1,5.8,34.8,7.1,8.4,4.1,19.5
Enfield,PetrolLgv,1261.7,2.4,0.0,0.3,0.1,0.3,0.0,0.1,0.0,0.2
Enfield,DieselLgv,36245.3,119.0,3.6,8.2,2.3,14.1,3.3,3.3,1.6,8.1
Enfield,LTBus,12752.2,69.1,0.5,2.8,0.3,3.6,0.4,1.1,0.2,1.7
Enfield,Coach,4472.7,30.0,0.3,0.7,0.1,1.0,0.2,0.3,0.1,0.6
Enfield,Rigid,34873.9,147.1,1.1,7.1,1.2,9.4,1.0,2.8,0.9,4.7
Enfield,Artic,46258.3,99.2,1.0,2.9,1.7,5.7,0.9,1.2,1.2,3.3
Barnet Total,All Modes,375229.3,967.6,19.0,79.8,19.0,117.8,16.9,31.7,13.3,62.0
Barnet,Motorcycle,2960.0,4.0,0.3,0.5,0.1,0.9,0.2,0.2,0.1,0.5
Barnet,Taxi,8166.3,29.1,1.4,1.2,0.3,2.8,1.2,0.5,0.2,1.9
