Code,Area,Resident Population (2003) - Denominator  ,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,7115,380,593.69,5647.79,5094.12,6245.21,4794.51,6601.79
E09000002,Barking and Dagenham,166210,12562,14014.51,7909.27,7771.55,8048.81,7692.99,8129.77
E09000003,Barnet,321802,19303,27555.49,6181.19,6094.29,6269.02,6044.62,6319.91
E09000004,Bexley,220016,14379,19035.6,6665.27,6556.76,6775.12,6494.82,6838.83
E09000005,Brent,268323,15171,21198.75,6314.8,6214.71,6416.1,6157.55,6474.84
E09000006,Bromley,297253,20250,26584.72,6721.22,6628.96,6814.45,6576.21,6868.46
E09000007,Camden,204254,14535,16072.67,7979.62,7850.42,8110.42,7776.65,8186.28
E09000008,Croydon,335919,20583,27469.05,6611.81,6521.79,6702.77,6470.31,6755.47
E09000009,Ealing,308108,19860,24457.95,7164.97,7065.66,7265.33,7008.89,7323.48
E09000010,Enfield,281835,18345,23520.67,6882.14,6782.9,6982.46,6726.19,7040.61
E09000011,Greenwich,224303,15828,18407.35,7587.35,7469.6,7706.49,7402.35,7775.57
E09000012,Hackney,212405,19143,16125.87,10474.72,10326.85,10624.17,10242.33,10710.78
E09000013,Hammersmith and Fulham,171510,14218,13332.16,9410.09,9256.03,9566.06,9168.1,9656.52
E09000014,Haringey,225027,14821,17139.68,7630.1,7507.74,7753.95,7437.89,7825.77
E09000015,Harrow,213728,11399,18122.49,5550.14,5448.72,5652.98,5390.89,5712.67
E09000016,Havering,225248,14592,20037.96,6425.64,6321.8,6530.76,6262.52,6591.73
E09000017,Hillingdon,248054,18500,20696.39,7887.37,7774.12,8001.87,7709.39,8068.22
E09000018,Hounslow,216498,14577,17178.77,7487.41,7366.35,7609.96,7297.23,7681.04
E09000019,Islington,180899,12696,13826.11,8102.56,7962.22,8244.75,7882.16,8327.24
E09000020,Kensington and Chelsea,165268,8332,13499.79,5446,5329.68,5564.22,5263.49,5632.9
E09000021,Kingston upon Thames,149683,9131,12532.75,6428.77,6297.57,6562.01,6222.87,6639.39
E09000022,Lambeth,272195,19404,20547.41,8332.77,8215.93,8450.86,8149.14,8519.29
E09000023,Lewisham,251936,18409,19878.62,8171.45,8053.83,8290.36,7986.61,8359.28
E09000024,Merton,189298,11523,15627.21,6506.38,6388.12,6626.29,6320.69,6695.87
E09000025,Newham,256224,18333,19228.92,8412.68,8291.33,8535.35,8221.98,8606.45
E09000026,Redbridge,247412,16654,20672.1,7108.69,7001.13,7217.49,6939.68,7280.56
E09000027,Richmond upon Thames,177182,9763,15079.1,5712.99,5600.22,5827.46,5535.98,5893.93
E09000028,Southwark,255242,19379,19784.37,8643,8521.74,8765.56,8452.41,8836.59
E09000029,Sutton,181267,11823,15466.43,6745.17,6624.13,6867.87,6555.1,6939.08
E09000030,Tower Hamlets,208651,16377,15584.17,9272.7,9131.21,9415.82,9050.4,9498.8
E09000031,Waltham Forest,224115,17493,17986.56,8581.67,8454.96,8709.8,8382.56,8784.07
E09000032,Wandsworth,276828,17046,21809.33,6896.61,6793.46,7000.93,6734.53,7061.41
E09000033,Westminster,211009,12260,16980.79,6370.71,6258.43,6484.5,6194.39,6550.52
,,,,,,,,,
E13000001,Inner London,2898563,205333,224403.59,8073.92,8039.03,8108.92,8018.97,8129.13
E13000002,Outer London,4496254,291736,375643.86,6852.82,6827.97,6877.73,6813.68,6892.11
,,,,,,,,,
E12000001,North East,2540461,255128,220241.79,10221.48,10181.86,10261.22,10159.06,10284.17
E12000002,North West,6814660,678019,588744.81,10161.79,10137.62,10186.01,10123.7,10199.98
E12000003,Yorkshire and the Humber,5026314,478219,436740.04,9661.83,9634.46,9689.25,9618.71,9705.08
E12000004,East Midlands,4255080,347654,369636,8299.05,8271.49,8326.68,8255.62,8342.64
E12000005,West Midlands,5325475,438659,461941.05,8379.07,8354.29,8403.91,8340.03,8418.24
E12000006,East of England,5474133,389037,482535.81,7114.05,7091.71,7136.44,7078.85,7149.36
E12000007,London,7394817,497069,600047.45,7309.48,7289.17,7329.83,7277.48,7341.58
E12000008,South East,8087924,564784,715289.22,6967.17,6949.01,6985.36,6938.55,6995.86
E12000009,South West,5006653,390790,462183.88,7460.78,7437.4,7484.21,7423.95,7497.73
,,,,,,,,,
,,,,,,,,,
E92000001,England,49925517,4039359,4337360.06,8217.55,8209.54,8225.57,8204.92,8230.19
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
