Code,Area,Resident Population (2011) - Denominator,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,7412,304,627.07,4277.74,3810.31,4786.68,3559.33,5091.64
E09000002,Barking and Dagenham,187029,17801,15249.25,10300.34,10149.57,10452.78,10063.41,10541.14
E09000003,Barnet,357538,22394,30602.16,6457.06,6372.76,6542.2,6324.55,6591.52
E09000004,Bexley,232774,19239,20717.31,8194.16,8078.78,8310.78,8012.82,8378.36
E09000005,Brent,312245,24477,24609.03,8776.46,8666.85,8887.11,8604.13,8951.19
E09000006,Bromley,310554,24337,28294.92,7589.51,7494.46,7685.48,7440.07,7741.06
E09000007,Camden,220087,15436,17549.35,7761.2,7639.24,7884.62,7569.59,7956.19
E09000008,Croydon,364815,31868,30194.3,9312.91,9210.93,9415.73,9152.53,9475.25
E09000009,Ealing,339314,32394,27167.27,10521.41,10407.14,10636.62,10341.69,10703.31
E09000010,Enfield,313935,17864,26022.8,6057.32,5968.81,6146.81,5918.23,6198.67
E09000011,Greenwich,255483,18691,20436.62,8070.1,7954.81,8186.64,7888.92,8254.18
E09000012,Hackney,247182,6819,18113.64,3321.78,3243.39,3401.57,3198.85,3447.97
E09000013,Hammersmith and Fulham,182445,15691,14008.87,9883.32,9729.28,10039.2,9641.3,10129.58
E09000014,Haringey,255540,17260,19285.25,7897.16,7779.78,8015.87,7712.71,8084.68
E09000015,Harrow,240499,18319,20520.93,7876.99,7763.33,7991.9,7698.37,8058.49
E09000016,Havering,237927,21453,21968.61,8616.7,8501.77,8732.79,8436.05,8800.05
E09000017,Hillingdon,275499,26396,23011.53,10121.57,9999.83,10244.43,9930.15,10315.57
E09000018,Hounslow,254927,20738,20365.94,8985,8863.12,9108.13,8793.42,9179.48
E09000019,Islington,206285,15628,15612.74,8832.42,8694.48,8972,8615.7,9052.94
E09000020,Kensington and Chelsea,158251,11413,12889.75,7812.87,7670.18,7957.55,7588.82,8041.51
E09000021,Kingston upon Thames,160436,8920,13598.55,5787.99,5668.49,5909.37,5600.46,5979.88
E09000022,Lambeth,304481,23168,22630.69,9033.29,8917.34,9150.38,8851.01,9218.2
E09000023,Lewisham,276938,24062,21727.39,9771.91,9648.83,9896.18,9578.4,9968.15
E09000024,Merton,200543,13935,16507.27,7448.82,7325.65,7573.54,7255.34,7645.88
E09000025,Newham,310460,10016,22633.79,3904.74,3828.64,3981.98,3785.28,4026.82
E09000026,Redbridge,281395,24834,23280.14,9412.75,9296.04,9530.56,9229.25,9598.79
E09000027,Richmond upon Thames,187527,11317,16196.41,6165.49,6052.42,6280.15,5987.95,6346.7
E09000028,Southwark,288717,23730,21709.48,9645.03,9522.7,9768.55,9452.71,9840.09
E09000029,Sutton,191123,13582,16529.37,7250.42,7128.98,7373.4,7059.68,7444.73
E09000030,Tower Hamlets,256012,7158,18389.2,3434.66,3355.55,3515.17,3310.58,3561.97
E09000031,Waltham Forest,259742,24160,20588.68,10354.38,10224.22,10485.78,10149.74,10561.89
E09000032,Wandsworth,307710,20613,23803.79,7641,7537.04,7746.04,7477.6,7806.9
E09000033,Westminster,219582,16547,17607.97,8292.11,8166.24,8419.44,8094.34,8493.25
,,,,,,,,,
E13000001,Inner London,3241102,207845,246588.99,7437.4,7405.46,7469.45,7387.09,7487.95
E13000002,Outer London,4963305,392719,415861.08,8332.76,8306.72,8358.87,8291.73,8373.94
,,,,,,,,,
E12000001,North East,2596441,306624,234220.28,11551.47,11510.61,11592.43,11487.11,11616.08
E12000002,North West,7055961,793233,628718.78,11132.68,11108.2,11157.21,11094.09,11171.36
E12000003,Yorkshire and the Humber,5288212,560070,471993.5,10470.36,10442.96,10497.82,10427.18,10513.67
E12000004,East Midlands,4537448,407864,407894.54,8823.13,8796.08,8850.26,8780.5,8865.91
E12000005,West Midlands,5608667,543295,502639.24,9537.5,9512.16,9562.9,9497.57,9577.56
E12000006,East of England,5862418,479106,535765.11,7890.65,7868.32,7913.02,7855.47,7925.94
E12000007,London,8204407,600564,662450.08,7999.48,7979.26,8019.73,7967.62,8031.43
E12000008,South East,8652784,691457,788698.42,7735.88,7717.66,7754.13,7707.16,7764.67
E12000009,South West,5300831,448441,504822.72,7838.3,7815.37,7861.28,7802.18,7874.54
,,,,,,,,,
,,,,,,,,,
E92000001,England,53107169,4830654,4737202.67,8997.86,8989.84,9005.89,8985.22,9010.52
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
