,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The hospital providers table contains episodes grouped according to the organisation that provided the admitted patient care (normally an NHS trust) within Clinical Commisioning Regions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Digital, Hospital Episode Statistics for England. Admitted Patient Care statistics, 2018-19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero bed day cases §,,,,,
Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,"20,760,699","17,127,498","9,420,367","11,336,039","4,293","6,437,959","6,397,951","2,411,966","1,879,622",61,34, 	5 ,1,54,"994,875","487,595","329,579","288,281","69,538","70,500","79,626","95,537","111,991","707,260","963,784","1,037,993","913,171","759,166","952,575","1,166,469","1,439,901","1,364,401","1,554,838","1,902,352","1,722,878","1,600,911","1,199,464","780,945","7,386,225","45,347,946","2,158,368","261,034","567,249",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y54,North Of England,,,,,,"6,336,335","5,277,030","2,875,330","3,460,530",480,"2,014,635","2,004,330","734,445","523,620",59,32, 	4 ,1,54,"282,050","160,875","110,550","93,605","22,470","22,220","24,890","30,310","35,945","223,395","298,670","307,280","266,315","226,900","300,015","363,170","446,730","437,690","491,870","592,580","527,660","486,865","341,280","206,350","2,320,120","13,544,880","669,620","66,035","163,645",0,,
Y55,Midlands And East Of England,,,,,,"6,194,215","5,100,455","2,798,035","3,393,240","2,945","1,928,805","1,812,270","777,805","581,575",64,34, 	5 ,1,55,"286,055","131,260","82,050","74,725","18,530","19,330","22,395","28,525","34,155","214,645","288,555","297,065","253,965","214,630","275,815","340,290","425,755","405,850","477,955","596,670","542,690","498,195","377,235","247,300","2,174,355","13,512,685","627,680","90,675","199,225",,,
Y56,London,,,,,,"3,166,655","2,651,020","1,425,005","1,741,095",555,"902,805","1,017,825","374,635","355,755",56,32, 	5 ,1,49,"190,390","90,175","69,225","60,780","13,675","13,345","13,490","13,965","16,090","111,165","166,745","202,815","187,495","146,290","159,490","189,390","218,870","198,735","204,465","219,135","203,145","188,180","143,925","97,355","1,143,185","7,179,485","312,410","39,825","96,905",,,
Y58,South West,,,,,,"2,158,445","1,738,545","988,210","1,170,115",120,"657,865","631,745","272,905","176,035",66,36, 	4 ,1,57,"83,470","41,840","26,585","23,135","5,885","6,410","7,755","9,655","10,910","68,985","90,785","97,110","83,340","70,645","90,420","115,940","148,600","141,340","169,605","220,185","200,580","184,910","145,055","97,470","761,145","4,465,280","211,895","29,455","59,590",,,
Y59,South East,,,,,,"2,904,695","2,360,090","1,333,635","1,570,865",195,"933,855","931,420","252,175","242,640",60,36, 	5 ,1,55,"152,910","63,450","41,175","36,035","8,980","9,190","11,100","13,080","14,890","89,060","119,020","133,710","122,040","100,680","126,815","157,650","199,910","180,750","210,895","273,735","248,770","242,745","191,960","132,475","987,310","6,644,895","336,760","35,030","47,885",,,
