Code,Area,Resident Population (2004) - Denominator,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,7118,407,595.46,6031.09,5459.29,6646.48,5149.19,7013.37
E09000002,Barking and Dagenham,165610,13841,13932.71,8765.71,8620.28,8912.99,8537.27,8998.41
E09000003,Barnet,323723,21774,27674.58,6942.45,6850.53,7035.28,6797.97,7089.07
E09000004,Bexley,220917,15273,19144.29,7039.48,6928.27,7152.02,6864.77,7217.28
E09000005,Brent,268335,17910,21235.32,7442.04,7333.44,7551.85,7271.38,7615.49
E09000006,Bromley,297307,21596,26620.98,7158.22,7063.06,7254.33,7008.64,7310.02
E09000007,Camden,207341,15633,16273.64,8476.43,8344.07,8610.37,8268.48,8688.03
E09000008,Croydon,337134,25782,27579.32,8248.76,8148.37,8350.07,8090.92,8408.74
E09000009,Ealing,310073,20055,24562.31,7204.58,7105.21,7305,7048.4,7363.18
E09000010,Enfield,282217,21550,23521.81,8084.11,7976.53,8192.77,7915,8255.73
E09000011,Greenwich,227190,16893,18549.21,8035.94,7915.21,8158.06,7846.24,8228.84
E09000012,Hackney,213581,14301,16193.67,7792.5,7665.29,7921.28,7592.68,7995.96
E09000013,Hammersmith and Fulham,172083,14589,13330.37,9656.93,9500.85,9814.92,9411.74,9906.55
E09000014,Haringey,226472,15881,17226.14,8134.77,8008.73,8262.29,7936.75,8336.23
E09000015,Harrow,216267,14198,18325.14,6836.52,6724.53,6949.92,6660.59,7015.69
E09000016,Havering,225769,16100,20111.14,7063.9,6955.2,7173.88,6893.12,7237.63
E09000017,Hillingdon,248691,19407,20741.93,8255.91,8140.15,8372.89,8073.98,8440.69
E09000018,Hounslow,219440,14337,17399.18,7270.85,7152.31,7390.86,7084.64,7460.46
E09000019,Islington,180831,13580,13813.9,8674.39,8529.1,8821.54,8446.18,8906.89
E09000020,Kensington and Chelsea,165752,9155,13547.53,5962.85,5841.32,6086.27,5772.12,6157.95
E09000021,Kingston upon Thames,151055,10237,12621.82,7156.59,7018.62,7296.59,6940,7377.87
E09000022,Lambeth,274262,20615,20725.61,8776.7,8657.3,8897.35,8589.02,8967.25
E09000023,Lewisham,252455,21670,19867.98,9624.11,9496.39,9753.12,9423.35,9827.86
E09000024,Merton,188908,12563,15599.98,7105.99,6982.27,7231.36,6911.69,7304.1
E09000025,Newham,254434,18356,19096.74,8481.53,8359.27,8605.13,8289.4,8676.77
E09000026,Redbridge,248774,17739,20735.28,7548.74,7438.06,7660.66,7374.81,7725.53
E09000027,Richmond upon Thames,179312,10352,15169.7,6021.47,5906.03,6138.61,5840.24,6206.61
E09000028,Southwark,257257,20307,19879.81,9013.41,8889.86,9138.25,8819.21,9210.58
E09000029,Sutton,181094,11414,15408.31,6536.4,6417.02,6657.43,6348.96,6727.67
E09000030,Tower Hamlets,211154,18875,15740.07,10581.22,10430.8,10733.27,10344.82,10821.39
E09000031,Waltham Forest,225002,17106,18075.07,8350.72,8226.04,8476.81,8154.8,8549.91
E09000032,Wandsworth,278615,20055,21878.89,8088.22,7976.66,8200.95,7912.87,8266.27
E09000033,Westminster,214557,12959,17172.5,6658.76,6544.6,6774.41,6479.47,6841.5
,,,,,,,,,
E13000001,Inner London,2915912,216383,225342.29,8472.97,8437.31,8508.75,8416.8,8529.41
E13000002,Outer London,4516818,318127,377008.07,7445.7,7419.84,7471.62,7404.97,7486.58
,,,,,,,,,
E12000001,North East,2540502,265610,221213.08,10594.71,10554.46,10635.08,10531.3,10658.39
E12000002,North West,6840369,714199,592151.4,10642.46,10617.79,10667.17,10603.58,10681.43
E12000003,Yorkshire and the Humber,5063199,486049,440521.5,9735.73,9708.38,9763.14,9692.63,9778.96
E12000004,East Midlands,4291476,361080,373766.34,8524.3,8496.52,8552.15,8480.53,8568.23
E12000005,West Midlands,5346376,452130,465271.66,8574.57,8549.59,8599.6,8535.21,8614.05
E12000006,East of England,5508564,411959,487249.05,7460.34,7437.57,7483.15,7424.47,7496.33
E12000007,London,7432730,534510,602350.36,7830.01,7809.03,7851.03,7796.95,7863.16
E12000008,South East,8133100,593150,720745.54,7261.7,7243.23,7280.2,7232.59,7290.88
E12000009,South West,5038284,408076,465847.52,7729.52,7705.83,7753.28,7692.19,7766.99
,,,,,,,,,
,,,,,,,,,
E92000001,England,50194600,4226763,4369116.44,8536.3,8528.16,8544.44,8523.48,8549.14
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
