,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,APRIL,,,,England," 	141,966 "," 	421,825 "," 	563,791 "," 	24,225 "," 	122,080 "," 	146,305 "," 	9,098 "," 	14,335 "," 	408,413 "," 	914,131 "," 	762,501 "," 	866,763 "," 	711,755 "," 	459,669 "," 	1,189,155 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,APRIL,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,614 "," 	25,652 "," 	34,266 "," 	1,389 "," 	8,108 "," 	9,497 ", 	162 , 	533 ," 	25,500 "," 	46,606 "," 	39,268 "," 	45,271 "," 	38,304 "," 	29,237 "," 	66,356 "
,2008-09,APRIL,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	22,791 "," 	62,770 "," 	85,561 "," 	3,960 "," 	14,213 "," 	18,173 "," 	1,225 "," 	3,281 "," 	68,759 "," 	141,195 "," 	114,100 "," 	128,008 "," 	103,224 "," 	74,779 "," 	173,086 "
,2008-09,APRIL,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	15,463 "," 	44,668 "," 	60,131 "," 	2,885 "," 	12,223 "," 	15,108 ", 	683 , 	516 ," 	44,156 "," 	91,172 "," 	73,706 "," 	87,818 "," 	70,481 "," 	41,968 "," 	112,763 "
,2008-09,APRIL,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,178 "," 	38,514 "," 	50,692 "," 	1,835 "," 	13,835 "," 	15,670 ", 	356 , 	285 ," 	33,916 "," 	73,174 "," 	60,680 "," 	69,022 "," 	58,239 "," 	34,076 "," 	89,406 "
,2008-09,APRIL,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,786 "," 	47,388 "," 	61,174 "," 	2,037 "," 	15,088 "," 	17,125 "," 	2,904 ", 	191 ," 	40,883 "," 	94,789 "," 	83,313 "," 	85,965 "," 	75,535 "," 	60,855 "," 	135,690 "
,2008-09,APRIL,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,563 "," 	44,688 "," 	60,251 "," 	2,874 "," 	12,247 "," 	15,121 ", 	17 ," 	1,213 "," 	39,812 "," 	100,146 "," 	86,144 "," 	98,810 "," 	80,828 "," 	47,301 "," 	123,248 "
,2008-09,APRIL,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,240 "," 	52,846 "," 	70,086 "," 	3,170 "," 	14,563 "," 	17,733 ", 	705 , 	768 ," 	53,947 "," 	143,910 "," 	113,828 "," 	134,379 "," 	104,970 "," 	67,693 "," 	190,703 "
,2008-09,APRIL,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,961 "," 	28,023 "," 	38,984 "," 	1,885 "," 	5,470 "," 	7,355 ", 	906 ," 	2,684 "," 	31,990 "," 	73,964 "," 	61,461 "," 	70,526 "," 	57,983 "," 	33,264 "," 	93,559 "
,2008-09,APRIL,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,535 "," 	29,912 "," 	39,447 "," 	1,472 "," 	8,374 "," 	9,846 "," 	1,130 "," 	3,663 "," 	29,760 "," 	62,807 "," 	54,561 "," 	60,685 "," 	50,457 "," 	27,051 "," 	85,128 "
,2008-09,APRIL,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,835 "," 	47,364 "," 	63,199 "," 	2,718 "," 	17,959 "," 	20,677 "," 	1,010 "," 	1,201 "," 	39,690 "," 	86,368 "," 	75,440 "," 	86,279 "," 	71,734 "," 	43,445 "," 	119,216 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	920 ," 	2,724 "," 	3,644 ", 	178 , 	969 ," 	1,147 ", 	52 , 	2 ," 	2,477 "," 	4,613 "," 	4,090 "," 	4,538 "," 	3,993 "," 	3,694 "," 	7,543 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	723 ," 	2,372 "," 	3,095 ", 	92 , 	770 , 	862 , 	44 , 	2 ," 	2,413 "," 	4,193 "," 	3,470 "," 	4,076 "," 	3,402 "," 	2,269 "," 	5,411 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	302 , 	950 ," 	1,252 ", 	51 , 	288 , 	339 , 	- 0, 	- 0, 	997 ," 	1,558 "," 	1,298 "," 	1,510 "," 	1,236 ", 	828 ," 	1,987 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	564 ," 	1,782 "," 	2,346 ", 	70 , 	588 , 	658 , 	- 0, 	- 0," 	1,780 "," 	3,227 "," 	2,717 "," 	3,194 "," 	2,692 "," 	1,593 "," 	4,353 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	262 , 	781 ," 	1,043 ", 	33 , 	148 , 	181 , 	- 0, 	- 0," 	1,041 "," 	1,612 "," 	1,334 "," 	1,565 "," 	1,270 "," 	1,189 "," 	2,368 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	704 ," 	1,179 "," 	1,883 ", 	160 , 	297 , 	457 , 	- 0, 	352 ," 	2,026 "," 	4,322 "," 	3,625 "," 	4,197 "," 	3,565 "," 	2,558 "," 	5,924 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	562 ," 	1,890 "," 	2,452 ", 	45 , 	600 , 	645 , 	- 0, 	43 ," 	1,390 "," 	3,532 "," 	2,659 "," 	3,249 "," 	2,607 "," 	1,629 "," 	4,174 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,112 "," 	3,120 "," 	4,232 ", 	87 , 	571 , 	658 , 	- 0, 	102 ," 	2,593 "," 	4,646 "," 	4,088 "," 	4,557 "," 	3,996 "," 	4,241 "," 	7,564 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	440 ," 	1,266 "," 	1,706 ", 	134 , 	689 , 	823 , 	- 0, 	- 0," 	1,681 "," 	2,353 "," 	1,954 "," 	2,212 "," 	1,859 "," 	1,415 "," 	3,816 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,647 "," 	5,013 "," 	6,660 ", 	246 ," 	1,404 "," 	1,650 ", 	- 0, 	26 ," 	4,640 "," 	9,041 "," 	7,691 "," 	8,784 "," 	7,435 "," 	5,778 "," 	12,580 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	377 ," 	1,169 "," 	1,546 ", 	158 , 	644 , 	802 , 	- 0, 	- 0," 	1,355 "," 	2,063 "," 	1,615 "," 	1,970 "," 	1,541 "," 	1,159 "," 	3,003 "
,2008-09,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,001 "," 	3,406 "," 	4,407 ", 	135 ," 	1,140 "," 	1,275 ", 	66 , 	6 ," 	3,107 "," 	5,446 "," 	4,727 "," 	5,419 "," 	4,708 "," 	2,884 "," 	7,633 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	502 ," 	1,320 "," 	1,822 ", 	159 , 	373 , 	532 , 	95 , 	- 0," 	1,524 "," 	2,737 "," 	1,985 "," 	2,714 "," 	1,948 "," 	1,389 "," 	3,032 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	683 ," 	1,799 "," 	2,482 ", 	163 , 	653 , 	816 , 	40 , 	10 ," 	2,643 "," 	4,612 "," 	3,748 "," 	4,329 "," 	3,550 "," 	2,539 "," 	5,239 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,048 "," 	2,115 "," 	3,163 ", 	198 , 	330 , 	528 , 	114 , 	- 0," 	2,750 "," 	5,521 "," 	4,226 "," 	5,465 "," 	3,990 "," 	3,483 "," 	6,772 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	985 ," 	2,931 "," 	3,916 ", 	150 , 	653 , 	803 , 	92 , 	- 0," 	2,782 "," 	6,488 "," 	5,362 "," 	6,067 "," 	5,242 "," 	3,571 "," 	8,278 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	346 ," 	1,933 "," 	2,279 ", 	30 , 	422 , 	452 , 	4 , 	- 0," 	1,479 "," 	2,577 "," 	1,917 "," 	2,402 "," 	1,786 "," 	1,933 "," 	3,342 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	845 ," 	1,711 "," 	2,556 ", 	125 , 	288 , 	413 , 	4 , 	- 0," 	2,479 "," 	5,591 "," 	4,904 "," 	5,142 "," 	4,566 "," 	3,230 "," 	7,556 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	493 ," 	1,552 "," 	2,045 ", 	44 , 	338 , 	382 , 	- 0, 	3 ," 	1,768 "," 	2,951 "," 	2,491 "," 	2,921 "," 	2,456 "," 	1,431 "," 	3,950 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J4,KNOWSLEY PCT, 	442 ," 	1,439 "," 	1,881 ", 	42 , 	253 , 	295 , 	1 , 	23 ," 	2,221 "," 	4,087 "," 	3,236 "," 	3,983 "," 	3,115 "," 	1,754 "," 	5,178 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J5,OLDHAM PCT, 	774 ," 	2,015 "," 	2,789 ", 	94 , 	580 , 	674 , 	2 , 	2 ," 	2,179 "," 	3,920 "," 	3,225 "," 	3,575 "," 	2,915 "," 	2,222 "," 	4,868 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5JX,BURY PCT, 	681 ," 	1,988 "," 	2,669 ", 	115 , 	536 , 	651 , 	- 0, 	12 ," 	1,789 "," 	3,545 "," 	3,092 "," 	3,171 "," 	2,682 "," 	1,565 "," 	4,301 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5LH,TAMESIDE AND GLOSSOP PCT, 	791 ," 	1,769 "," 	2,560 ", 	104 , 	365 , 	469 , 	4 , 	43 ," 	1,950 "," 	4,753 "," 	3,861 "," 	4,441 "," 	3,651 "," 	2,849 "," 	6,767 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NE,CUMBRIA TEACHING PCT," 	1,855 "," 	4,206 "," 	6,061 ", 	352 , 	836 ," 	1,188 ", 	1 , 	- 0," 	4,465 "," 	9,936 "," 	7,905 "," 	9,585 "," 	7,591 "," 	2,576 "," 	11,237 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NF,NORTH LANCASHIRE TEACHING PCT," 	1,093 "," 	3,613 "," 	4,706 ", 	301 , 	896 ," 	1,197 ", 	116 , 	- 0," 	2,846 "," 	6,191 "," 	4,777 "," 	6,020 "," 	4,673 "," 	3,763 "," 	6,926 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NG,CENTRAL LANCASHIRE PCT," 	1,520 "," 	4,589 "," 	6,109 ", 	222 ," 	1,073 "," 	1,295 ", 	179 , 	370 ," 	3,904 "," 	8,975 "," 	7,860 "," 	8,544 "," 	7,560 "," 	3,547 "," 	11,872 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NH,EAST LANCASHIRE TEACHING PCT," 	1,295 "," 	3,715 "," 	5,010 ", 	392 ," 	1,176 "," 	1,568 ", 	277 , 	- 0," 	3,283 "," 	7,853 "," 	6,145 "," 	7,385 "," 	5,814 "," 	3,977 "," 	8,459 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NJ,SEFTON PCT, 	902 ," 	3,114 "," 	4,016 ", 	102 , 	950 ," 	1,052 ", 	12 , 	627 ," 	3,208 "," 	5,946 "," 	4,398 "," 	5,754 "," 	4,205 "," 	3,371 "," 	7,612 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NK,WIRRAL PCT," 	1,010 "," 	2,992 "," 	4,002 ", 	120 , 	783 , 	903 , 	76 , 	- 0," 	3,550 "," 	6,012 "," 	5,463 "," 	5,633 "," 	5,103 "," 	2,922 "," 	5,846 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NL,LIVERPOOL PCT," 	1,350 "," 	4,082 "," 	5,432 ", 	138 ," 	1,019 "," 	1,157 ", 	143 , 	163 ," 	6,027 "," 	9,351 "," 	7,240 "," 	8,905 "," 	6,777 "," 	6,957 "," 	17,731 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NM,HALTON AND ST HELENS PCT, 	867 ," 	2,538 "," 	3,405 ", 	11 , 	110 , 	121 , 	21 , 	- 0," 	3,150 "," 	6,252 "," 	5,179 "," 	1,789 "," 	1,449 ", 	629 ," 	2,159 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NN,WESTERN CHESHIRE PCT, 	729 ," 	2,111 "," 	2,840 ", 	156 , 	374 , 	530 , 	1 , 	85 ," 	2,259 "," 	5,244 "," 	4,130 "," 	4,654 "," 	3,711 "," 	4,325 "," 	6,744 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NP,CENTRAL AND EASTERN CHESHIRE PCT," 	1,204 "," 	3,224 "," 	4,428 ", 	287 , 	356 , 	643 , 	- 0," 	1,559 "," 	4,042 "," 	8,150 "," 	6,788 "," 	7,224 "," 	6,054 "," 	4,158 "," 	11,036 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NQ,"HEYWOOD, MIDDLETON AND ROCHDALE PCT", 	722 ," 	2,144 "," 	2,866 ", 	112 , 	571 , 	683 , 	3 , 	2 ," 	1,891 "," 	4,003 "," 	3,793 "," 	3,362 "," 	3,109 "," 	1,830 "," 	4,781 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NR,TRAFFORD PCT, 	825 ," 	2,117 "," 	2,942 ", 	175 , 	506 , 	681 , 	3 , 	125 ," 	1,434 "," 	5,486 "," 	4,562 "," 	4,837 "," 	4,033 "," 	2,253 "," 	5,663 "
,2008-09,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5NT,MANCHESTER PCT," 	1,829 "," 	3,753 "," 	5,582 ", 	368 , 	772 ," 	1,140 ", 	37 , 	257 ," 	5,136 "," 	11,014 "," 	7,813 "," 	10,106 "," 	7,244 "," 	8,505 "," 	13,737 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5EF,NORTH LINCOLNSHIRE PCT, 	545 ," 	1,720 "," 	2,265 ", 	131 , 	554 , 	685 , 	- 0, 	83 ," 	1,312 "," 	2,946 "," 	2,329 "," 	2,847 "," 	2,255 ", 	887 ," 	3,778 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5H8,ROTHERHAM PCT, 	822 ," 	2,746 "," 	3,568 ", 	93 , 	751 , 	844 , 	21 , 	- 0," 	2,505 "," 	4,518 "," 	3,709 "," 	4,457 "," 	3,662 "," 	2,430 "," 	6,304 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5J6,CALDERDALE PCT, 	578 ," 	1,503 "," 	2,081 ", 	85 , 	456 , 	541 , 	- 0, 	- 0," 	1,613 "," 	3,884 "," 	3,193 "," 	3,799 "," 	2,692 "," 	1,213 "," 	4,449 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5JE,BARNSLEY PCT, 	833 ," 	2,664 "," 	3,497 ", 	111 , 	599 , 	710 , 	30 , 	- 0," 	2,311 "," 	4,658 "," 	4,053 "," 	4,636 "," 	4,033 "," 	2,679 "," 	6,126 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N1,LEEDS PCT," 	1,926 "," 	5,538 "," 	7,464 ", 	321 ," 	1,003 "," 	1,324 ", 	236 , 	20 ," 	6,820 "," 	11,302 "," 	8,860 "," 	11,259 "," 	8,266 "," 	8,172 "," 	13,809 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N2,KIRKLEES PCT," 	1,053 "," 	2,837 "," 	3,890 ", 	285 , 	698 , 	983 , 	- 0, 	26 ," 	3,024 "," 	7,514 "," 	5,609 "," 	7,064 "," 	5,386 "," 	2,859 "," 	8,279 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N3,WAKEFIELD DISTRICT PCT," 	1,021 "," 	3,030 "," 	4,051 ", 	170 , 	709 , 	879 , 	- 0, 	295 ," 	2,986 "," 	6,233 "," 	5,257 "," 	5,888 "," 	4,912 "," 	2,677 "," 	7,302 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N4,SHEFFIELD PCT," 	1,687 "," 	4,835 "," 	6,522 ", 	350 ," 	1,724 "," 	2,074 ", 	38 , 	- 0," 	4,703 "," 	10,742 "," 	8,731 "," 	10,040 "," 	8,120 "," 	6,229 "," 	14,955 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5N5,DONCASTER PCT, 	808 ," 	2,329 "," 	3,137 ", 	113 , 	692 , 	805 , 	61 , 	14 ," 	2,604 "," 	5,709 "," 	4,962 "," 	5,639 "," 	5,089 "," 	3,262 "," 	8,561 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NV,NORTH YORKSHIRE AND YORK PCT," 	2,086 "," 	6,143 "," 	8,229 ", 	534 ," 	2,308 "," 	2,842 ", 	- 0, 	9 ," 	5,738 "," 	12,646 "," 	10,376 "," 	12,237 "," 	10,201 "," 	6,174 "," 	15,989 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NW,EAST RIDING OF YORKSHIRE PCT," 	1,050 "," 	3,015 "," 	4,065 ", 	159 , 	785 , 	944 , 	- 0, 	59 ," 	2,538 "," 	5,991 "," 	4,646 "," 	5,880 "," 	4,591 "," 	1,315 "," 	6,325 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NX,HULL TEACHING PCT, 	991 ," 	2,690 "," 	3,681 ", 	65 , 	524 , 	589 , 	- 0, 	9 ," 	2,622 "," 	5,274 "," 	3,923 "," 	5,235 "," 	3,923 ", 	925 ," 	5,503 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,5NY,BRADFORD AND AIREDALE TEACHING PCT," 	1,356 "," 	3,935 "," 	5,291 ", 	188 , 	860 ," 	1,048 ", 	297 , 	- 0," 	4,286 "," 	7,075 "," 	6,051 "," 	6,433 "," 	5,545 "," 	2,249 "," 	8,086 "
,2008-09,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,TAN,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS, 	707 ," 	1,683 "," 	2,390 ", 	280 , 	560 , 	840 , 	- 0, 	1 ," 	1,094 "," 	2,680 "," 	2,007 "," 	2,404 "," 	1,806 ", 	897 ," 	3,297 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5EM,NOTTINGHAM CITY PCT, 	645 ," 	1,959 "," 	2,604 ", 	114 , 	978 ," 	1,092 ", 	- 0, 	3 ," 	2,039 "," 	4,256 "," 	3,278 "," 	4,056 "," 	3,110 "," 	2,035 "," 	4,738 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5ET,BASSETLAW PCT, 	446 , 	721 ," 	1,167 ", 	48 , 	269 , 	317 , 	12 , 	- 0, 	838 ," 	2,304 "," 	2,114 "," 	2,203 "," 	2,026 ", 	623 ," 	3,121 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N6,DERBYSHIRE COUNTY PCT," 	1,968 "," 	6,309 "," 	8,277 ", 	283 ," 	2,228 "," 	2,511 ", 	- 0, 	197 ," 	5,415 "," 	12,191 "," 	10,217 "," 	11,903 "," 	9,974 "," 	5,199 "," 	13,970 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N7,DERBY CITY PCT, 	767 ," 	2,883 "," 	3,650 ", 	124 ," 	1,021 "," 	1,145 ", 	19 , 	39 ," 	2,193 "," 	4,737 "," 	4,029 "," 	4,683 "," 	3,963 "," 	1,900 "," 	6,964 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N8,NOTTINGHAMSHIRE COUNTY TEACHING PCT," 	1,936 "," 	5,255 "," 	7,191 ", 	226 ," 	1,932 "," 	2,158 ", 	49 , 	46 ," 	4,595 "," 	10,558 "," 	8,819 "," 	10,297 "," 	8,568 "," 	4,279 "," 	12,282 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5N9,LINCOLNSHIRE TEACHING PCT," 	2,299 "," 	7,565 "," 	9,864 ", 	455 ," 	2,583 "," 	3,038 ", 	248 , 	- 0," 	5,476 "," 	11,720 "," 	11,913 "," 	10,943 "," 	11,301 "," 	4,691 "," 	18,721 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PA,LEICESTERSHIRE COUNTY AND RUTLAND PCT," 	1,513 "," 	5,623 "," 	7,136 ", 	169 ," 	2,081 "," 	2,250 ", 	- 0, 	- 0," 	5,096 "," 	11,165 "," 	8,200 "," 	10,111 "," 	8,149 "," 	7,283 "," 	12,658 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PC,LEICESTER CITY PCT, 	706 ," 	2,160 "," 	2,866 ", 	78 , 	717 , 	795 , 	- 0, 	- 0," 	3,358 "," 	6,088 "," 	4,060 "," 	5,332 "," 	3,692 "," 	4,205 "," 	5,720 "
,2008-09,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,5PD,NORTHAMPTONSHIRE TEACHING PCT," 	1,898 "," 	6,039 "," 	7,937 ", 	338 ," 	2,026 "," 	2,364 ", 	28 , 	- 0," 	4,906 "," 	10,155 "," 	8,050 "," 	9,494 "," 	7,456 "," 	3,861 "," 	11,232 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5CN,HEREFORDSHIRE PCT, 	439 ," 	1,289 "," 	1,728 ", 	113 , 	574 , 	687 , 	11 , 	- 0," 	1,083 "," 	2,971 "," 	2,711 "," 	2,932 "," 	2,679 "," 	1,089 "," 	3,655 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M1,SOUTH BIRMINGHAM PCT, 	921 ," 	2,573 "," 	3,494 ", 	126 , 	472 , 	598 , 	196 , 	- 0," 	3,035 "," 	6,842 "," 	6,703 "," 	5,259 "," 	5,238 "," 	4,076 "," 	8,865 "
,2008-09,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,5M2,SHROPSHIRE COUNTY PCT, 	764 ," 	2,887 "," 	3,651 ", 	101 ," 	1,134 "," 	1,235 ", 	43 , 	- 0," 	1,975 "," 	4,491 "," 	2,759 "," 	4,446 "," 	2,705 "," 	1,985 "," 	7,295 "
