,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,APRIL,,,,England," 	126,998 "," 	430,433 "," 	557,340 "," 	20,938 "," 	133,840 "," 	154,703 "," 	19,947 "," 	446,127 "," 	958,500 "," 	759,543 "," 	906,963 "," 	717,362 "," 	504,614 "," 	1,242,170 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,APRIL,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,506 "," 	25,838 "," 	33,339 "," 	1,208 "," 	8,899 "," 	10,101 ", 	965 ," 	28,562 "," 	47,832 "," 	37,607 "," 	46,507 "," 	36,563 "," 	29,662 "," 	65,022 "
,2010-11,APRIL,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	18,972 "," 	64,607 "," 	83,579 "," 	2,826 "," 	17,375 "," 	20,201 "," 	3,709 "," 	71,500 "," 	140,380 "," 	112,659 "," 	134,410 "," 	107,379 "," 	83,714 "," 	188,018 "
,2010-11,APRIL,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,584 "," 	43,806 "," 	57,339 "," 	2,177 "," 	13,391 "," 	15,499 "," 	1,001 "," 	48,540 "," 	91,764 "," 	71,648 "," 	87,925 "," 	67,871 "," 	45,470 "," 	119,860 "
,2010-11,APRIL,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,783 "," 	38,508 "," 	49,260 "," 	1,775 "," 	13,973 "," 	15,748 ", 	29 ," 	37,616 "," 	75,536 "," 	60,676 "," 	73,890 "," 	58,564 "," 	34,168 "," 	89,907 "
,2010-11,APRIL,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,849 "," 	45,861 "," 	58,710 "," 	2,061 "," 	17,075 "," 	19,135 "," 	3,077 "," 	46,424 "," 	104,782 "," 	89,070 "," 	93,043 "," 	78,620 "," 	54,174 "," 	131,609 "
,2010-11,APRIL,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,258 "," 	45,884 "," 	59,142 "," 	2,124 "," 	14,056 "," 	16,180 "," 	2,086 "," 	40,835 "," 	104,751 "," 	83,878 "," 	100,265 "," 	80,555 "," 	53,019 "," 	129,075 "
,2010-11,APRIL,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,192 "," 	54,925 "," 	70,113 "," 	2,466 "," 	14,286 "," 	16,752 "," 	3,052 "," 	63,770 "," 	164,401 "," 	121,178 "," 	149,074 "," 	110,578 "," 	87,398 "," 	207,244 "
,2010-11,APRIL,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,702 "," 	31,222 "," 	41,924 "," 	2,209 "," 	8,825 "," 	11,035 "," 	1,782 "," 	35,712 "," 	79,181 "," 	61,815 "," 	76,188 "," 	59,198 "," 	42,448 "," 	100,856 "
,2010-11,APRIL,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,194 "," 	28,764 "," 	36,958 "," 	1,296 "," 	7,842 "," 	9,138 "," 	3,639 "," 	29,355 "," 	63,838 "," 	48,965 "," 	61,887 "," 	47,263 "," 	30,366 "," 	87,665 "
,2010-11,APRIL,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,924 "," 	48,082 "," 	62,006 "," 	2,187 "," 	16,582 "," 	18,769 ", 	605 ," 	42,251 "," 	85,420 "," 	70,793 "," 	83,159 "," 	69,517 "," 	42,517 "," 	118,040 "
,2010-11,APRIL,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,034 "," 	2,936 "," 	4,970 ", 	609 ," 	1,536 "," 	2,145 ", 	2 ," 	1,562 ", 	615 ," 	1,254 ", 	615 ," 	1,254 "," 	1,678 "," 	4,874 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	857 ," 	2,552 "," 	3,404 ", 	140 , 	986 ," 	1,120 ", 	81 ," 	2,918 "," 	5,185 "," 	3,815 "," 	5,038 "," 	3,680 "," 	3,658 "," 	7,141 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	654 ," 	2,248 "," 	2,902 ", 	88 , 	833 , 	921 , 	32 ," 	2,577 "," 	4,350 "," 	3,416 "," 	4,174 "," 	3,257 "," 	2,344 "," 	5,974 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	255 , 	922 ," 	1,177 ", 	23 , 	297 , 	320 , 	11 , 	981 ," 	1,486 "," 	1,159 "," 	1,433 "," 	1,131 ", 	863 ," 	1,887 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	466 ," 	1,799 "," 	2,265 ", 	62 , 	558 , 	620 , 	69 ," 	1,958 "," 	3,162 "," 	2,617 "," 	3,138 "," 	2,599 "," 	1,681 "," 	4,163 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	269 , 	800 ," 	1,069 ", 	48 , 	184 , 	232 , 	1 ," 	1,115 "," 	1,556 "," 	1,226 "," 	1,552 "," 	1,223 "," 	1,277 "," 	2,477 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	633 ," 	1,628 "," 	2,261 ", 	149 , 	406 , 	555 , 	372 ," 	2,313 "," 	4,294 "," 	3,199 "," 	4,154 "," 	3,081 "," 	2,241 "," 	5,446 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	425 ," 	1,730 "," 	2,155 ", 	52 , 	593 , 	645 , 	26 ," 	1,665 "," 	3,385 "," 	2,482 "," 	3,216 "," 	2,332 "," 	2,234 "," 	4,467 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	810 ," 	2,955 "," 	3,765 ", 	118 , 	794 , 	912 , 	79 ," 	2,936 "," 	4,795 "," 	4,138 "," 	4,733 "," 	4,102 "," 	3,899 "," 	6,992 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	368 ," 	1,280 "," 	1,648 ", 	107 , 	590 , 	697 , 	117 ," 	1,893 "," 	2,267 "," 	1,712 "," 	2,133 "," 	1,613 "," 	1,552 "," 	3,000 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,388 "," 	5,227 "," 	6,615 ", 	179 ," 	1,797 "," 	1,976 ", 	38 ," 	5,293 "," 	9,504 "," 	7,331 "," 	9,275 "," 	7,162 "," 	5,532 "," 	12,805 "
,2010-11,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	398 ," 	1,268 "," 	1,666 ", 	104 , 	624 , 	728 , 	111 ," 	1,568 "," 	2,107 "," 	1,684 "," 	1,982 "," 	1,614 "," 	1,260 "," 	2,839 "
