,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,AUGUST,,,,England," 	133,957 "," 	378,081 "," 	512,038 "," 	22,179 "," 	111,894 "," 	134,073 "," 	6,483 "," 	15,041 "," 	404,388 "," 	816,623 "," 	671,458 "," 	777,762 "," 	629,963 "," 	413,372 "," 	1,057,369 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,AUGUST,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,706 "," 	22,520 "," 	30,226 "," 	1,129 "," 	7,655 "," 	8,784 ", 	118 , 	703 ," 	25,035 "," 	40,791 "," 	35,022 "," 	39,792 "," 	33,519 "," 	26,618 "," 	57,876 "
,2008-09,AUGUST,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	20,810 "," 	55,600 "," 	76,410 "," 	3,761 "," 	13,236 "," 	16,997 "," 	1,061 "," 	2,614 "," 	66,593 "," 	120,680 "," 	96,814 "," 	114,562 "," 	91,765 "," 	66,672 "," 	152,262 "
,2008-09,AUGUST,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,213 "," 	39,589 "," 	53,802 "," 	2,569 "," 	11,526 "," 	14,095 ", 	787 , 	973 ," 	43,156 "," 	80,910 "," 	66,238 "," 	77,940 "," 	63,376 "," 	39,049 "," 	104,080 "
,2008-09,AUGUST,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,310 "," 	32,988 "," 	44,298 "," 	1,763 "," 	10,153 "," 	11,916 ", 	536 , 	67 ," 	33,228 "," 	63,626 "," 	51,773 "," 	61,208 "," 	50,282 "," 	29,986 "," 	78,634 "
,2008-09,AUGUST,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,799 "," 	41,869 "," 	54,668 "," 	2,265 "," 	14,791 "," 	17,056 ", 	126 ," 	2,316 "," 	39,904 "," 	85,648 "," 	70,202 "," 	78,228 "," 	63,359 "," 	53,416 "," 	108,451 "
,2008-09,AUGUST,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,667 "," 	40,453 "," 	56,120 "," 	2,919 "," 	11,303 "," 	14,222 ", 	697 ," 	1,145 "," 	38,730 "," 	97,976 "," 	81,403 "," 	89,469 "," 	71,323 "," 	41,165 "," 	109,216 "
,2008-09,AUGUST,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,584 "," 	49,951 "," 	66,535 "," 	2,336 "," 	13,934 "," 	16,270 ", 	535 , 	680 ," 	54,868 "," 	126,795 "," 	99,504 "," 	117,699 "," 	91,874 "," 	63,133 "," 	180,133 "
,2008-09,AUGUST,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,454 "," 	25,250 "," 	35,704 "," 	1,421 "," 	5,576 "," 	6,997 ", 	881 ," 	2,203 "," 	32,833 "," 	69,207 "," 	56,081 "," 	66,387 "," 	53,838 "," 	29,272 "," 	81,170 "
,2008-09,AUGUST,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,177 "," 	25,516 "," 	34,693 "," 	1,424 "," 	7,455 "," 	8,879 ", 	954 ," 	3,216 "," 	31,128 "," 	55,749 "," 	48,837 "," 	53,469 "," 	45,004 "," 	25,100 "," 	76,448 "
