,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,AUGUST,,,,England," 	130,800 "," 	403,331 "," 	534,131 "," 	20,539 "," 	118,844 "," 	139,383 "," 	9,652 "," 	15,017 "," 	408,849 "," 	866,654 "," 	728,149 "," 	830,107 "," 	693,792 "," 	444,054 "," 	1,166,288 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,AUGUST,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,789 "," 	23,268 "," 	31,057 "," 	1,231 "," 	7,509 "," 	8,740 ", 	221 , 	586 ," 	24,704 "," 	41,920 "," 	35,946 "," 	40,931 "," 	35,004 "," 	29,193 "," 	60,747 "
,2009-10,AUGUST,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,718 "," 	58,849 "," 	78,567 "," 	3,141 "," 	15,253 "," 	18,394 "," 	1,502 "," 	3,286 "," 	65,632 "," 	125,877 "," 	104,674 "," 	121,177 "," 	100,219 "," 	69,919 "," 	169,665 "
,2009-10,AUGUST,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,522 "," 	41,942 "," 	56,464 "," 	2,408 "," 	13,144 "," 	15,552 "," 	1,112 ", 	905 ," 	44,138 "," 	83,498 "," 	71,345 "," 	80,726 "," 	68,492 "," 	42,800 "," 	115,590 "
,2009-10,AUGUST,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,223 "," 	37,253 "," 	48,476 "," 	1,787 "," 	12,727 "," 	14,514 "," 	2,076 ", 	111 ," 	34,391 "," 	71,737 "," 	60,261 "," 	69,251 "," 	60,090 "," 	32,838 "," 	92,574 "
,2009-10,AUGUST,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,431 "," 	43,760 "," 	56,191 "," 	2,046 "," 	14,876 "," 	16,922 ", 	740 ," 	1,899 "," 	41,688 "," 	98,880 "," 	77,886 "," 	90,591 "," 	70,134 "," 	53,947 "," 	120,680 "
,2009-10,AUGUST,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,897 "," 	45,220 "," 	60,117 "," 	2,145 "," 	12,640 "," 	14,785 ", 	682 ," 	1,016 "," 	41,048 "," 	99,563 "," 	87,153 "," 	95,122 "," 	82,921 "," 	43,958 "," 	127,018 "
,2009-10,AUGUST,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,069 "," 	53,490 "," 	69,559 "," 	2,346 "," 	12,916 "," 	15,262 ", 	611 , 	755 ," 	56,979 "," 	135,190 "," 	109,361 "," 	126,666 "," 	101,293 "," 	66,945 "," 	191,886 "
,2009-10,AUGUST,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,723 "," 	28,345 "," 	39,068 "," 	1,569 "," 	6,770 "," 	8,339 ", 	810 ," 	2,580 "," 	32,358 "," 	69,079 "," 	58,714 "," 	66,677 "," 	56,284 "," 	33,752 "," 	88,277 "
,2009-10,AUGUST,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,625 "," 	25,896 "," 	34,521 "," 	1,515 "," 	7,141 "," 	8,656 "," 	1,251 "," 	2,323 "," 	28,071 "," 	59,384 "," 	51,756 "," 	56,454 "," 	48,840 "," 	27,919 "," 	82,813 "
