,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,AUGUST,,,,England," 	129,794 "," 	443,312 "," 	573,106 "," 	21,148 "," 	135,563 "," 	156,711 "," 	21,179 "," 	440,323 "," 	948,316 "," 	796,634 "," 	899,953 "," 	754,865 "," 	493,704 "," 	1,284,967 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,AUGUST,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,804 "," 	26,852 "," 	34,656 "," 	1,349 "," 	8,619 "," 	9,968 "," 	1,267 "," 	27,328 "," 	48,396 "," 	39,432 "," 	46,847 "," 	38,366 "," 	32,734 "," 	69,599 "
,2010-11,AUGUST,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,459 "," 	64,325 "," 	83,784 "," 	3,200 "," 	17,697 "," 	20,897 "," 	3,604 "," 	70,632 "," 	138,234 "," 	117,000 "," 	132,576 "," 	111,406 "," 	79,705 "," 	188,421 "
,2010-11,AUGUST,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,414 "," 	44,830 "," 	58,244 "," 	2,135 "," 	13,699 "," 	15,834 ", 	696 ," 	48,587 "," 	90,680 "," 	77,958 "," 	87,676 "," 	74,919 "," 	46,959 "," 	127,645 "
,2010-11,AUGUST,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,673 "," 	38,974 "," 	49,647 "," 	1,689 "," 	13,607 "," 	15,296 ", 	772 ," 	36,469 "," 	73,890 "," 	63,409 "," 	72,371 "," 	61,153 "," 	33,582 "," 	94,676 "
,2010-11,AUGUST,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,271 "," 	48,102 "," 	61,373 "," 	2,193 "," 	16,483 "," 	18,676 "," 	3,820 "," 	45,171 "," 	108,649 "," 	91,565 "," 	98,765 "," 	81,990 "," 	52,679 "," 	139,306 "
,2010-11,AUGUST,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,803 "," 	47,302 "," 	61,105 "," 	1,769 "," 	14,167 "," 	15,936 "," 	1,970 "," 	40,597 "," 	100,093 "," 	85,706 "," 	95,836 "," 	82,873 "," 	49,656 "," 	132,989 "
,2010-11,AUGUST,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,610 "," 	57,435 "," 	73,045 "," 	2,362 "," 	14,673 "," 	17,035 "," 	2,887 "," 	63,408 "," 	161,332 "," 	126,062 "," 	146,204 "," 	114,721 "," 	87,731 "," 	214,512 "
,2010-11,AUGUST,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,110 "," 	32,059 "," 	43,169 "," 	2,307 "," 	9,185 "," 	11,492 "," 	1,437 "," 	35,369 "," 	75,947 "," 	64,998 "," 	73,344 "," 	62,647 "," 	39,512 "," 	103,365 "
,2010-11,AUGUST,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,281 "," 	30,287 "," 	38,568 "," 	1,205 "," 	8,118 "," 	9,323 "," 	4,445 "," 	29,143 "," 	64,293 "," 	54,612 "," 	61,771 "," 	52,345 "," 	27,816 "," 	89,734 "
,2010-11,AUGUST,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,163 "," 	49,628 "," 	63,791 "," 	2,305 "," 	17,185 "," 	19,490 ", 	280 ," 	42,031 "," 	85,901 "," 	74,369 "," 	83,662 "," 	72,923 "," 	41,693 "," 	119,943 "
,2010-11,AUGUST,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,206 "," 	3,518 "," 	5,724 ", 	634 ," 	2,130 "," 	2,764 ", 	1 ," 	1,588 ", 	901 ," 	1,523 ", 	901 ," 	1,522 "," 	1,637 "," 	4,777 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	844 ," 	2,767 "," 	3,611 ", 	170 , 	932 ," 	1,102 ", 	154 ," 	2,742 "," 	4,988 "," 	4,354 "," 	4,758 "," 	4,170 "," 	4,363 "," 	8,109 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	682 ," 	2,326 "," 	3,008 ", 	97 , 	764 , 	861 , 	125 ," 	2,496 "," 	4,173 "," 	3,912 "," 	3,979 "," 	3,772 "," 	2,719 "," 	6,572 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	251 , 	895 ," 	1,146 ", 	25 , 	245 , 	270 , 	10 ," 	1,096 "," 	1,474 "," 	1,160 "," 	1,393 "," 	1,114 ", 	948 ," 	1,953 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	482 ," 	2,007 "," 	2,489 ", 	60 , 	624 , 	684 , 	78 ," 	1,815 "," 	3,127 "," 	2,437 "," 	3,090 "," 	2,416 "," 	1,698 "," 	4,240 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	261 , 	798 ," 	1,059 ", 	47 , 	191 , 	238 , 	1 , 	995 ," 	1,814 "," 	1,210 "," 	1,804 "," 	1,208 "," 	1,190 "," 	2,668 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	654 ," 	1,687 "," 	2,341 ", 	159 , 	346 , 	505 , 	405 ," 	1,978 "," 	4,302 "," 	3,490 "," 	4,168 "," 	3,397 "," 	2,439 "," 	5,823 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	484 ," 	1,877 "," 	2,361 ", 	54 , 	667 , 	721 , 	33 ," 	1,569 "," 	3,527 "," 	2,734 "," 	3,345 "," 	2,581 "," 	2,614 "," 	4,862 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	900 ," 	2,957 "," 	3,857 ", 	167 , 	833 ," 	1,000 ", 	71 ," 	2,789 "," 	5,331 "," 	3,779 "," 	5,205 "," 	3,734 "," 	4,437 "," 	7,057 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	406 ," 	1,335 "," 	1,741 ", 	111 , 	584 , 	695 , 	111 ," 	1,822 "," 	2,443 "," 	1,843 "," 	2,283 "," 	1,735 "," 	1,502 "," 	3,132 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,444 "," 	5,219 "," 	6,663 ", 	224 ," 	1,636 "," 	1,860 ", 	39 ," 	5,165 "," 	9,243 "," 	7,446 "," 	8,993 "," 	7,278 "," 	5,922 "," 	13,447 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	386 ," 	1,272 "," 	1,658 ", 	98 , 	631 , 	729 , 	106 ," 	1,448 "," 	2,055 "," 	1,669 "," 	1,956 "," 	1,603 "," 	1,240 "," 	2,727 "
,2010-11,AUGUST,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,010 "," 	3,712 "," 	4,722 ", 	137 ," 	1,166 "," 	1,303 ", 	134 ," 	3,413 "," 	5,919 "," 	5,398 "," 	5,873 "," 	5,358 "," 	3,662 "," 	9,009 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	667 ," 	1,857 "," 	2,524 ", 	110 , 	585 , 	695 , 	12 ," 	2,794 "," 	4,576 "," 	3,545 "," 	4,388 "," 	3,374 "," 	3,162 "," 	5,597 "
,2010-11,AUGUST,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	785 ," 	2,251 "," 	3,036 ", 	191 , 	611 , 	802 , 	33 ," 	2,798 "," 	5,436 "," 	4,399 "," 	5,309 "," 	4,296 "," 	3,814 "," 	7,029 "
