,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,DECEMBER,,,,England," 	127,164 "," 	392,719 "," 	519,883 "," 	20,714 "," 	115,336 "," 	136,050 "," 	7,717 "," 	15,646 "," 	450,630 "," 	780,175 "," 	721,187 "," 	748,274 "," 	680,918 "," 	434,467 "," 	1,121,161 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,DECEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,226 "," 	23,474 "," 	30,700 "," 	1,082 "," 	7,906 "," 	8,988 ", 	258 , 	558 ," 	28,810 "," 	37,331 "," 	37,825 "," 	36,242 "," 	36,246 "," 	27,553 "," 	62,587 "
,2008-09,DECEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	18,725 "," 	57,945 "," 	76,670 "," 	2,983 "," 	13,885 "," 	16,868 "," 	1,508 "," 	2,311 "," 	74,576 "," 	115,881 "," 	105,215 "," 	109,722 "," 	99,393 "," 	71,394 "," 	165,498 "
,2008-09,DECEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,618 "," 	41,182 "," 	54,800 "," 	2,407 "," 	12,442 "," 	14,849 ", 	932 ," 	1,085 "," 	48,987 "," 	75,981 "," 	69,261 "," 	73,183 "," 	66,259 "," 	42,353 "," 	110,131 "
,2008-09,DECEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,297 "," 	36,726 "," 	48,023 "," 	1,860 "," 	12,142 "," 	14,002 "," 	1,274 ", 	80 ," 	38,323 "," 	62,270 "," 	57,062 "," 	60,138 "," 	55,447 "," 	31,362 "," 	86,303 "
,2008-09,DECEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,789 "," 	44,360 "," 	57,149 "," 	2,313 "," 	15,264 "," 	17,577 ", 	26 ," 	3,137 "," 	45,812 "," 	80,164 "," 	76,177 "," 	70,616 "," 	67,784 "," 	55,048 "," 	117,780 "
,2008-09,DECEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,265 "," 	42,048 "," 	56,313 "," 	2,676 "," 	11,869 "," 	14,545 ", 	463 ," 	1,138 "," 	42,708 "," 	92,329 "," 	83,715 "," 	90,164 "," 	77,607 "," 	44,943 "," 	116,775 "
,2008-09,DECEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,868 "," 	48,571 "," 	64,439 "," 	2,253 "," 	11,920 "," 	14,173 ", 	428 , 	740 ," 	58,595 "," 	125,275 "," 	106,962 "," 	116,932 "," 	100,014 "," 	66,181 "," 	179,055 "
,2008-09,DECEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	9,613 "," 	26,271 "," 	35,884 "," 	1,223 "," 	5,611 "," 	6,834 "," 	1,171 "," 	2,173 "," 	36,130 "," 	65,008 "," 	60,479 "," 	62,705 "," 	57,959 "," 	29,503 "," 	85,291 "
,2008-09,DECEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,416 "," 	25,943 "," 	34,359 "," 	1,408 "," 	7,738 "," 	9,146 "," 	1,013 "," 	3,138 "," 	33,691 "," 	52,657 "," 	51,643 "," 	50,453 "," 	47,806 "," 	25,266 "," 	79,104 "
