,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,DECEMBER,,,,England," 	126,732 "," 	414,951 "," 	541,683 "," 	19,504 "," 	121,841 "," 	141,345 "," 	9,676 "," 	15,432 "," 	459,820 "," 	821,467 "," 	750,260 "," 	786,182 "," 	713,490 "," 	458,668 "," 	1,197,598 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,DECEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,635 "," 	24,363 "," 	31,998 "," 	1,288 "," 	6,749 "," 	8,037 ", 	207 , 	810 ," 	28,457 "," 	39,501 "," 	36,879 "," 	38,428 "," 	36,109 "," 	27,064 "," 	61,167 "
,2009-10,DECEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,331 "," 	60,027 "," 	79,358 "," 	2,693 "," 	16,297 "," 	18,990 "," 	1,521 "," 	3,266 "," 	74,556 "," 	118,264 "," 	108,200 "," 	113,441 "," 	103,633 "," 	75,412 "," 	178,191 "
,2009-10,DECEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,007 "," 	44,089 "," 	58,096 "," 	2,051 "," 	13,443 "," 	15,494 "," 	1,002 ", 	978 ," 	48,856 "," 	79,096 "," 	74,422 "," 	76,457 "," 	70,239 "," 	44,276 "," 	119,306 "
,2009-10,DECEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,933 "," 	38,477 "," 	49,410 "," 	1,829 "," 	12,916 "," 	14,745 "," 	1,715 ", 	311 ," 	39,283 "," 	67,044 "," 	61,445 "," 	65,124 "," 	60,677 "," 	33,338 "," 	94,644 "
,2009-10,DECEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,745 "," 	46,733 "," 	59,478 "," 	2,035 "," 	16,120 "," 	18,155 ", 	737 ," 	2,152 "," 	47,499 "," 	94,555 "," 	81,982 "," 	85,273 "," 	74,108 "," 	52,508 "," 	126,730 "
,2009-10,DECEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,299 "," 	46,545 "," 	60,844 "," 	2,075 "," 	13,408 "," 	15,483 ", 	688 ," 	1,245 "," 	44,841 "," 	94,204 "," 	88,891 "," 	90,723 "," 	84,561 "," 	45,849 "," 	128,598 "
,2009-10,DECEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,218 "," 	52,121 "," 	67,339 "," 	2,284 "," 	12,315 "," 	14,599 ", 	646 , 	727 ," 	62,273 "," 	132,953 "," 	113,357 "," 	122,520 "," 	102,797 "," 	71,084 "," 	191,933 "
,2009-10,DECEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	9,826 "," 	28,619 "," 	38,445 "," 	1,490 "," 	6,784 "," 	8,274 "," 	1,031 "," 	1,896 "," 	37,509 "," 	66,777 "," 	61,877 "," 	64,650 "," 	59,925 "," 	35,461 "," 	93,214 "
,2009-10,DECEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,216 "," 	26,990 "," 	35,206 "," 	1,395 "," 	7,478 "," 	8,873 "," 	1,439 "," 	2,520 "," 	32,010 "," 	54,646 "," 	51,976 "," 	52,403 "," 	49,895 "," 	28,945 "," 	83,582 "
