,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,DECEMBER,,,,England," 	119,445 "," 	444,135 "," 	563,580 "," 	19,370 "," 	139,459 "," 	158,829 "," 	18,857 "," 	464,950 "," 	803,021 "," 	717,726 "," 	759,668 "," 	679,446 "," 	482,439 "," 	1,176,382 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,DECEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,025 "," 	29,261 "," 	36,286 "," 	1,179 "," 	9,971 "," 	11,150 "," 	1,348 "," 	27,990 "," 	39,163 "," 	35,791 "," 	37,645 "," 	34,785 "," 	30,717 "," 	65,780 "
,2011-12,DECEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	17,376 "," 	65,623 "," 	82,999 "," 	2,696 "," 	18,538 "," 	21,234 "," 	3,146 "," 	73,436 "," 	115,899 "," 	104,243 "," 	111,069 "," 	99,832 "," 	75,103 "," 	173,004 "
,2011-12,DECEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	12,363 "," 	47,510 "," 	59,873 "," 	2,272 "," 	14,147 "," 	16,419 ", 	620 ," 	52,017 "," 	78,991 "," 	71,073 "," 	76,737 "," 	68,245 "," 	45,899 "," 	118,451 "
,2011-12,DECEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,003 "," 	38,387 "," 	48,390 "," 	1,495 "," 	13,977 "," 	15,472 ", 	372 ," 	39,052 "," 	59,172 "," 	53,318 "," 	57,577 "," 	51,874 "," 	33,015 "," 	82,693 "
,2011-12,DECEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,808 "," 	47,518 "," 	60,326 "," 	2,444 "," 	16,352 "," 	18,796 "," 	3,083 "," 	48,678 "," 	87,673 "," 	77,996 "," 	79,621 "," 	69,665 "," 	53,137 "," 	123,379 "
,2011-12,DECEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	12,430 "," 	46,852 "," 	59,282 "," 	1,894 "," 	15,643 "," 	17,537 "," 	1,688 "," 	44,241 "," 	87,167 "," 	78,445 "," 	83,961 "," 	75,838 "," 	49,933 "," 	123,546 "
,2011-12,DECEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	13,985 "," 	56,820 "," 	70,805 "," 	1,856 "," 	15,350 "," 	17,206 "," 	2,827 "," 	64,250 "," 	138,423 "," 	117,695 "," 	122,477 "," 	106,013 "," 	82,254 "," 	191,687 "
,2011-12,DECEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,853 "," 	33,539 "," 	44,392 "," 	2,104 "," 	10,006 "," 	12,110 "," 	1,098 "," 	35,958 "," 	65,858 "," 	59,292 "," 	63,380 "," 	57,085 "," 	40,349 "," 	97,601 "
,2011-12,DECEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	7,934 "," 	27,306 "," 	35,240 ", 	990 ," 	6,795 "," 	7,785 "," 	3,964 "," 	31,807 "," 	55,226 "," 	49,877 "," 	53,065 "," 	47,496 "," 	29,927 "," 	82,023 "
