,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,FEBRUARY,,,,England," 	131,078 "," 	401,326 "," 	532,404 "," 	20,254 "," 	116,392 "," 	136,646 "," 	8,391 "," 	17,025 "," 	403,583 "," 	848,071 "," 	692,127 "," 	808,810 "," 	651,499 "," 	444,581 "," 	1,107,312 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,FEBRUARY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,036 "," 	23,915 "," 	31,951 "," 	1,171 "," 	7,754 "," 	8,925 ", 	227 , 	616 ," 	25,301 "," 	42,073 "," 	37,265 "," 	40,671 "," 	35,467 "," 	28,059 "," 	61,645 "
,2008-09,FEBRUARY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	20,480 "," 	62,313 "," 	82,793 "," 	2,772 "," 	15,629 "," 	18,401 "," 	1,371 "," 	3,108 "," 	66,734 "," 	133,185 "," 	105,869 "," 	126,416 "," 	100,137 "," 	74,190 "," 	169,763 "
,2008-09,FEBRUARY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,121 "," 	41,647 "," 	55,768 "," 	2,363 "," 	12,870 "," 	15,233 ", 	945 , 	975 ," 	44,101 "," 	82,467 "," 	66,167 "," 	78,278 "," 	63,238 "," 	42,627 "," 	107,301 "
,2008-09,FEBRUARY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,275 "," 	36,072 "," 	47,347 "," 	1,680 "," 	12,266 "," 	13,946 "," 	1,445 ", 	89 ," 	33,591 "," 	67,195 "," 	54,468 "," 	64,697 "," 	53,415 "," 	30,743 "," 	83,385 "
,2008-09,FEBRUARY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,628 "," 	44,845 "," 	58,473 "," 	2,371 "," 	15,418 "," 	17,789 ", 	198 ," 	3,165 "," 	40,239 "," 	87,939 "," 	72,545 "," 	79,630 "," 	65,005 "," 	57,290 "," 	117,452 "
,2008-09,FEBRUARY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,911 "," 	42,662 "," 	56,573 "," 	2,457 "," 	11,388 "," 	13,845 ", 	423 ," 	1,116 "," 	38,447 "," 	95,957 "," 	79,561 "," 	92,104 "," 	72,461 "," 	46,895 "," 	113,059 "
,2008-09,FEBRUARY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,574 "," 	50,714 "," 	66,288 "," 	2,072 "," 	11,921 "," 	13,993 ", 	632 , 	674 ," 	53,946 "," 	129,257 "," 	102,866 "," 	120,786 "," 	94,822 "," 	66,159 "," 	181,925 "
,2008-09,FEBRUARY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,180 "," 	26,470 "," 	36,650 "," 	1,359 "," 	5,697 "," 	7,056 "," 	1,066 "," 	2,287 "," 	32,553 "," 	69,892 "," 	56,028 "," 	67,321 "," 	53,735 "," 	30,942 "," 	82,106 "
,2008-09,FEBRUARY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,745 "," 	26,837 "," 	35,582 "," 	1,540 "," 	7,564 "," 	9,104 "," 	1,315 "," 	3,591 "," 	30,181 "," 	59,963 "," 	50,255 "," 	57,837 "," 	46,016 "," 	27,219 "," 	78,107 "
