,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,FEBRUARY,,,,England," 	129,290 "," 	433,162 "," 	562,452 "," 	19,191 "," 	125,328 "," 	144,519 "," 	10,938 "," 	15,320 "," 	411,442 "," 	898,435 "," 	758,275 "," 	859,282 "," 	719,258 "," 	457,084 "," 	1,217,200 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,FEBRUARY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,915 "," 	25,095 "," 	33,010 "," 	1,131 "," 	7,921 "," 	9,052 ", 	385 ," 	1,019 "," 	25,094 "," 	44,087 "," 	37,802 "," 	42,895 "," 	35,778 "," 	27,157 "," 	61,072 "
,2009-10,FEBRUARY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,925 "," 	65,546 "," 	85,471 "," 	2,768 "," 	17,419 "," 	20,187 "," 	2,000 "," 	3,249 "," 	66,452 "," 	134,444 "," 	110,599 "," 	129,625 "," 	106,599 "," 	77,241 "," 	183,259 "
,2009-10,FEBRUARY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,923 "," 	45,362 "," 	59,285 "," 	2,006 "," 	13,622 "," 	15,628 "," 	1,077 "," 	1,155 "," 	44,865 "," 	87,415 "," 	72,166 "," 	84,298 "," 	69,108 "," 	43,721 "," 	119,154 "
,2009-10,FEBRUARY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,466 "," 	38,915 "," 	50,381 "," 	1,811 "," 	12,759 "," 	14,570 "," 	2,137 ", 	67 ," 	35,679 "," 	72,515 "," 	62,047 "," 	69,736 "," 	59,412 "," 	31,804 "," 	88,805 "
,2009-10,FEBRUARY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,013 "," 	46,561 "," 	59,574 "," 	1,956 "," 	15,053 "," 	17,009 ", 	659 ," 	2,058 "," 	41,881 "," 	98,307 "," 	82,958 "," 	87,892 "," 	74,447 "," 	51,001 "," 	127,899 "
,2009-10,FEBRUARY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,830 "," 	49,303 "," 	64,133 "," 	2,062 "," 	13,886 "," 	15,948 ", 	648 ," 	1,252 "," 	39,756 "," 	100,045 "," 	89,792 "," 	96,060 "," 	85,108 "," 	46,280 "," 	128,571 "
,2009-10,FEBRUARY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,564 "," 	56,860 "," 	72,424 "," 	2,335 "," 	13,391 "," 	15,726 ", 	724 , 	551 ," 	57,068 "," 	146,870 "," 	118,131 "," 	135,816 "," 	107,535 "," 	71,856 "," 	206,783 "
,2009-10,FEBRUARY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,167 "," 	28,899 "," 	39,066 "," 	1,545 "," 	7,350 "," 	8,895 "," 	1,132 "," 	2,048 "," 	33,134 "," 	73,613 "," 	63,038 "," 	71,627 "," 	60,782 "," 	35,794 "," 	94,577 "
,2009-10,FEBRUARY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,118 "," 	28,280 "," 	36,398 "," 	1,422 "," 	7,588 "," 	9,010 "," 	1,481 "," 	2,852 "," 	28,000 "," 	60,583 "," 	51,965 "," 	58,890 "," 	49,382 "," 	28,249 "," 	86,114 "
