,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,FEBRUARY,,,,England," 	127,268 "," 	450,244 "," 	577,512 "," 	19,679 "," 	137,383 "," 	157,063 "," 	21,308 "," 	426,451 "," 	932,246 "," 	752,468 "," 	882,156 "," 	712,835 "," 	488,760 "," 	1,235,195 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,FEBRUARY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,436 "," 	27,295 "," 	34,731 "," 	1,165 "," 	8,568 "," 	9,733 "," 	1,323 "," 	26,953 "," 	47,483 "," 	37,663 "," 	45,873 "," 	36,603 "," 	32,163 "," 	67,597 "
,2010-11,FEBRUARY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,039 "," 	64,760 "," 	83,799 "," 	2,894 "," 	17,405 "," 	20,299 "," 	3,809 "," 	68,674 "," 	136,587 "," 	109,233 "," 	130,889 "," 	104,058 "," 	79,583 "," 	181,760 "
,2010-11,FEBRUARY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,555 "," 	46,241 "," 	59,796 "," 	2,106 "," 	14,156 "," 	16,263 ", 	863 ," 	48,527 "," 	91,315 "," 	73,883 "," 	88,417 "," 	70,757 "," 	45,477 "," 	121,981 "
,2010-11,FEBRUARY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,584 "," 	39,705 "," 	50,289 "," 	1,576 "," 	13,790 "," 	15,366 ", 	503 ," 	35,238 "," 	71,569 "," 	57,653 "," 	69,973 "," 	56,069 "," 	33,809 "," 	87,517 "
,2010-11,FEBRUARY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,225 "," 	48,070 "," 	61,295 "," 	2,084 "," 	16,463 "," 	18,547 "," 	3,303 "," 	42,889 "," 	102,015 "," 	83,256 "," 	92,102 "," 	75,184 "," 	54,077 "," 	131,941 "
,2010-11,FEBRUARY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,155 "," 	48,518 "," 	61,673 "," 	1,773 "," 	14,377 "," 	16,150 "," 	2,021 "," 	40,633 "," 	95,082 "," 	80,715 "," 	90,610 "," 	77,178 "," 	48,635 "," 	127,662 "
,2010-11,FEBRUARY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,441 "," 	59,961 "," 	75,402 "," 	2,305 "," 	15,254 "," 	17,559 "," 	3,289 "," 	61,090 "," 	163,614 "," 	124,760 "," 	146,783 "," 	113,662 "," 	86,868 "," 	212,398 "
,2010-11,FEBRUARY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,892 "," 	32,302 "," 	43,194 "," 	2,010 "," 	9,552 "," 	11,562 "," 	1,144 "," 	32,262 "," 	74,749 "," 	61,035 "," 	71,891 "," 	58,831 "," 	37,091 "," 	98,910 "
,2010-11,FEBRUARY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,427 "," 	29,139 "," 	37,566 "," 	1,063 "," 	7,236 "," 	8,299 "," 	4,224 "," 	28,385 "," 	63,337 "," 	51,178 "," 	60,960 "," 	48,756 "," 	28,176 "," 	83,704 "
