,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,JANUARY,,,,England," 	129,318 "," 	423,750 "," 	553,068 "," 	20,741 "," 	122,552 "," 	143,293 "," 	9,627 "," 	17,445 "," 	430,316 "," 	887,926 "," 	750,586 "," 	846,405 "," 	705,970 "," 	466,074 "," 	1,196,376 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,JANUARY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,815 "," 	25,429 "," 	33,244 "," 	1,102 "," 	7,959 "," 	9,061 ", 	271 , 	600 ," 	27,129 "," 	44,253 "," 	39,998 "," 	42,922 "," 	38,140 "," 	29,784 "," 	65,768 "
,2008-09,JANUARY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,928 "," 	64,057 "," 	83,985 "," 	2,833 "," 	15,882 "," 	18,715 "," 	1,468 "," 	2,988 "," 	70,210 "," 	137,637 "," 	111,394 "," 	129,330 "," 	105,026 "," 	77,404 "," 	177,083 "
,2008-09,JANUARY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,078 "," 	45,303 "," 	59,381 "," 	2,551 "," 	13,275 "," 	15,826 "," 	1,776 "," 	1,051 "," 	47,795 "," 	86,636 "," 	72,551 "," 	83,066 "," 	69,537 "," 	44,156 "," 	116,160 "
,2008-09,JANUARY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,785 "," 	38,149 "," 	48,934 "," 	1,704 "," 	12,612 "," 	14,316 "," 	1,406 ", 	81 ," 	36,415 "," 	70,173 "," 	60,250 "," 	69,099 "," 	58,978 "," 	32,022 "," 	89,226 "
,2008-09,JANUARY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,083 "," 	46,858 "," 	59,941 "," 	2,385 "," 	15,870 "," 	18,255 ", 	190 ," 	3,312 "," 	42,829 "," 	92,375 "," 	77,914 "," 	83,591 "," 	69,881 "," 	62,020 "," 	127,337 "
,2008-09,JANUARY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,482 "," 	45,411 "," 	59,893 "," 	2,709 "," 	12,566 "," 	15,275 ", 	479 ," 	1,274 "," 	41,018 "," 	101,802 "," 	87,235 "," 	97,912 "," 	80,223 "," 	48,790 "," 	124,462 "
,2008-09,JANUARY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,518 "," 	54,047 "," 	69,565 "," 	2,108 "," 	13,242 "," 	15,350 ", 	846 , 	726 ," 	57,327 "," 	137,004 "," 	112,933 "," 	127,576 "," 	104,208 "," 	70,616 "," 	203,214 "
,2008-09,JANUARY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,145 "," 	28,535 "," 	38,680 "," 	1,469 "," 	6,340 "," 	7,809 "," 	1,103 "," 	2,375 "," 	34,319 "," 	72,729 "," 	61,060 "," 	70,042 "," 	58,103 "," 	31,753 "," 	87,550 "
,2008-09,JANUARY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,879 "," 	28,632 "," 	37,511 "," 	1,479 "," 	8,136 "," 	9,615 "," 	1,322 "," 	3,549 "," 	31,566 "," 	62,354 "," 	54,129 "," 	59,841 "," 	49,602 "," 	27,799 "," 	84,844 "
