,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JANUARY,,,,England," 	121,865 "," 	413,862 "," 	535,727 "," 	18,823 "," 	121,263 "," 	140,086 "," 	10,243 "," 	14,851 "," 	434,834 "," 	844,839 "," 	718,947 "," 	805,520 "," 	685,633 "," 	461,915 "," 	1,185,751 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,JANUARY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,594 "," 	24,021 "," 	31,615 "," 	1,237 "," 	7,280 "," 	8,517 ", 	199 , 	876 ," 	26,839 "," 	41,537 "," 	36,368 "," 	40,379 "," 	35,111 "," 	27,332 "," 	60,808 "
,2009-10,JANUARY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	18,717 "," 	59,809 "," 	78,526 "," 	2,662 "," 	16,255 "," 	18,917 "," 	1,551 "," 	3,362 "," 	69,470 "," 	122,377 "," 	101,737 "," 	117,393 "," 	97,789 "," 	75,673 "," 	175,049 "
,2009-10,JANUARY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,545 "," 	44,619 "," 	58,164 "," 	2,125 "," 	13,226 "," 	15,351 ", 	969 , 	977 ," 	47,777 "," 	80,226 "," 	69,128 "," 	78,633 "," 	66,918 "," 	44,528 "," 	116,034 "
,2009-10,JANUARY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,787 "," 	38,546 "," 	49,333 "," 	1,835 "," 	12,605 "," 	14,440 "," 	2,224 ", 	76 ," 	38,674 "," 	69,809 "," 	59,887 "," 	67,074 "," 	58,523 "," 	34,356 "," 	95,355 "
,2009-10,JANUARY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,244 "," 	45,999 "," 	58,243 "," 	2,082 "," 	15,553 "," 	17,635 ", 	734 ," 	2,117 "," 	43,753 "," 	96,306 "," 	80,343 "," 	85,799 "," 	72,060 "," 	53,341 "," 	125,207 "
,2009-10,JANUARY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,918 "," 	47,859 "," 	61,777 "," 	1,964 "," 	13,616 "," 	15,580 ", 	637 ," 	1,181 "," 	42,499 "," 	97,196 "," 	88,470 "," 	93,349 "," 	83,920 "," 	46,271 "," 	127,182 "
,2009-10,JANUARY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	14,810 "," 	54,977 "," 	69,787 "," 	2,143 "," 	12,944 "," 	15,087 ", 	706 , 	545 ," 	60,449 "," 	141,148 "," 	113,953 "," 	129,240 "," 	103,737 "," 	72,983 "," 	200,715 "
,2009-10,JANUARY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	9,276 "," 	26,974 "," 	36,250 "," 	1,398 "," 	7,020 "," 	8,418 "," 	1,086 "," 	1,761 "," 	34,682 "," 	66,908 "," 	58,153 "," 	64,623 "," 	55,863 "," 	34,212 "," 	89,812 "
,2009-10,JANUARY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	7,435 "," 	25,350 "," 	32,785 "," 	1,248 "," 	6,964 "," 	8,212 "," 	1,437 "," 	2,478 "," 	28,951 "," 	54,184 "," 	45,930 "," 	52,161 "," 	43,917 "," 	28,920 "," 	79,123 "
,2009-10,JANUARY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,539 "," 	45,708 "," 	59,247 "," 	2,129 "," 	15,800 "," 	17,929 ", 	700 ," 	1,478 "," 	41,740 "," 	75,148 "," 	64,978 "," 	76,869 "," 	67,795 "," 	44,299 "," 	116,466 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	814 ," 	2,379 "," 	3,193 ", 	115 , 	705 , 	820 , 	53 , 	1 ," 	2,652 "," 	3,886 "," 	3,803 "," 	3,676 "," 	3,446 "," 	2,950 "," 	6,320 "
,2009-10,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	662 ," 	2,179 "," 	2,841 ", 	74 , 	699 , 	773 , 	65 , 	10 ," 	2,422 "," 	3,652 "," 	3,316 "," 	3,470 "," 	3,109 "," 	1,946 "," 	4,945 "
