,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JANUARY,,,,England," 	124,201 "," 	498,130 "," 	622,331 "," 	19,810 "," 	154,110 "," 	173,920 "," 	21,698 "," 	463,380 "," 	951,947 "," 	815,500 "," 	900,414 "," 	772,872 "," 	550,200 "," 	1,356,850 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,JANUARY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,144 "," 	32,332 "," 	39,476 "," 	1,189 "," 	10,850 "," 	12,039 "," 	1,685 "," 	28,070 "," 	48,565 "," 	41,602 "," 	46,954 "," 	40,287 "," 	32,864 "," 	75,044 "
,2011-12,JANUARY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	17,933 "," 	74,083 "," 	92,016 "," 	2,652 "," 	20,913 "," 	23,565 "," 	3,479 "," 	73,110 "," 	138,804 "," 	117,356 "," 	133,609 "," 	112,733 "," 	85,154 "," 	200,694 "
,2011-12,JANUARY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	12,887 "," 	52,973 "," 	65,860 "," 	2,369 "," 	15,977 "," 	18,346 ", 	754 ," 	51,654 "," 	94,810 "," 	79,370 "," 	91,642 "," 	76,444 "," 	52,723 "," 	135,062 "
,2011-12,JANUARY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	9,835 "," 	43,269 "," 	53,104 "," 	1,430 "," 	15,652 "," 	17,082 ", 	523 ," 	39,006 "," 	70,393 "," 	60,543 "," 	68,491 "," 	58,839 "," 	36,037 "," 	95,751 "
,2011-12,JANUARY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,843 "," 	51,967 "," 	64,810 "," 	2,181 "," 	17,894 "," 	20,075 "," 	3,468 "," 	49,973 "," 	103,987 "," 	88,166 "," 	94,747 "," 	78,304 "," 	62,254 "," 	140,171 "
,2011-12,JANUARY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	12,970 "," 	52,055 "," 	65,025 "," 	1,959 "," 	16,723 "," 	18,682 "," 	2,072 "," 	44,019 "," 	101,759 "," 	89,842 "," 	97,649 "," 	86,578 "," 	55,608 "," 	141,586 "
,2011-12,JANUARY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	14,936 "," 	66,170 "," 	81,106 "," 	2,030 "," 	17,712 "," 	19,742 "," 	2,996 "," 	64,035 "," 	164,090 "," 	135,958 "," 	145,098 "," 	123,590 "," 	97,216 "," 	228,926 "
,2011-12,JANUARY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,184 "," 	36,932 "," 	49,116 "," 	2,245 "," 	11,174 "," 	13,419 "," 	1,188 "," 	36,353 "," 	77,213 "," 	67,255 "," 	74,192 "," 	64,758 "," 	45,574 "," 	111,372 "
,2011-12,JANUARY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,239 "," 	30,658 "," 	38,897 "," 	1,031 "," 	6,906 "," 	7,937 "," 	4,603 "," 	31,063 "," 	62,733 "," 	55,386 "," 	60,414 "," 	52,820 "," 	32,928 "," 	91,128 "
,2011-12,JANUARY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,046 "," 	53,849 "," 	66,895 "," 	2,162 "," 	18,606 "," 	20,768 ", 	917 ," 	44,108 "," 	88,208 "," 	77,875 "," 	86,234 "," 	76,372 "," 	47,357 "," 	130,504 "
,2011-12,JANUARY,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,184 "," 	3,842 "," 	6,026 ", 	562 ," 	1,703 "," 	2,265 ", 	13 ," 	1,989 "," 	1,385 "," 	2,147 "," 	1,384 "," 	2,147 "," 	2,485 "," 	6,612 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,JANUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	743 ," 	3,342 "," 	4,085 ", 	135 ," 	1,206 "," 	1,341 ", 	169 ," 	3,061 "," 	4,987 "," 	4,535 "," 	4,806 "," 	4,356 "," 	3,922 "," 	9,637 "
