,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,JULY,,,,England," 	149,480 "," 	437,984 "," 	587,464 "," 	24,208 "," 	127,610 "," 	151,818 "," 	8,052 "," 	16,778 "," 	424,751 "," 	944,448 "," 	793,814 "," 	901,783 "," 	753,847 "," 	483,791 "," 	1,247,964 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,JULY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,845 "," 	26,520 "," 	35,365 "," 	1,317 "," 	9,095 "," 	10,412 ", 	338 , 	654 ," 	26,334 "," 	47,804 "," 	41,046 "," 	46,533 "," 	40,526 "," 	30,722 "," 	69,415 "
,2008-09,JULY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	23,989 "," 	65,277 "," 	89,266 "," 	4,117 "," 	15,736 "," 	19,853 "," 	1,721 "," 	2,468 "," 	69,656 "," 	141,541 "," 	114,005 "," 	135,257 "," 	109,080 "," 	77,527 "," 	180,778 "
,2008-09,JULY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	16,157 "," 	45,420 "," 	61,577 "," 	2,889 "," 	13,069 "," 	15,958 ", 	876 , 	994 ," 	45,472 "," 	93,920 "," 	77,379 "," 	90,150 "," 	73,495 "," 	46,183 "," 	119,948 "
,2008-09,JULY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,400 "," 	38,595 "," 	50,995 "," 	1,894 "," 	11,994 "," 	13,888 ", 	501 , 	44 ," 	35,546 "," 	74,136 "," 	63,032 "," 	71,581 "," 	61,175 "," 	35,824 "," 	92,501 "
,2008-09,JULY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,464 "," 	47,660 "," 	62,124 "," 	2,354 "," 	15,985 "," 	18,339 ", 	179 ," 	2,978 "," 	42,313 "," 	104,013 "," 	83,828 "," 	92,009 "," 	75,641 "," 	62,766 "," 	129,684 "
,2008-09,JULY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	16,948 "," 	46,675 "," 	63,623 "," 	3,040 "," 	12,690 "," 	15,730 ", 	563 ," 	1,251 "," 	40,338 "," 	106,041 "," 	92,572 "," 	102,360 "," 	85,573 "," 	48,257 "," 	130,277 "
,2008-09,JULY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	18,298 "," 	57,135 "," 	75,433 "," 	2,655 "," 	15,209 "," 	17,864 ", 	647 , 	780 ," 	57,535 "," 	143,835 "," 	117,558 "," 	135,908 "," 	111,561 "," 	72,973 "," 	206,795 "
,2008-09,JULY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,274 "," 	30,077 "," 	41,351 "," 	1,514 "," 	6,606 "," 	8,120 "," 	1,055 "," 	2,540 "," 	33,655 "," 	77,233 "," 	65,295 "," 	74,002 "," 	64,502 "," 	33,155 "," 	96,993 "
,2008-09,JULY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	10,386 "," 	30,142 "," 	40,528 "," 	1,609 "," 	8,847 "," 	10,456 "," 	1,232 "," 	3,748 "," 	32,802 "," 	65,760 "," 	59,457 "," 	62,744 "," 	54,734 "," 	30,354 "," 	93,045 "
,2008-09,JULY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	16,719 "," 	50,483 "," 	67,202 "," 	2,819 "," 	18,379 "," 	21,198 ", 	940 ," 	1,321 "," 	41,100 "," 	90,165 "," 	79,642 "," 	91,239 "," 	77,560 "," 	46,030 "," 	128,528 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	896 ," 	2,596 "," 	3,492 ", 	148 , 	930 ," 	1,078 ", 	41 , 	6 ," 	2,616 "," 	4,665 "," 	4,197 "," 	4,547 "," 	4,120 "," 	3,418 "," 	7,547 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	745 ," 	2,508 "," 	3,253 ", 	84 , 	877 , 	961 , 	53 , 	3 ," 	2,420 "," 	4,272 "," 	4,043 "," 	4,145 "," 	3,912 "," 	2,377 "," 	6,127 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	311 , 	980 ," 	1,291 ", 	41 , 	396 , 	437 , 	- 0, 	7 , 	925 ," 	1,480 "," 	1,218 "," 	1,432 "," 	1,166 ", 	821 ," 	1,857 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	611 ," 	1,892 "," 	2,503 ", 	57 , 	636 , 	693 , 	17 , 	- 0," 	1,996 "," 	3,238 "," 	2,843 "," 	3,212 "," 	2,813 "," 	1,603 "," 	4,375 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	272 , 	739 ," 	1,011 ", 	35 , 	136 , 	171 , 	- 0, 	- 0, 	952 ," 	1,709 "," 	1,400 "," 	1,643 "," 	1,343 "," 	1,261 "," 	2,504 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	809 ," 	1,239 "," 	2,048 ", 	171 , 	302 , 	473 , 	- 0, 	433 ," 	2,162 "," 	4,327 "," 	3,795 "," 	4,241 "," 	3,806 "," 	2,814 "," 	6,383 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	568 ," 	1,903 "," 	2,471 ", 	63 , 	617 , 	680 , 	- 0, 	48 ," 	1,432 "," 	3,830 "," 	2,700 "," 	3,620 "," 	2,717 "," 	1,754 "," 	4,341 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	976 ," 	3,030 "," 	4,006 ", 	102 , 	824 , 	926 , 	- 0, 	123 ," 	2,637 "," 	4,822 "," 	4,004 "," 	4,728 "," 	4,237 "," 	4,805 "," 	7,907 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	423 ," 	1,473 "," 	1,896 ", 	102 , 	788 , 	890 , 	75 , 	- 0," 	1,717 "," 	2,475 "," 	1,981 "," 	2,345 "," 	1,884 "," 	1,450 "," 	3,948 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,684 "," 	5,275 "," 	6,959 ", 	264 ," 	1,702 "," 	1,966 ", 	- 0, 	26 ," 	4,831 "," 	9,152 "," 	7,874 "," 	8,932 "," 	7,657 "," 	6,083 "," 	12,879 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	415 ," 	1,375 "," 	1,790 ", 	80 , 	685 , 	765 , 	91 , 	- 0," 	1,400 "," 	2,177 "," 	1,785 "," 	2,074 "," 	1,703 "," 	1,120 "," 	3,108 "
,2008-09,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,135 "," 	3,510 "," 	4,645 ", 	170 ," 	1,202 "," 	1,372 ", 	61 , 	8 ," 	3,246 "," 	5,657 "," 	5,206 "," 	5,614 "," 	5,168 "," 	3,216 "," 	8,439 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	583 ," 	1,289 "," 	1,872 ", 	165 , 	361 , 	526 , 	52 , 	- 0," 	1,483 "," 	3,068 "," 	2,244 "," 	2,988 "," 	2,227 "," 	1,804 "," 	3,318 "
,2008-09,JULY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	840 ," 	2,087 "," 	2,927 ", 	138 , 	635 , 	773 , 	78 , 	25 ," 	2,637 "," 	4,536 "," 	3,842 "," 	4,430 "," 	3,764 "," 	2,569 "," 	5,685 "
