,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JULY,,,,England," 	146,658 "," 	464,249 "," 	610,907 "," 	23,246 "," 	135,745 "," 	158,991 "," 	10,364 "," 	17,795 "," 	437,212 "," 	1,005,667 "," 	843,856 "," 	961,704 "," 	801,989 "," 	516,215 "," 	1,348,798 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,JULY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,700 "," 	26,909 "," 	35,609 "," 	1,333 "," 	8,675 "," 	10,008 ", 	189 , 	680 ," 	27,252 "," 	47,638 "," 	42,282 "," 	46,435 "," 	41,046 "," 	33,171 "," 	71,224 "
,2009-10,JULY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	22,762 "," 	69,906 "," 	92,668 "," 	3,388 "," 	17,679 "," 	21,067 "," 	1,591 "," 	4,020 "," 	71,046 "," 	148,403 "," 	123,084 "," 	142,538 "," 	117,726 "," 	84,223 "," 	200,544 "
,2009-10,JULY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	16,056 "," 	48,821 "," 	64,877 "," 	2,698 "," 	15,474 "," 	18,172 "," 	1,094 "," 	1,030 "," 	47,427 "," 	96,848 "," 	80,422 "," 	93,497 "," 	77,201 "," 	49,214 "," 	131,195 "
,2009-10,JULY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,312 "," 	43,078 "," 	56,390 "," 	2,153 "," 	14,866 "," 	17,019 "," 	2,224 ", 	78 ," 	37,504 "," 	81,078 "," 	68,136 "," 	79,057 "," 	67,089 "," 	37,015 "," 	103,730 "
,2009-10,JULY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,769 "," 	51,758 "," 	66,527 "," 	2,563 "," 	17,286 "," 	19,849 ", 	808 ," 	2,444 "," 	44,879 "," 	108,399 "," 	90,733 "," 	97,640 "," 	81,340 "," 	62,430 "," 	141,188 "
,2009-10,JULY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	16,593 "," 	51,000 "," 	67,593 "," 	2,416 "," 	14,465 "," 	16,881 ", 	684 ," 	1,181 "," 	42,950 "," 	115,258 "," 	100,925 "," 	110,148 "," 	95,909 "," 	50,851 "," 	145,351 "
,2009-10,JULY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,712 "," 	60,349 "," 	78,061 "," 	2,744 "," 	14,511 "," 	17,255 ", 	666 , 	773 ," 	60,021 "," 	157,337 "," 	127,691 "," 	147,432 "," 	118,318 "," 	79,153 "," 	224,347 "
,2009-10,JULY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,412 "," 	31,206 "," 	42,618 "," 	1,779 "," 	7,292 "," 	9,071 ", 	881 ," 	2,796 "," 	34,126 "," 	81,306 "," 	68,075 "," 	78,573 "," 	65,377 "," 	37,895 "," 	102,480 "
,2009-10,JULY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,211 "," 	29,937 "," 	39,148 "," 	1,631 "," 	7,960 "," 	9,591 "," 	1,461 "," 	3,177 "," 	29,702 "," 	70,964 "," 	60,604 "," 	69,028 "," 	58,215 "," 	32,888 "," 	96,492 "
,2009-10,JULY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	16,131 "," 	51,285 "," 	67,416 "," 	2,541 "," 	17,537 "," 	20,078 ", 	766 ," 	1,616 "," 	42,305 "," 	98,436 "," 	81,904 "," 	97,356 "," 	79,768 "," 	49,375 "," 	132,247 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	962 ," 	2,720 "," 	3,682 ", 	171 , 	807 , 	978 , 	50 , 	11 ," 	2,557 "," 	4,553 "," 	4,261 "," 	4,464 "," 	4,154 "," 	3,613 "," 	7,508 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	802 ," 	2,614 "," 	3,416 ", 	114 , 	838 , 	952 , 	46 , 	7 ," 	2,612 "," 	4,178 "," 	4,015 "," 	4,087 "," 	3,915 "," 	2,492 "," 	6,294 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	324 , 	878 ," 	1,202 ", 	37 , 	365 , 	402 , 	- 0, 	- 0," 	1,055 "," 	1,435 "," 	1,258 "," 	1,384 "," 	1,195 ", 	931 ," 	1,964 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	563 ," 	1,834 "," 	2,397 ", 	80 , 	583 , 	663 , 	- 0, 	- 0," 	2,002 "," 	3,100 "," 	2,618 "," 	3,071 "," 	2,596 "," 	1,736 "," 	4,280 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	282 , 	843 ," 	1,125 ", 	50 , 	132 , 	182 , 	- 0, 	1 ," 	1,084 "," 	1,639 "," 	1,392 "," 	1,616 "," 	1,353 "," 	1,260 "," 	2,440 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	722 ," 	1,221 "," 	1,943 ", 	150 , 	323 , 	473 , 	- 0, 	455 ," 	2,048 "," 	4,345 "," 	3,871 "," 	4,216 "," 	3,902 "," 	2,565 "," 	6,388 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	495 ," 	1,953 "," 	2,448 ", 	45 , 	658 , 	703 , 	- 0, 	43 ," 	1,472 "," 	3,359 "," 	2,521 "," 	3,234 "," 	2,636 "," 	1,997 "," 	4,550 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	901 ," 	3,174 "," 	4,075 ", 	138 , 	821 , 	959 , 	- 0, 	107 ," 	2,798 "," 	5,021 "," 	4,979 "," 	4,957 "," 	4,354 "," 	5,969 "," 	8,032 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	432 ," 	1,345 "," 	1,777 ", 	93 , 	739 , 	832 , 	4 , 	1 ," 	1,900 "," 	2,471 "," 	1,905 "," 	2,315 "," 	1,802 "," 	1,792 "," 	4,011 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,768 "," 	5,490 "," 	7,258 ", 	239 ," 	1,696 "," 	1,935 ", 	- 0, 	52 ," 	5,047 "," 	9,543 "," 	8,095 "," 	9,266 "," 	7,907 "," 	6,108 "," 	13,242 "
,2009-10,JULY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	411 ," 	1,249 "," 	1,660 ", 	88 , 	620 , 	708 , 	8 , 	1 ," 	1,394 "," 	2,148 "," 	1,851 "," 	2,023 "," 	1,755 "," 	1,401 "," 	3,482 "
