,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,JULY,,,,England," 	144,940 "," 	477,674 "," 	622,614 "," 	23,120 "," 	144,366 "," 	167,486 "," 	23,607 "," 	458,096 "," 	1,039,442 "," 	864,466 "," 	986,708 "," 	818,848 "," 	534,076 "," 	1,389,422 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,JULY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,437 "," 	28,029 "," 	36,466 "," 	1,318 "," 	9,220 "," 	10,538 "," 	1,424 "," 	28,502 "," 	51,635 "," 	42,610 "," 	50,118 "," 	41,413 "," 	35,268 "," 	76,069 "
,2010-11,JULY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	21,566 "," 	70,820 "," 	92,386 "," 	3,255 "," 	19,652 "," 	22,907 "," 	3,779 "," 	72,698 "," 	152,642 "," 	126,283 "," 	146,385 "," 	120,430 "," 	87,593 "," 	203,272 "
,2010-11,JULY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	15,364 "," 	49,036 "," 	64,400 "," 	2,333 "," 	14,690 "," 	17,023 ", 	878 ," 	50,387 "," 	100,723 "," 	83,212 "," 	97,280 "," 	79,609 "," 	48,907 "," 	136,786 "
,2010-11,JULY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,149 "," 	42,484 "," 	54,633 "," 	1,872 "," 	14,797 "," 	16,669 ", 	844 ," 	37,821 "," 	80,111 "," 	68,449 "," 	78,534 "," 	66,108 "," 	36,268 "," 	101,801 "
,2010-11,JULY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,851 "," 	51,691 "," 	66,542 "," 	2,447 "," 	16,850 "," 	19,297 "," 	4,262 "," 	48,081 "," 	116,030 "," 	99,419 "," 	104,718 "," 	89,170 "," 	57,805 "," 	152,523 "
,2010-11,JULY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,276 "," 	50,680 "," 	65,956 "," 	2,200 "," 	14,768 "," 	16,968 "," 	2,352 "," 	42,616 "," 	110,369 "," 	93,751 "," 	106,239 "," 	90,382 "," 	54,115 "," 	144,405 "
,2010-11,JULY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,351 "," 	62,693 "," 	80,044 "," 	2,583 "," 	16,017 "," 	18,600 "," 	3,163 "," 	65,202 "," 	176,765 "," 	138,773 "," 	160,409 "," 	126,745 "," 	91,373 "," 	230,833 "
,2010-11,JULY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,469 "," 	35,101 "," 	47,570 "," 	2,519 "," 	10,237 "," 	12,756 "," 	1,877 "," 	36,495 "," 	85,280 "," 	71,685 "," 	81,859 "," 	68,654 "," 	45,051 "," 	112,752 "
,2010-11,JULY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,268 "," 	31,409 "," 	40,677 "," 	1,476 "," 	8,059 "," 	9,535 "," 	4,522 "," 	30,389 "," 	70,783 "," 	58,372 "," 	68,317 "," 	56,120 "," 	30,817 "," 	96,376 "
