,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JULY,,,,England," 	134,790 "," 	476,591 "," 	611,381 "," 	22,321 "," 	147,104 "," 	169,425 "," 	20,471 "," 	441,016 "," 	962,948 "," 	786,647 "," 	913,705 "," 	744,402 "," 	532,215 "," 	1,302,015 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,JULY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,250 "," 	30,010 "," 	38,260 "," 	1,356 "," 	10,081 "," 	11,437 "," 	1,566 "," 	26,327 "," 	50,048 "," 	39,349 "," 	48,371 "," 	38,234 "," 	33,651 "," 	72,841 "
,2011-12,JULY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,358 "," 	68,184 "," 	87,542 "," 	3,094 "," 	18,223 "," 	21,317 "," 	3,336 "," 	70,328 "," 	139,007 "," 	114,025 "," 	133,715 "," 	109,102 "," 	85,187 "," 	192,058 "
,2011-12,JULY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,444 "," 	48,987 "," 	63,431 "," 	2,616 "," 	14,637 "," 	17,253 ", 	634 ," 	49,710 "," 	96,344 "," 	77,719 "," 	93,593 "," 	74,809 "," 	49,734 "," 	130,669 "
,2011-12,JULY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,778 "," 	40,820 "," 	51,598 "," 	1,643 "," 	14,897 "," 	16,540 ", 	432 ," 	36,124 "," 	70,484 "," 	58,617 "," 	68,796 "," 	56,904 "," 	34,293 "," 	91,387 "
,2011-12,JULY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,209 "," 	49,637 "," 	63,846 "," 	2,557 "," 	17,181 "," 	19,738 "," 	3,292 "," 	44,510 "," 	104,527 "," 	87,331 "," 	96,125 "," 	77,622 "," 	59,033 "," 	137,001 "
,2011-12,JULY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,879 "," 	51,857 "," 	65,736 "," 	2,160 "," 	16,311 "," 	18,471 "," 	2,040 "," 	41,533 "," 	103,376 "," 	83,153 "," 	98,964 "," 	80,421 "," 	50,834 "," 	133,184 "
,2011-12,JULY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,492 "," 	63,491 "," 	79,983 "," 	2,354 "," 	16,253 "," 	18,607 "," 	2,772 "," 	64,084 "," 	165,899 "," 	131,204 "," 	148,106 "," 	119,555 "," 	95,714 "," 	222,371 "
,2011-12,JULY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,908 "," 	34,931 "," 	46,839 "," 	2,408 "," 	10,250 "," 	12,658 "," 	1,154 "," 	34,839 "," 	77,986 "," 	64,153 "," 	74,942 "," 	60,819 "," 	43,085 "," 	103,159 "
,2011-12,JULY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,997 "," 	30,316 "," 	39,313 "," 	1,282 "," 	7,324 "," 	8,606 "," 	4,311 "," 	29,911 "," 	65,529 "," 	54,466 "," 	63,130 "," 	51,869 "," 	32,659 "," 	89,476 "
,2011-12,JULY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,015 "," 	52,786 "," 	66,801 "," 	2,182 "," 	18,118 "," 	20,300 ", 	933 ," 	41,727 "," 	88,390 "," 	74,799 "," 	86,606 "," 	73,236 "," 	46,038 "," 	124,074 "
,2011-12,JULY,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,460 "," 	5,572 "," 	8,032 ", 	669 ," 	3,829 "," 	4,498 ", 	1 ," 	1,923 "," 	1,358 "," 	1,831 "," 	1,357 "," 	1,831 "," 	1,987 "," 	5,795 "
,,,,,,,,,,,,,,,,,,,,
