,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,JUNE,,,,England," 	139,990 "," 	406,636 "," 	546,626 "," 	21,983 "," 	118,809 "," 	140,792 "," 	9,595 "," 	13,583 "," 	408,705 "," 	886,572 "," 	755,628 "," 	845,108 "," 	713,978 "," 	461,013 "," 	1,187,592 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,JUNE,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,480 "," 	23,999 "," 	32,479 "," 	1,190 "," 	7,724 "," 	8,914 ", 	132 , 	766 ," 	25,454 "," 	44,614 "," 	39,125 "," 	43,354 "," 	38,901 "," 	29,182 "," 	67,043 "
,2008-09,JUNE,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	22,122 "," 	59,477 "," 	81,599 "," 	3,589 "," 	13,986 "," 	17,575 "," 	1,187 "," 	2,645 "," 	67,294 "," 	132,247 "," 	108,160 "," 	126,359 "," 	103,534 "," 	73,898 "," 	175,799 "
,2008-09,JUNE,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	15,388 "," 	42,692 "," 	58,080 "," 	2,633 "," 	11,802 "," 	14,435 "," 	1,059 ", 	998 ," 	43,369 "," 	87,831 "," 	73,063 "," 	83,911 "," 	69,280 "," 	41,608 "," 	107,841 "
,2008-09,JUNE,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,865 "," 	35,367 "," 	47,232 "," 	1,785 "," 	11,327 "," 	13,112 ", 	395 , 	198 ," 	34,216 "," 	71,934 "," 	59,888 "," 	67,874 "," 	57,446 "," 	33,796 "," 	88,979 "
,2008-09,JUNE,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,705 "," 	46,673 "," 	60,378 "," 	2,167 "," 	16,377 "," 	18,544 "," 	2,644 ", 	158 ," 	40,846 "," 	88,286 "," 	80,984 "," 	79,916 "," 	72,536 "," 	60,720 "," 	126,157 "
,2008-09,JUNE,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,457 "," 	43,987 "," 	59,444 "," 	2,808 "," 	11,858 "," 	14,666 ", 	542 ," 	1,129 "," 	38,996 "," 	99,457 "," 	88,821 "," 	95,807 "," 	82,167 "," 	47,622 "," 	122,882 "
,2008-09,JUNE,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,889 "," 	51,691 "," 	68,580 "," 	2,291 "," 	13,824 "," 	16,115 ", 	583 , 	703 ," 	54,570 "," 	140,691 "," 	113,864 "," 	130,813 "," 	104,957 "," 	70,678 "," 	197,431 "
,2008-09,JUNE,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,492 "," 	27,706 "," 	38,198 "," 	1,412 "," 	6,244 "," 	7,656 "," 	1,022 "," 	2,396 "," 	32,469 "," 	73,069 "," 	61,994 "," 	68,985 "," 	60,332 "," 	31,568 "," 	91,161 "
,2008-09,JUNE,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,371 "," 	27,354 "," 	36,725 "," 	1,411 "," 	8,128 "," 	9,539 "," 	1,127 "," 	3,436 "," 	31,489 "," 	63,469 "," 	55,589 "," 	61,501 "," 	51,532 "," 	27,942 "," 	87,916 "
