,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,JUNE,,,,England," 	142,169 "," 	457,890 "," 	600,059 "," 	21,946 "," 	130,524 "," 	152,470 "," 	11,295 "," 	17,876 "," 	433,256 "," 	1,007,393 "," 	857,665 "," 	962,775 "," 	816,569 "," 	529,695 "," 	1,368,926 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,JUNE,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,491 "," 	26,149 "," 	34,640 "," 	1,427 "," 	8,277 "," 	9,704 ", 	214 , 	640 ," 	26,796 "," 	49,357 "," 	44,282 "," 	48,033 "," 	42,617 "," 	32,540 "," 	74,057 "
,2009-10,JUNE,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	21,703 "," 	68,516 "," 	90,219 "," 	3,228 "," 	17,242 "," 	20,470 "," 	1,662 "," 	3,567 "," 	69,244 "," 	148,713 "," 	126,302 "," 	142,336 "," 	120,620 "," 	83,546 "," 	204,089 "
,2009-10,JUNE,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	15,737 "," 	48,844 "," 	64,581 "," 	2,592 "," 	15,062 "," 	17,654 "," 	1,083 "," 	1,104 "," 	47,056 "," 	98,195 "," 	81,855 "," 	94,344 "," 	78,658 "," 	49,613 "," 	132,126 "
,2009-10,JUNE,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,213 "," 	41,816 "," 	54,029 "," 	1,792 "," 	13,810 "," 	15,602 "," 	2,296 ", 	87 ," 	36,494 "," 	81,680 "," 	68,726 "," 	79,146 "," 	67,592 "," 	38,868 "," 	105,220 "
,2009-10,JUNE,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,993 "," 	50,774 "," 	64,767 "," 	2,301 "," 	16,560 "," 	18,861 "," 	1,134 "," 	2,207 "," 	43,907 "," 	103,911 "," 	91,857 "," 	94,225 "," 	83,182 "," 	68,491 "," 	148,535 "
,2009-10,JUNE,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	16,741 "," 	53,046 "," 	69,787 "," 	2,403 "," 	14,744 "," 	17,147 ", 	627 ," 	1,318 "," 	44,714 "," 	115,421 "," 	100,359 "," 	110,365 "," 	95,365 "," 	54,122 "," 	144,379 "
,2009-10,JUNE,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,082 "," 	59,811 "," 	76,893 "," 	2,423 "," 	13,471 "," 	15,894 ", 	712 , 	800 ," 	59,110 "," 	161,623 "," 	131,130 "," 	152,302 "," 	122,954 "," 	82,231 "," 	222,390 "
,2009-10,JUNE,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,455 "," 	29,955 "," 	41,410 "," 	1,934 "," 	6,847 "," 	8,781 "," 	1,209 "," 	2,504 "," 	34,576 "," 	82,637 "," 	69,392 "," 	79,794 "," 	67,282 "," 	38,267 "," 	105,726 "
,2009-10,JUNE,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,019 "," 	28,280 "," 	37,299 "," 	1,422 "," 	7,513 "," 	8,935 "," 	1,533 "," 	4,061 "," 	29,426 "," 	69,677 "," 	59,305 "," 	67,937 "," 	57,559 "," 	33,159 "," 	98,172 "
