,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,JUNE,,,,England," 	139,030 "," 	483,870 "," 	622,927 "," 	22,690 "," 	144,721 "," 	167,441 "," 	23,779 "," 	449,326 "," 	1,062,591 "," 	894,979 "," 	1,008,219 "," 	848,213 "," 	544,019 "," 	1,428,070 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,JUNE,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,191 "," 	28,067 "," 	36,258 "," 	1,380 "," 	9,146 "," 	10,526 "," 	1,350 "," 	28,336 "," 	53,290 "," 	45,741 "," 	51,765 "," 	44,556 "," 	33,971 "," 	78,240 "
,2010-11,JUNE,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	20,682 "," 	71,948 "," 	92,630 "," 	3,416 "," 	19,395 "," 	22,811 "," 	4,027 "," 	71,485 "," 	158,435 "," 	130,204 "," 	152,358 "," 	124,274 "," 	89,186 "," 	212,976 "
,2010-11,JUNE,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,539 "," 	49,188 "," 	63,727 "," 	2,233 "," 	14,336 "," 	16,569 ", 	949 ," 	49,075 "," 	105,151 "," 	85,993 "," 	101,495 "," 	82,351 "," 	50,366 "," 	139,741 "
,2010-11,JUNE,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,556 "," 	43,223 "," 	54,779 "," 	1,802 "," 	14,938 "," 	16,770 ", 	849 ," 	37,844 "," 	81,469 "," 	70,814 "," 	79,848 "," 	68,714 "," 	36,930 "," 	105,362 "
,2010-11,JUNE,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,019 "," 	53,610 "," 	67,629 "," 	2,176 "," 	17,876 "," 	20,052 "," 	4,367 "," 	46,792 "," 	112,987 "," 	103,098 "," 	102,307 "," 	93,034 "," 	57,212 "," 	153,569 "
,2010-11,JUNE,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,695 "," 	51,586 "," 	66,281 "," 	2,090 "," 	15,238 "," 	17,328 "," 	2,380 "," 	41,130 "," 	113,256 "," 	96,714 "," 	108,678 "," 	92,991 "," 	56,785 "," 	146,952 "
,2010-11,JUNE,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,010 "," 	62,793 "," 	79,803 "," 	2,635 "," 	15,767 "," 	18,402 "," 	2,877 "," 	64,786 "," 	181,192 "," 	143,571 "," 	163,300 "," 	130,970 "," 	94,694 "," 	236,119 "
,2010-11,JUNE,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,155 "," 	34,916 "," 	47,071 "," 	2,522 "," 	10,001 "," 	12,523 "," 	1,918 "," 	35,790 "," 	87,482 "," 	74,875 "," 	83,961 "," 	71,267 "," 	44,753 "," 	117,050 "
,2010-11,JUNE,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,950 "," 	32,063 "," 	41,013 "," 	1,414 "," 	8,356 "," 	9,770 "," 	4,503 "," 	29,464 "," 	72,944 "," 	60,075 "," 	70,651 "," 	57,938 "," 	31,884 "," 	99,837 "
,2010-11,JUNE,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,972 "," 	53,259 "," 	68,258 "," 	2,371 "," 	17,997 "," 	20,368 ", 	559 ," 	42,954 "," 	95,504 "," 	82,274 "," 	92,977 "," 	80,504 "," 	46,678 "," 	132,736 "
,2010-11,JUNE,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,261 "," 	3,217 "," 	5,478 ", 	651 ," 	1,671 "," 	2,322 ", 	- 0," 	1,670 ", 	881 ," 	1,620 ", 	879 ," 	1,614 "," 	1,560 "," 	5,488 "
,,,,,,,,,,,,,,,,,,,,
