,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,JUNE,,,,England," 	136,475 "," 	501,450 "," 	637,925 "," 	22,358 "," 	153,608 "," 	175,966 "," 	21,786 "," 	442,509 "," 	1,024,225 "," 	862,757 "," 	969,284 "," 	818,842 "," 	559,438 "," 	1,419,113 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,JUNE,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,122 "," 	31,817 "," 	39,939 "," 	1,246 "," 	10,720 "," 	11,966 "," 	1,589 "," 	26,339 "," 	51,053 "," 	43,767 "," 	49,308 "," 	42,598 "," 	35,348 "," 	78,738 "
,2011-12,JUNE,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,643 "," 	71,441 "," 	91,084 "," 	3,157 "," 	19,098 "," 	22,255 "," 	3,662 "," 	70,866 "," 	145,664 "," 	123,971 "," 	139,764 "," 	118,634 "," 	88,606 "," 	207,959 "
,2011-12,JUNE,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,946 "," 	51,680 "," 	66,626 "," 	2,612 "," 	15,437 "," 	18,049 ", 	741 ," 	49,678 "," 	99,931 "," 	85,868 "," 	96,854 "," 	82,333 "," 	51,881 "," 	142,139 "
,2011-12,JUNE,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,079 "," 	43,068 "," 	54,147 "," 	1,646 "," 	15,101 "," 	16,747 ", 	471 ," 	36,581 "," 	75,398 "," 	65,343 "," 	73,503 "," 	63,607 "," 	36,531 "," 	100,785 "
,2011-12,JUNE,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,209 "," 	51,572 "," 	65,781 "," 	2,365 "," 	17,790 "," 	20,155 "," 	3,584 "," 	45,146 "," 	112,803 "," 	95,227 "," 	102,144 "," 	85,754 "," 	61,726 "," 	149,748 "
,2011-12,JUNE,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,148 "," 	54,797 "," 	69,945 "," 	2,490 "," 	16,862 "," 	19,352 "," 	2,306 "," 	41,633 "," 	109,365 "," 	91,773 "," 	104,388 "," 	88,627 "," 	53,271 "," 	146,474 "
,2011-12,JUNE,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,533 "," 	66,995 "," 	83,528 "," 	2,337 "," 	17,446 "," 	19,783 "," 	2,775 "," 	64,119 "," 	182,388 "," 	143,293 "," 	163,646 "," 	131,112 "," 	101,414 "," 	242,008 "
,2011-12,JUNE,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,157 "," 	36,848 "," 	49,005 "," 	2,492 "," 	10,785 "," 	13,277 "," 	1,195 "," 	34,517 "," 	82,825 "," 	69,723 "," 	79,725 "," 	67,045 "," 	46,354 "," 	113,205 "
,2011-12,JUNE,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,891 "," 	31,976 "," 	40,867 "," 	1,286 "," 	7,754 "," 	9,040 "," 	4,557 "," 	29,895 "," 	70,155 "," 	59,292 "," 	67,504 "," 	56,258 "," 	33,929 "," 	95,980 "
,2011-12,JUNE,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,856 "," 	55,634 "," 	69,490 "," 	2,138 "," 	18,692 "," 	20,830 ", 	906 ," 	41,873 "," 	93,224 "," 	82,415 "," 	91,032 "," 	80,789 "," 	48,409 "," 	136,314 "
,2011-12,JUNE,,,YDD82,NATIONAL COMMISSIONING GROUP," 	1,891 "," 	5,622 "," 	7,513 ", 	589 ," 	3,923 "," 	4,512 ", 	- 0," 	1,862 "," 	1,419 "," 	2,085 "," 	1,416 "," 	2,085 "," 	1,969 "," 	5,763 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	853 ," 	3,371 "," 	4,224 ", 	154 ," 	1,181 "," 	1,335 ", 	153 ," 	2,837 "," 	5,250 "," 	4,747 "," 	5,078 "," 	4,585 "," 	4,049 "," 	9,478 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	663 ," 	2,738 "," 	3,401 ", 	75 , 	905 , 	980 , 	158 ," 	2,481 "," 	4,790 "," 	4,123 "," 	4,576 "," 	3,954 "," 	2,945 "," 	7,416 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	244 ," 	1,033 "," 	1,277 ", 	26 , 	307 , 	333 , 	7 , 	862 ," 	1,502 "," 	1,320 "," 	1,433 "," 	1,273 ", 	839 ," 	1,994 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	518 ," 	2,227 "," 	2,745 ", 	77 , 	642 , 	719 , 	58 ," 	1,593 "," 	3,183 "," 	2,864 "," 	3,148 "," 	2,834 "," 	1,520 "," 	4,333 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	297 ," 	1,066 "," 	1,363 ", 	54 , 	257 , 	311 , 	1 , 	973 ," 	1,771 "," 	1,286 "," 	1,723 "," 	1,282 "," 	1,357 "," 	3,064 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	672 ," 	2,399 "," 	3,071 ", 	123 , 	742 , 	865 , 	586 ," 	2,089 "," 	4,469 "," 	3,804 "," 	4,307 "," 	3,695 "," 	2,426 "," 	6,491 "
,2011-12,JUNE,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	507 ," 	2,186 "," 	2,693 ", 	66 , 	748 , 	814 , 	78 ," 	1,728 "," 	3,539 "," 	3,037 "," 	3,362 "," 	2,855 "," 	2,884 "," 	5,701 "
