Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2022,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,2334,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,1854,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MSitAE-JUNE-2022,DD401,NHS ENGLAND SOUTH WEST ,EXMOUTH MINOR INJURY UNIT,0,0,1488,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2944,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,3229,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2022,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8239,0,0,371,0,0,3432,0,0,0,0,0,335,0,2287,0,0,528
MSitAE-JUNE-2022,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
