,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,MARCH,,,,England," 	145,920 "," 	456,706 "," 	602,626 "," 	23,212 "," 	131,200 "," 	154,412 "," 	9,270 "," 	18,645 "," 	459,737 "," 	1,001,469 "," 	818,454 "," 	959,774 "," 	771,725 "," 	511,038 "," 	1,302,049 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,MARCH,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,887 "," 	26,445 "," 	35,332 "," 	1,510 "," 	8,061 "," 	9,571 ", 	200 , 	580 ," 	28,843 "," 	49,728 "," 	42,532 "," 	48,363 "," 	40,751 "," 	32,176 "," 	71,050 "
,2008-09,MARCH,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	23,055 "," 	70,415 "," 	93,470 "," 	3,381 "," 	17,746 "," 	21,127 "," 	1,539 "," 	3,754 "," 	75,966 "," 	153,018 "," 	121,833 "," 	145,884 "," 	115,841 "," 	83,433 "," 	194,647 "
,2008-09,MARCH,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	15,447 "," 	47,653 "," 	63,100 "," 	2,450 "," 	14,703 "," 	17,153 ", 	976 ," 	1,127 "," 	49,807 "," 	96,361 "," 	77,468 "," 	92,470 "," 	73,935 "," 	47,962 "," 	125,430 "
,2008-09,MARCH,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,607 "," 	41,538 "," 	54,145 "," 	1,941 "," 	13,747 "," 	15,688 "," 	1,745 ", 	98 ," 	38,987 "," 	79,114 "," 	64,371 "," 	76,538 "," 	63,064 "," 	36,869 "," 	98,913 "
,2008-09,MARCH,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,900 "," 	50,338 "," 	65,238 "," 	2,498 "," 	16,836 "," 	19,334 ", 	208 ," 	3,494 "," 	46,572 "," 	102,713 "," 	85,442 "," 	93,361 "," 	77,199 "," 	66,029 "," 	138,463 "
,2008-09,MARCH,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	16,091 "," 	48,760 "," 	64,851 "," 	3,103 "," 	13,145 "," 	16,248 ", 	582 ," 	1,185 "," 	44,067 "," 	113,414 "," 	94,723 "," 	109,143 "," 	86,120 "," 	52,908 "," 	132,672 "
,2008-09,MARCH,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,253 "," 	59,727 "," 	76,980 "," 	2,331 "," 	13,929 "," 	16,260 ", 	682 , 	798 ," 	60,268 "," 	156,237 "," 	125,656 "," 	147,532 "," 	117,106 "," 	79,710 "," 	219,763 "
,2008-09,MARCH,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,214 "," 	30,680 "," 	41,894 "," 	1,557 "," 	6,294 "," 	7,851 "," 	1,196 "," 	2,512 "," 	36,997 "," 	83,631 "," 	67,225 "," 	80,713 "," 	64,424 "," 	35,056 "," 	96,875 "
,2008-09,MARCH,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,655 "," 	30,073 "," 	39,728 "," 	1,787 "," 	8,974 "," 	10,761 "," 	1,397 "," 	3,474 "," 	34,623 "," 	71,380 "," 	59,930 "," 	69,821 "," 	55,247 "," 	29,971 "," 	94,455 "
