,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,MARCH,,,,England," 	146,046 "," 	492,268 "," 	638,314 "," 	21,676 "," 	142,656 "," 	164,332 "," 	11,979 "," 	17,958 "," 	463,614 "," 	1,051,589 "," 	890,779 "," 	995,409 "," 	835,742 "," 	532,830 "," 	1,388,273 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,MARCH,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,500 "," 	27,224 "," 	35,724 "," 	1,282 "," 	8,519 "," 	9,801 ", 	215 ," 	1,130 "," 	28,021 "," 	51,421 "," 	44,923 "," 	50,082 "," 	41,837 "," 	32,601 "," 	72,349 "
,2009-10,MARCH,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	22,243 "," 	74,599 "," 	96,842 "," 	3,087 "," 	19,624 "," 	22,711 "," 	1,314 "," 	3,863 "," 	76,253 "," 	155,110 "," 	128,942 "," 	148,580 "," 	123,541 "," 	91,086 "," 	211,693 "
,2009-10,MARCH,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	16,050 "," 	52,222 "," 	68,272 "," 	2,558 "," 	15,818 "," 	18,376 "," 	1,841 "," 	1,332 "," 	51,172 "," 	104,809 "," 	86,202 "," 	98,926 "," 	82,887 "," 	52,494 "," 	136,977 "
,2009-10,MARCH,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,281 "," 	45,231 "," 	58,512 "," 	2,132 "," 	15,370 "," 	17,502 "," 	2,411 ", 	98 ," 	40,198 "," 	86,605 "," 	73,318 "," 	83,783 "," 	70,418 "," 	38,837 "," 	101,063 "
,2009-10,MARCH,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	15,056 "," 	55,677 "," 	70,733 "," 	2,171 "," 	17,435 "," 	19,606 ", 	752 ," 	2,510 "," 	46,901 "," 	116,256 "," 	102,155 "," 	104,229 "," 	91,733 "," 	61,329 "," 	153,066 "
,2009-10,MARCH,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	16,514 "," 	54,099 "," 	70,613 "," 	2,244 "," 	15,534 "," 	17,778 ", 	676 ," 	1,416 "," 	44,901 "," 	117,505 "," 	104,543 "," 	112,606 "," 	98,946 "," 	52,694 "," 	148,913 "
,2009-10,MARCH,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,731 "," 	63,604 "," 	81,335 "," 	2,528 "," 	15,622 "," 	18,150 ", 	761 , 	711 ," 	63,510 "," 	166,929 "," 	136,772 "," 	155,550 "," 	124,068 "," 	82,914 "," 	232,426 "
,2009-10,MARCH,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,017 "," 	32,091 "," 	43,108 "," 	1,795 "," 	7,469 "," 	9,264 "," 	1,447 "," 	2,418 "," 	36,075 "," 	87,229 "," 	72,552 "," 	77,648 "," 	65,256 "," 	38,085 "," 	101,232 "
,2009-10,MARCH,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,459 "," 	33,259 "," 	42,718 "," 	1,476 "," 	9,131 "," 	10,607 "," 	1,782 "," 	3,319 "," 	31,981 "," 	70,041 "," 	59,890 "," 	68,313 "," 	57,376 "," 	32,806 "," 	95,669 "
,2009-10,MARCH,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	16,195 "," 	54,262 "," 	70,457 "," 	2,403 "," 	18,134 "," 	20,537 ", 	780 ," 	1,161 "," 	44,602 "," 	95,684 "," 	81,482 "," 	95,692 "," 	79,680 "," 	49,984 "," 	134,885 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	840 ," 	2,407 "," 	3,247 ", 	169 , 	922 ," 	1,091 ", 	66 , 	18 ," 	2,670 "," 	5,140 "," 	4,589 "," 	4,949 "," 	4,222 "," 	4,015 "," 	8,240 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	691 ," 	2,422 "," 	3,113 ", 	73 , 	881 , 	954 , 	66 , 	6 ," 	2,666 "," 	4,285 "," 	3,929 "," 	4,073 "," 	3,681 "," 	2,253 "," 	6,040 "
,2009-10,MARCH,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	272 ," 	1,040 "," 	1,312 ", 	23 , 	288 , 	311 , 	- 0, 	9 ," 	1,109 "," 	1,670 "," 	1,448 "," 	1,621 "," 	1,391 ", 	960 ," 	2,132 "
