,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,MARCH,,,,England," 	143,030 "," 	525,517 "," 	668,548 "," 	22,274 "," 	159,488 "," 	181,761 "," 	23,970 "," 	476,427 "," 	1,067,115 "," 	884,523 "," 	1,011,328 "," 	838,914 "," 	567,885 "," 	1,446,601 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,MARCH,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,243 "," 	32,523 "," 	40,766 "," 	1,266 "," 	10,266 "," 	11,532 "," 	1,482 "," 	29,171 "," 	55,138 "," 	45,686 "," 	53,378 "," 	44,381 "," 	37,818 "," 	82,017 "
,2010-11,MARCH,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	21,406 "," 	76,763 "," 	98,169 "," 	3,296 "," 	20,182 "," 	23,478 "," 	4,443 "," 	77,274 "," 	154,543 "," 	130,966 "," 	148,376 "," 	125,104 "," 	91,428 "," 	216,242 "
,2010-11,MARCH,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	15,351 "," 	54,930 "," 	70,281 "," 	2,504 "," 	16,813 "," 	19,317 ", 	758 ," 	54,392 "," 	104,076 "," 	85,935 "," 	100,887 "," 	82,355 "," 	53,042 "," 	142,807 "
,2010-11,MARCH,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,522 "," 	45,728 "," 	57,250 "," 	1,560 "," 	16,125 "," 	17,685 ", 	566 ," 	39,175 "," 	81,561 "," 	67,029 "," 	79,779 "," 	65,223 "," 	38,825 "," 	101,779 "
,2010-11,MARCH,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	15,033 "," 	55,907 "," 	70,940 "," 	2,500 "," 	19,179 "," 	21,679 "," 	3,858 "," 	48,394 "," 	116,621 "," 	98,162 "," 	106,477 "," 	88,823 "," 	62,264 "," 	155,831 "
,2010-11,MARCH,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,767 "," 	56,521 "," 	71,288 "," 	2,112 "," 	16,675 "," 	18,787 "," 	2,408 "," 	44,292 "," 	111,574 "," 	93,055 "," 	106,771 "," 	89,354 "," 	57,465 "," 	147,963 "
,2010-11,MARCH,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,081 "," 	68,311 "," 	85,392 "," 	2,401 "," 	17,292 "," 	19,693 "," 	3,144 "," 	68,089 "," 	187,250 "," 	146,494 "," 	167,625 "," 	133,667 "," 	99,858 "," 	245,534 "
,2010-11,MARCH,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,572 "," 	37,578 "," 	50,151 "," 	2,459 "," 	10,962 "," 	13,421 "," 	1,202 "," 	36,612 "," 	85,600 "," 	72,627 "," 	82,372 "," 	70,103 "," 	44,526 "," 	116,421 "
,2010-11,MARCH,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,490 "," 	34,307 "," 	43,797 "," 	1,152 "," 	8,246 "," 	9,397 "," 	5,134 "," 	32,117 "," 	72,338 "," 	60,424 "," 	69,640 "," 	57,571 "," 	32,958 "," 	98,815 "
