,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,MARCH,,,,England," 	141,913 "," 	534,470 "," 	676,383 "," 	21,380 "," 	161,064 "," 	182,444 "," 	23,218 "," 	480,163 "," 	1,041,984 "," 	839,603 "," 	991,642 "," 	796,046 "," 	579,067 "," 	1,389,669 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,MARCH,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,598 "," 	34,754 "," 	43,352 "," 	1,278 "," 	11,159 "," 	12,437 "," 	1,899 "," 	29,451 "," 	53,499 "," 	43,203 "," 	51,321 "," 	41,379 "," 	35,348 "," 	77,084 "
,2011-12,MARCH,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	20,872 "," 	80,974 "," 	101,846 "," 	3,186 "," 	22,884 "," 	26,070 "," 	4,196 "," 	75,591 "," 	150,800 "," 	123,936 "," 	146,397 "," 	119,747 "," 	91,166 "," 	209,704 "
,2011-12,MARCH,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,681 "," 	56,663 "," 	71,344 "," 	2,575 "," 	16,952 "," 	19,527 ", 	707 ," 	52,591 "," 	103,071 "," 	81,372 "," 	100,240 "," 	78,494 "," 	54,411 "," 	137,714 "
,2011-12,MARCH,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,377 "," 	45,125 "," 	56,502 "," 	1,466 "," 	15,770 "," 	17,236 ", 	636 ," 	39,814 "," 	74,679 "," 	61,650 "," 	72,764 "," 	59,807 "," 	38,084 "," 	97,005 "
,2011-12,MARCH,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	15,088 "," 	56,410 "," 	71,498 "," 	2,410 "," 	18,882 "," 	21,292 "," 	3,671 "," 	51,474 "," 	116,754 "," 	92,073 "," 	107,387 "," 	81,966 "," 	64,498 "," 	146,113 "
,2011-12,MARCH,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,356 "," 	56,512 "," 	71,868 "," 	2,182 "," 	17,595 "," 	19,777 "," 	2,148 "," 	45,016 "," 	110,025 "," 	89,997 "," 	106,047 "," 	86,424 "," 	58,608 "," 	142,643 "
,2011-12,MARCH,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,131 "," 	70,611 "," 	87,742 "," 	2,053 "," 	17,746 "," 	19,799 "," 	2,974 "," 	67,039 "," 	178,510 "," 	139,606 "," 	160,897 "," 	127,600 "," 	100,683 "," 	234,000 "
,2011-12,MARCH,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,620 "," 	40,405 "," 	53,025 "," 	2,347 "," 	11,740 "," 	14,087 "," 	1,155 "," 	37,167 "," 	84,531 "," 	69,237 "," 	81,164 "," 	66,623 "," 	47,890 "," 	112,779 "
,2011-12,MARCH,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,505 "," 	33,019 "," 	42,524 "," 	1,171 "," 	7,247 "," 	8,418 "," 	4,896 "," 	33,430 "," 	72,528 "," 	56,666 "," 	69,616 "," 	53,676 "," 	37,045 "," 	93,702 "
