,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,MAY,,,,England," 	132,990 "," 	404,155 "," 	537,145 "," 	20,921 "," 	119,121 "," 	140,042 "," 	9,322 "," 	16,010 "," 	431,844 "," 	902,489 "," 	730,103 "," 	859,452 "," 	694,061 "," 	478,983 "," 	1,182,159 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,MAY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,981 "," 	23,704 "," 	31,685 "," 	1,397 "," 	8,120 "," 	9,517 ", 	211 , 	625 ," 	26,662 "," 	43,229 "," 	36,950 "," 	42,036 "," 	35,373 "," 	31,097 "," 	62,217 "
,2009-10,MAY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,985 "," 	60,105 "," 	80,090 "," 	3,009 "," 	15,138 "," 	18,147 "," 	1,472 "," 	3,179 "," 	69,500 "," 	134,343 "," 	107,382 "," 	127,891 "," 	102,254 "," 	77,923 "," 	174,265 "
,2009-10,MAY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,480 "," 	42,277 "," 	56,757 "," 	2,422 "," 	13,077 "," 	15,499 "," 	1,048 ", 	992 ," 	46,848 "," 	89,180 "," 	69,054 "," 	84,271 "," 	65,907 "," 	44,457 "," 	111,551 "
,2009-10,MAY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,402 "," 	37,040 "," 	48,442 "," 	1,803 "," 	12,945 "," 	14,748 "," 	1,951 ", 	74 ," 	36,405 "," 	74,052 "," 	59,447 "," 	71,806 "," 	58,698 "," 	33,973 "," 	93,131 "
,2009-10,MAY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,310 "," 	44,120 "," 	57,430 "," 	2,124 "," 	15,317 "," 	17,441 ", 	227 ," 	2,160 "," 	44,392 "," 	94,673 "," 	78,529 "," 	85,811 "," 	70,847 "," 	61,123 "," 	125,700 "
,2009-10,MAY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,471 "," 	44,773 "," 	60,244 "," 	2,291 "," 	12,980 "," 	15,271 ", 	591 ," 	1,140 "," 	42,840 "," 	104,175 "," 	87,764 "," 	99,978 "," 	83,185 "," 	49,384 "," 	128,382 "
,2009-10,MAY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,990 "," 	53,194 "," 	69,184 "," 	2,421 "," 	12,581 "," 	15,002 ", 	670 , 	649 ," 	59,103 "," 	141,748 "," 	111,137 "," 	132,442 "," 	102,184 "," 	73,337 "," 	196,683 "
,2009-10,MAY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,461 "," 	27,136 "," 	37,597 "," 	1,559 "," 	6,336 "," 	7,895 "," 	1,039 "," 	2,079 "," 	34,921 "," 	72,790 "," 	58,048 "," 	71,262 "," 	56,345 "," 	34,305 "," 	89,573 "
,2009-10,MAY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,669 "," 	26,441 "," 	35,110 "," 	1,478 "," 	7,037 "," 	8,515 "," 	1,381 "," 	3,575 "," 	29,659 "," 	62,098 "," 	50,901 "," 	59,947 "," 	49,087 "," 	30,207 "," 	83,541 "
