,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,MAY,,,,England," 	126,110 "," 	466,616 "," 	592,726 "," 	21,235 "," 	145,811 "," 	167,046 "," 	21,082 "," 	449,039 "," 	987,843 "," 	799,321 "," 	934,319 "," 	757,040 "," 	541,674 "," 	1,323,319 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,MAY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,452 "," 	29,696 "," 	37,148 "," 	1,203 "," 	9,594 "," 	10,797 "," 	1,566 "," 	27,098 "," 	50,787 "," 	40,554 "," 	49,068 "," 	39,354 "," 	34,158 "," 	73,962 "
,2011-12,MAY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	17,981 "," 	67,317 "," 	85,298 "," 	3,009 "," 	18,790 "," 	21,799 "," 	3,369 "," 	71,235 "," 	141,460 "," 	114,881 "," 	135,517 "," 	109,889 "," 	85,334 "," 	193,610 "
,2011-12,MAY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,775 "," 	48,019 "," 	61,794 "," 	2,614 "," 	15,079 "," 	17,693 ", 	644 ," 	50,901 "," 	96,404 "," 	78,537 "," 	93,194 "," 	75,160 "," 	50,501 "," 	131,163 "
,2011-12,MAY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,252 "," 	40,180 "," 	50,432 "," 	1,505 "," 	14,572 "," 	16,077 ", 	507 ," 	36,573 "," 	73,668 "," 	60,997 "," 	71,789 "," 	59,259 "," 	34,659 "," 	93,875 "
,2011-12,MAY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,141 "," 	48,686 "," 	61,827 "," 	2,315 "," 	17,060 "," 	19,375 "," 	3,260 "," 	45,557 "," 	108,126 "," 	88,513 "," 	98,422 "," 	79,255 "," 	60,925 "," 	140,129 "
,2011-12,MAY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,949 "," 	50,902 "," 	64,851 "," 	2,198 "," 	15,866 "," 	18,064 "," 	2,058 "," 	42,747 "," 	102,837 "," 	85,551 "," 	97,929 "," 	82,246 "," 	53,455 "," 	137,204 "
,2011-12,MAY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,328 "," 	61,727 "," 	77,055 "," 	2,296 "," 	16,072 "," 	18,368 "," 	3,387 "," 	64,612 "," 	175,187 "," 	130,224 "," 	157,074 "," 	118,721 "," 	97,558 "," 	222,405 "
,2011-12,MAY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,956 "," 	33,197 "," 	44,153 "," 	2,267 "," 	10,118 "," 	12,385 "," 	1,061 "," 	35,243 "," 	78,927 "," 	64,909 "," 	76,012 "," 	62,499 "," 	44,674 "," 	106,823 "
,2011-12,MAY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,454 "," 	29,498 "," 	37,952 "," 	1,215 "," 	7,260 "," 	8,475 "," 	4,360 "," 	30,676 "," 	66,961 "," 	54,552 "," 	64,256 "," 	51,757 "," 	32,544 "," 	89,959 "
,2011-12,MAY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,117 "," 	51,975 "," 	65,092 "," 	2,127 "," 	17,563 "," 	19,690 ", 	867 ," 	42,647 "," 	92,076 "," 	78,803 "," 	89,648 "," 	77,100 "," 	46,060 "," 	129,067 "
,2011-12,MAY,,,YDD82,NATIONAL COMMISSIONING GROUP," 	1,705 "," 	5,419 "," 	7,124 ", 	486 ," 	3,837 "," 	4,323 ", 	3 ," 	1,750 "," 	1,410 "," 	1,800 "," 	1,410 "," 	1,800 "," 	1,806 "," 	5,122 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	763 ," 	3,030 "," 	3,793 ", 	140 ," 	1,081 "," 	1,221 ", 	147 ," 	2,929 "," 	5,097 "," 	4,324 "," 	4,949 "," 	4,167 "," 	4,014 "," 	9,251 "
,2011-12,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	543 ," 	2,605 "," 	3,148 ", 	82 , 	869 , 	951 , 	134 ," 	2,460 "," 	4,457 "," 	3,973 "," 	4,261 "," 	3,792 "," 	2,967 "," 	7,194 "
