,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,NOVEMBER,,,,England," 	143,021 "," 	414,948 "," 	557,969 "," 	22,563 "," 	119,263 "," 	141,826 "," 	9,370 "," 	17,065 "," 	422,489 "," 	841,257 "," 	750,375 "," 	806,813 "," 	708,597 "," 	452,756 "," 	1,171,818 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,NOVEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,336 "," 	24,993 "," 	33,329 "," 	1,212 "," 	8,085 "," 	9,297 ", 	446 , 	610 ," 	26,014 "," 	42,348 "," 	39,831 "," 	41,218 "," 	38,275 "," 	28,000 "," 	64,894 "
,2008-09,NOVEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	21,457 "," 	62,362 "," 	83,819 "," 	3,195 "," 	14,855 "," 	18,050 "," 	1,746 "," 	2,442 "," 	71,110 "," 	125,516 "," 	108,226 "," 	120,289 "," 	102,805 "," 	73,240 "," 	168,849 "
,2008-09,NOVEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	16,157 "," 	42,099 "," 	58,256 "," 	3,166 "," 	12,330 "," 	15,496 "," 	1,078 "," 	1,186 "," 	45,279 "," 	80,325 "," 	73,198 "," 	76,461 "," 	69,279 "," 	41,746 "," 	114,200 "
,2008-09,NOVEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,464 "," 	38,700 "," 	51,164 "," 	1,906 "," 	12,325 "," 	14,231 "," 	1,648 ", 	120 ," 	35,979 "," 	66,286 "," 	59,281 "," 	63,774 "," 	57,780 "," 	32,020 "," 	88,775 "
,2008-09,NOVEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,096 "," 	46,527 "," 	60,623 "," 	2,439 "," 	15,515 "," 	17,954 ", 	190 ," 	3,274 "," 	42,451 "," 	89,834 "," 	80,291 "," 	81,241 "," 	71,752 "," 	60,212 "," 	123,619 "
,2008-09,NOVEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,952 "," 	43,695 "," 	59,647 "," 	2,813 "," 	12,091 "," 	14,904 ", 	610 ," 	1,219 "," 	39,741 "," 	97,398 "," 	86,576 "," 	93,384 "," 	79,810 "," 	46,625 "," 	122,690 "
,2008-09,NOVEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,927 "," 	53,468 "," 	71,395 "," 	2,289 "," 	13,418 "," 	15,707 ", 	613 , 	807 ," 	56,839 "," 	134,014 "," 	113,913 "," 	125,579 "," 	106,663 "," 	71,482 "," 	194,627 "
,2008-09,NOVEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,726 "," 	27,345 "," 	38,071 "," 	1,436 "," 	6,198 "," 	7,634 "," 	1,105 "," 	2,295 "," 	33,563 "," 	70,667 "," 	62,066 "," 	68,154 "," 	59,262 "," 	32,463 "," 	88,974 "
,2008-09,NOVEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,612 "," 	27,885 "," 	37,497 "," 	1,474 "," 	7,607 "," 	9,081 "," 	1,098 "," 	3,620 "," 	31,359 "," 	56,603 "," 	53,317 "," 	54,444 "," 	49,307 "," 	25,479 "," 	83,305 "
,2008-09,NOVEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	16,294 "," 	47,874 "," 	64,168 "," 	2,633 "," 	16,839 "," 	19,472 ", 	836 ," 	1,492 "," 	40,154 "," 	78,266 "," 	73,676 "," 	82,269 "," 	73,664 "," 	41,489 "," 	121,885 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	939 ," 	2,555 "," 	3,494 ", 	150 , 	844 , 	994 , 	64 , 	6 ," 	2,566 "," 	4,047 "," 	4,045 "," 	3,947 "," 	3,968 "," 	3,343 "," 	7,097 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	704 ," 	2,307 "," 	3,011 ", 	82 , 	798 , 	880 , 	52 , 	- 0," 	2,482 "," 	3,949 "," 	3,646 "," 	3,851 "," 	3,528 "," 	2,138 "," 	5,583 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	285 , 	942 ," 	1,227 ", 	35 , 	314 , 	349 , 	3 , 	- 0, 	979 ," 	1,391 "," 	1,278 "," 	1,337 "," 	1,220 ", 	737 ," 	1,949 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	524 ," 	1,741 "," 	2,265 ", 	61 , 	545 , 	606 , 	40 , 	- 0," 	1,844 "," 	2,932 "," 	2,516 "," 	2,912 "," 	2,492 "," 	1,424 "," 	4,079 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	283 , 	808 ," 	1,091 ", 	33 , 	139 , 	172 , 	- 0, 	- 0," 	1,006 "," 	1,463 "," 	1,311 "," 	1,424 "," 	1,264 "," 	1,074 "," 	2,158 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	680 ," 	1,088 "," 	1,768 ", 	139 , 	270 , 	409 , 	- 0, 	399 ," 	2,004 "," 	3,638 "," 	3,363 "," 	3,525 "," 	3,358 "," 	2,263 "," 	5,493 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	489 ," 	1,722 "," 	2,211 ", 	48 , 	490 , 	538 , 	- 0, 	33 ," 	1,505 "," 	3,172 "," 	2,714 "," 	2,925 "," 	2,635 "," 	1,572 "," 	4,096 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	943 ," 	2,871 "," 	3,814 ", 	94 , 	664 , 	758 , 	- 0, 	131 ," 	2,869 "," 	4,176 "," 	5,016 "," 	4,129 "," 	4,245 "," 	5,001 "," 	7,852 "
,2008-09,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	384 ," 	1,353 "," 	1,737 ", 	75 , 	634 , 	709 , 	118 , 	- 0," 	1,520 "," 	2,194 "," 	1,818 "," 	2,088 "," 	1,720 "," 	1,335 "," 	3,696 "
