,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,NOVEMBER,,,,England," 	138,073 "," 	451,076 "," 	589,149 "," 	21,013 "," 	130,385 "," 	151,398 "," 	10,948 "," 	16,735 "," 	441,204 "," 	927,866 "," 	829,736 "," 	887,157 "," 	789,498 "," 	478,041 "," 	1,316,225 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,NOVEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,079 "," 	25,120 "," 	33,199 "," 	1,255 "," 	7,574 "," 	8,829 ", 	208 , 	975 ," 	28,278 "," 	45,417 "," 	41,049 "," 	44,236 "," 	39,880 "," 	29,408 "," 	66,985 "
,2009-10,NOVEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	21,220 "," 	67,233 "," 	88,453 "," 	2,993 "," 	17,386 "," 	20,379 "," 	1,788 "," 	3,394 "," 	72,618 "," 	136,482 "," 	121,035 "," 	131,099 "," 	115,623 "," 	78,591 "," 	196,258 "
,2009-10,NOVEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	15,155 "," 	47,901 "," 	63,056 "," 	2,286 "," 	14,412 "," 	16,698 "," 	1,125 "," 	1,246 "," 	47,448 "," 	88,134 "," 	80,440 "," 	84,440 "," 	75,904 "," 	45,117 "," 	128,717 "
,2009-10,NOVEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,054 "," 	40,923 "," 	52,977 "," 	2,024 "," 	13,501 "," 	15,525 "," 	2,290 ", 	87 ," 	36,878 "," 	74,064 "," 	67,387 "," 	72,050 "," 	66,568 "," 	35,158 "," 	101,591 "
,2009-10,NOVEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,765 "," 	49,398 "," 	63,163 "," 	2,225 "," 	16,902 "," 	19,127 ", 	591 ," 	2,205 "," 	44,584 "," 	102,410 "," 	88,645 "," 	91,988 "," 	79,934 "," 	54,672 "," 	136,155 "
,2009-10,NOVEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,686 "," 	49,695 "," 	65,381 "," 	2,209 "," 	14,149 "," 	16,358 ", 	706 ," 	1,304 "," 	43,712 "," 	107,496 "," 	98,991 "," 	102,768 "," 	94,268 "," 	48,746 "," 	142,170 "
,2009-10,NOVEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,169 "," 	59,657 "," 	76,826 "," 	2,504 "," 	14,030 "," 	16,534 ", 	723 , 	790 ," 	59,369 "," 	148,328 "," 	126,473 "," 	138,333 "," 	116,861 "," 	73,698 "," 	218,073 "
,2009-10,NOVEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,059 "," 	32,072 "," 	43,131 "," 	1,606 "," 	7,177 "," 	8,783 "," 	1,354 "," 	2,192 "," 	35,524 "," 	76,868 "," 	68,626 "," 	74,386 "," 	66,634 "," 	36,698 "," 	102,851 "
,2009-10,NOVEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,775 "," 	29,091 "," 	37,866 "," 	1,533 "," 	8,018 "," 	9,551 "," 	1,426 "," 	2,894 "," 	30,269 "," 	63,586 "," 	57,404 "," 	61,541 "," 	54,911 "," 	30,308 "," 	92,258 "
