,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,NOVEMBER,,,,England," 	138,866 "," 	496,102 "," 	634,968 "," 	21,609 "," 	148,087 "," 	169,737 "," 	24,807 "," 	456,852 "," 	999,983 "," 	887,316 "," 	945,775 "," 	843,356 "," 	524,886 "," 	1,415,776 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,NOVEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,177 "," 	29,470 "," 	37,647 "," 	1,306 "," 	9,338 "," 	10,644 "," 	1,408 "," 	27,355 "," 	48,929 "," 	43,519 "," 	47,181 "," 	42,242 "," 	33,582 "," 	75,497 "
,2010-11,NOVEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	20,109 "," 	72,055 "," 	92,164 "," 	2,990 "," 	19,267 "," 	22,257 "," 	4,247 "," 	73,807 "," 	143,778 "," 	128,401 "," 	137,777 "," 	122,801 "," 	82,289 "," 	207,352 "
,2010-11,NOVEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,855 "," 	50,404 "," 	65,259 "," 	2,312 "," 	14,487 "," 	16,799 "," 	1,066 "," 	50,825 "," 	97,926 "," 	85,625 "," 	94,559 "," 	82,377 "," 	49,862 "," 	137,423 "
,2010-11,NOVEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,727 "," 	43,784 "," 	55,511 "," 	1,747 "," 	14,760 "," 	16,507 ", 	811 ," 	37,909 "," 	77,430 "," 	69,971 "," 	75,773 "," 	68,145 "," 	36,175 "," 	104,675 "
,2010-11,NOVEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,359 "," 	53,946 "," 	68,305 "," 	2,299 "," 	18,222 "," 	20,521 "," 	4,303 "," 	47,217 "," 	109,457 "," 	102,851 "," 	99,285 "," 	93,170 "," 	58,724 "," 	157,582 "
,2010-11,NOVEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,419 "," 	52,707 "," 	67,126 "," 	1,772 "," 	14,936 "," 	16,708 "," 	2,242 "," 	42,730 "," 	106,086 "," 	95,133 "," 	101,043 "," 	91,723 "," 	52,973 "," 	145,543 "
,2010-11,NOVEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,690 "," 	64,647 "," 	81,337 "," 	2,325 "," 	16,778 "," 	19,102 "," 	3,669 "," 	65,488 "," 	172,981 "," 	141,805 "," 	154,940 "," 	129,572 "," 	92,249 "," 	236,355 "
,2010-11,NOVEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,380 "," 	36,022 "," 	48,402 "," 	2,606 "," 	10,460 "," 	13,108 "," 	1,258 "," 	36,551 "," 	81,054 "," 	73,396 "," 	78,150 "," 	70,783 "," 	41,554 "," 	114,634 "
,2010-11,NOVEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,051 "," 	32,641 "," 	41,692 "," 	1,304 "," 	7,732 "," 	9,036 "," 	4,961 "," 	30,133 "," 	70,489 "," 	59,592 "," 	67,738 "," 	57,202 "," 	30,148 "," 	95,771 "
