,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,OCTOBER,,,,England," 	152,388 "," 	449,882 "," 	602,270 "," 	23,985 "," 	129,755 "," 	153,740 "," 	9,280 "," 	18,261 "," 	438,160 "," 	951,691 "," 	817,721 "," 	910,842 "," 	769,665 "," 	492,935 "," 	1,271,542 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,OCTOBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,950 "," 	27,147 "," 	36,097 "," 	1,304 "," 	8,711 "," 	10,015 ", 	430 , 	642 ," 	27,516 "," 	48,624 "," 	42,010 "," 	47,389 "," 	40,600 "," 	31,760 "," 	69,553 "
,2008-09,OCTOBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	23,672 "," 	68,874 "," 	92,546 "," 	3,495 "," 	16,622 "," 	20,117 "," 	1,691 "," 	2,705 "," 	73,137 "," 	145,422 "," 	119,088 "," 	138,790 "," 	112,377 "," 	79,758 "," 	183,770 "
,2008-09,OCTOBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	16,637 "," 	46,290 "," 	62,927 "," 	2,756 "," 	12,966 "," 	15,722 "," 	1,155 "," 	1,223 "," 	47,322 "," 	93,853 "," 	81,132 "," 	90,093 "," 	77,194 "," 	46,986 "," 	125,453 "
,2008-09,OCTOBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,397 "," 	40,112 "," 	53,509 "," 	1,994 "," 	13,022 "," 	15,016 "," 	1,419 ", 	103 ," 	36,604 "," 	73,918 "," 	63,501 "," 	71,423 "," 	61,710 "," 	35,489 "," 	94,782 "
,2008-09,OCTOBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	15,108 "," 	50,092 "," 	65,200 "," 	2,539 "," 	17,077 "," 	19,616 ", 	193 ," 	3,402 "," 	44,024 "," 	98,765 "," 	85,533 "," 	89,756 "," 	76,834 "," 	64,034 "," 	132,026 "
,2008-09,OCTOBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	17,522 "," 	47,402 "," 	64,924 "," 	3,216 "," 	13,039 "," 	16,255 ", 	556 ," 	1,327 "," 	41,335 "," 	108,440 "," 	92,663 "," 	105,130 "," 	86,127 "," 	49,313 "," 	132,333 "
,2008-09,OCTOBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	18,139 "," 	59,647 "," 	77,786 "," 	2,473 "," 	15,288 "," 	17,761 ", 	666 , 	877 ," 	59,119 "," 	148,459 "," 	122,107 "," 	141,492 "," 	114,453 "," 	75,826 "," 	211,935 "
,2008-09,OCTOBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,653 "," 	30,136 "," 	41,789 "," 	1,569 "," 	6,740 "," 	8,309 "," 	1,176 "," 	2,644 "," 	34,857 "," 	78,232 "," 	69,561 "," 	72,940 "," 	65,552 "," 	35,688 "," 	97,897 "
,2008-09,OCTOBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	10,370 "," 	29,997 "," 	40,367 "," 	1,775 "," 	8,460 "," 	10,235 "," 	1,208 "," 	3,752 "," 	32,618 "," 	64,288 "," 	60,605 "," 	61,771 "," 	56,099 "," 	28,637 "," 	93,114 "
,2008-09,OCTOBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	16,940 "," 	50,185 "," 	67,125 "," 	2,864 "," 	17,830 "," 	20,694 ", 	786 ," 	1,586 "," 	41,628 "," 	91,690 "," 	81,521 "," 	92,058 "," 	78,719 "," 	45,444 "," 	130,679 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	943 ," 	2,687 "," 	3,630 ", 	146 , 	955 ," 	1,101 ", 	63 , 	5 ," 	2,741 "," 	4,904 "," 	4,337 "," 	4,808 "," 	4,243 "," 	3,883 "," 	7,990 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	751 ," 	2,518 "," 	3,269 ", 	84 , 	860 , 	944 , 	54 , 	4 ," 	2,580 "," 	4,109 "," 	3,886 "," 	3,992 "," 	3,806 "," 	2,325 "," 	6,103 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	274 ," 	1,001 "," 	1,275 ", 	33 , 	313 , 	346 , 	6 , 	- 0, 	991 ," 	1,616 "," 	1,143 "," 	1,546 "," 	1,105 ", 	890 ," 	1,851 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	565 ," 	1,949 "," 	2,514 ", 	64 , 	619 , 	683 , 	39 , 	- 0," 	1,932 "," 	3,331 "," 	2,523 "," 	3,294 "," 	2,495 "," 	1,587 "," 	4,115 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	282 , 	863 ," 	1,145 ", 	35 , 	137 , 	172 , 	- 0, 	1 ," 	1,042 "," 	1,698 "," 	1,497 "," 	1,621 "," 	1,419 "," 	1,201 "," 	2,417 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	757 ," 	1,233 "," 	1,990 ", 	128 , 	287 , 	415 , 	- 0, 	401 ," 	2,188 "," 	4,259 "," 	3,747 "," 	4,117 "," 	3,739 "," 	2,590 "," 	6,073 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	551 ," 	1,831 "," 	2,382 ", 	59 , 	549 , 	608 , 	- 0, 	52 ," 	1,627 "," 	3,550 "," 	2,674 "," 	3,405 "," 	2,798 "," 	1,926 "," 	4,506 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT," 	1,094 "," 	3,245 "," 	4,339 ", 	109 , 	765 , 	874 , 	- 0, 	131 ," 	2,915 "," 	5,163 "," 	5,181 "," 	5,092 "," 	4,371 "," 	5,360 "," 	8,184 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	402 ," 	1,423 "," 	1,825 ", 	68 , 	710 , 	778 , 	92 , 	- 0," 	1,626 "," 	2,578 "," 	1,985 "," 	2,445 "," 	1,870 "," 	1,560 "," 	3,943 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,779 "," 	5,348 "," 	7,127 ", 	344 ," 	1,598 "," 	1,942 ", 	- 0, 	39 ," 	5,341 "," 	9,719 "," 	7,889 "," 	9,486 "," 	7,689 "," 	6,036 "," 	12,890 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	378 ," 	1,332 "," 	1,710 ", 	76 , 	647 , 	723 , 	103 , 	- 0," 	1,282 "," 	2,264 "," 	1,793 "," 	2,182 "," 	1,738 "," 	1,233 "," 	3,225 "
,2008-09,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,174 "," 	3,717 "," 	4,891 ", 	158 ," 	1,271 "," 	1,429 ", 	73 , 	9 ," 	3,251 "," 	5,433 "," 	5,355 "," 	5,401 "," 	5,327 "," 	3,169 "," 	8,256 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5CC,BLACKBURN WITH DARWEN PCT, 	590 ," 	1,343 "," 	1,933 ", 	144 , 	292 , 	436 , 	66 , 	- 0," 	1,550 "," 	3,114 "," 	2,446 "," 	2,858 "," 	2,247 "," 	1,348 "," 	3,242 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	822 ," 	2,102 "," 	2,924 ", 	141 , 	521 , 	662 , 	64 , 	22 ," 	2,431 "," 	4,476 "," 	3,487 "," 	4,374 "," 	2,278 "," 	3,629 "," 	5,221 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT," 	1,129 "," 	2,346 "," 	3,475 ", 	220 , 	432 , 	652 , 	58 , 	- 0," 	2,922 "," 	5,380 "," 	4,469 "," 	5,418 "," 	4,449 "," 	3,879 "," 	7,547 "
,2008-09,OCTOBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT"," 	1,015 "," 	3,041 "," 	4,056 ", 	143 , 	926 ," 	1,069 ", 	- 0, 	124 ," 	2,950 "," 	6,486 "," 	5,102 "," 	6,151 "," 	5,052 "," 	3,254 "," 	8,287 "
