,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,OCTOBER,,,,England," 	146,341 "," 	457,964 "," 	604,305 "," 	22,177 "," 	132,120 "," 	154,297 "," 	11,105 "," 	16,805 "," 	454,451 "," 	976,748 "," 	830,034 "," 	934,300 "," 	791,033 "," 	503,510 "," 	1,329,690 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,OCTOBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,748 "," 	26,795 "," 	35,543 "," 	1,351 "," 	8,244 "," 	9,595 ", 	224 , 	667 ," 	28,268 "," 	47,441 "," 	41,980 "," 	46,380 "," 	41,153 "," 	32,079 "," 	70,144 "
,2009-10,OCTOBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	23,093 "," 	67,718 "," 	90,811 "," 	3,417 "," 	16,817 "," 	20,234 "," 	1,696 "," 	3,835 "," 	73,755 "," 	144,102 "," 	122,814 "," 	138,770 "," 	117,892 "," 	83,496 "," 	202,554 "
,2009-10,OCTOBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	16,176 "," 	48,843 "," 	65,019 "," 	2,492 "," 	15,009 "," 	17,501 "," 	1,216 "," 	1,125 "," 	48,933 "," 	94,174 "," 	79,996 "," 	90,775 "," 	75,925 "," 	48,515 "," 	130,088 "
,2009-10,OCTOBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,609 "," 	41,623 "," 	54,232 "," 	2,058 "," 	13,621 "," 	15,679 "," 	2,130 ", 	78 ," 	38,568 "," 	77,272 "," 	67,586 "," 	75,446 "," 	67,382 "," 	34,874 "," 	102,075 "
,2009-10,OCTOBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,480 "," 	51,173 "," 	65,653 "," 	2,368 "," 	17,674 "," 	20,042 ", 	849 ," 	2,345 "," 	46,440 "," 	110,443 "," 	91,633 "," 	99,495 "," 	83,259 "," 	56,028 "," 	137,558 "
,2009-10,OCTOBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	16,512 "," 	50,627 "," 	67,139 "," 	2,363 "," 	14,227 "," 	16,590 ", 	697 ," 	1,334 "," 	45,405 "," 	111,766 "," 	99,097 "," 	106,750 "," 	94,090 "," 	51,027 "," 	142,828 "
,2009-10,OCTOBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	18,826 "," 	59,864 "," 	78,690 "," 	2,557 "," 	14,007 "," 	16,564 ", 	600 , 	685 ," 	60,944 "," 	155,853 "," 	123,357 "," 	145,845 "," 	113,630 "," 	78,881 "," 	218,356 "
,2009-10,OCTOBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,065 "," 	31,582 "," 	42,647 "," 	1,610 "," 	7,242 "," 	8,852 "," 	1,358 "," 	2,194 "," 	36,223 "," 	79,130 "," 	67,477 "," 	76,722 "," 	65,069 "," 	39,170 "," 	102,101 "
,2009-10,OCTOBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,272 "," 	29,302 "," 	38,574 "," 	1,547 "," 	8,019 "," 	9,566 "," 	1,545 "," 	2,790 "," 	32,204 "," 	65,060 "," 	56,954 "," 	63,210 "," 	54,615 "," 	31,971 "," 	93,510 "
,2009-10,OCTOBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	15,560 "," 	50,437 "," 	65,997 "," 	2,414 "," 	17,260 "," 	19,674 ", 	790 ," 	1,752 "," 	43,711 "," 	91,507 "," 	79,140 "," 	90,907 "," 	78,018 "," 	47,469 "," 	130,476 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,OCTOBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	949 ," 	2,709 "," 	3,658 ", 	163 , 	874 ," 	1,037 ", 	51 , 	19 ," 	2,644 "," 	4,730 "," 	4,450 "," 	4,629 "," 	4,366 "," 	3,664 "," 	7,763 "
