,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendnces (G&A) 
,2008-09,SEPTEMBER,,,,England," 	141,197 "," 	424,593 "," 	565,790 "," 	22,995 "," 	122,047 "," 	145,042 "," 	7,912 "," 	17,547 "," 	416,592 "," 	909,481 "," 	791,371 "," 	872,152 "," 	749,270 "," 	470,448 "," 	1,247,588 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,SEPTEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,422 "," 	25,280 "," 	33,702 "," 	1,208 "," 	8,482 "," 	9,690 ", 	371 , 	637 ," 	25,986 "," 	45,985 "," 	41,963 "," 	44,845 "," 	40,367 "," 	29,654 "," 	68,511 "
,2008-09,SEPTEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	22,001 "," 	63,152 "," 	85,153 "," 	3,729 "," 	14,760 "," 	18,489 "," 	1,133 "," 	2,980 "," 	68,896 "," 	139,324 "," 	116,557 "," 	132,572 "," 	111,208 "," 	75,543 "," 	180,887 "
,2008-09,SEPTEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,863 "," 	44,204 "," 	59,067 "," 	2,551 "," 	12,419 "," 	14,970 ", 	737 ," 	1,137 "," 	44,197 "," 	91,145 "," 	79,307 "," 	86,767 "," 	75,378 "," 	45,974 "," 	122,357 "
,2008-09,SEPTEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,241 "," 	38,451 "," 	50,692 "," 	1,815 "," 	11,544 "," 	13,359 "," 	1,444 ", 	42 ," 	35,423 "," 	69,841 "," 	60,954 "," 	67,406 "," 	60,275 "," 	33,409 "," 	94,550 "
,2008-09,SEPTEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,797 "," 	47,146 "," 	60,943 "," 	2,360 "," 	15,679 "," 	18,039 ", 	191 ," 	3,160 "," 	41,449 "," 	95,299 "," 	83,356 "," 	86,030 "," 	74,781 "," 	60,753 "," 	132,278 "
,2008-09,SEPTEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	16,397 "," 	45,283 "," 	61,680 "," 	2,993 "," 	12,670 "," 	15,663 ", 	559 ," 	1,387 "," 	39,254 "," 	103,926 "," 	92,290 "," 	100,380 "," 	85,179 "," 	48,517 "," 	129,937 "
,2008-09,SEPTEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,176 "," 	55,319 "," 	72,495 "," 	2,460 "," 	14,537 "," 	16,997 ", 	593 , 	749 ," 	56,716 "," 	142,450 "," 	117,024 "," 	135,069 "," 	109,696 "," 	71,672 "," 	206,853 "
,2008-09,SEPTEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,672 "," 	28,560 "," 	39,232 "," 	1,586 "," 	6,123 "," 	7,709 "," 	1,032 "," 	2,478 "," 	33,390 "," 	75,629 "," 	64,183 "," 	72,927 "," 	61,839 "," 	33,622 "," 	93,563 "
,2008-09,SEPTEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,619 "," 	28,975 "," 	38,594 "," 	1,594 "," 	8,189 "," 	9,783 "," 	1,199 "," 	3,652 "," 	31,140 "," 	59,894 "," 	57,172 "," 	57,634 "," 	53,237 "," 	26,976 "," 	90,400 "
,2008-09,SEPTEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	16,009 "," 	48,223 "," 	64,232 "," 	2,699 "," 	17,644 "," 	20,343 ", 	653 ," 	1,325 "," 	40,141 "," 	85,988 "," 	78,565 "," 	88,522 "," 	77,310 "," 	44,328 "," 	128,252 "
,,,,,,,,,,,,,,,,,,,,,
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	916 ," 	2,398 "," 	3,314 ", 	146 , 	894 ," 	1,040 ", 	51 , 	2 ," 	2,474 "," 	4,433 "," 	4,303 "," 	4,330 "," 	4,212 "," 	3,498 "," 	7,690 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	653 ," 	2,224 "," 	2,877 ", 	64 , 	755 , 	819 , 	44 , 	2 ," 	2,426 "," 	3,945 "," 	3,933 "," 	3,829 "," 	3,835 "," 	2,395 "," 	6,199 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	285 , 	945 ," 	1,230 ", 	29 , 	333 , 	362 , 	6 , 	- 0," 	1,001 "," 	1,480 "," 	1,327 "," 	1,439 "," 	1,206 ", 	985 ," 	1,869 "
,2008-09,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	525 ," 	1,813 "," 	2,338 ", 	96 , 	678 , 	774 , 	28 , 	- 0," 	1,792 "," 	3,191 "," 	2,703 "," 	3,158 "," 	2,699 "," 	1,517 "," 	4,273 "
