,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -Independent Sector Treatment Centres (ISTCs) ,Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2009-10,SEPTEMBER,,,,England," 	136,242 "," 	452,865 "," 	589,107 "," 	21,654 "," 	132,607 "," 	154,261 "," 	10,992 "," 	16,855 "," 	426,379 "," 	970,488 "," 	848,647 "," 	928,493 "," 	808,060 "," 	501,550 "," 	1,350,603 "
,,,,,,,,,,,,,,,,,,,,,
,2009-10,SEPTEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,167 "," 	26,239 "," 	34,406 "," 	1,309 "," 	8,488 "," 	9,797 ", 	206 , 	609 ," 	26,285 "," 	46,544 "," 	42,549 "," 	45,367 "," 	41,649 "," 	32,106 "," 	71,625 "
,2009-10,SEPTEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	21,180 "," 	67,620 "," 	88,800 "," 	3,149 "," 	17,260 "," 	20,409 "," 	1,537 "," 	3,939 "," 	69,141 "," 	144,303 "," 	125,332 "," 	138,663 "," 	120,376 "," 	83,203 "," 	204,434 "
,2009-10,SEPTEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	15,039 "," 	48,655 "," 	63,694 "," 	2,476 "," 	14,830 "," 	17,306 "," 	1,135 "," 	1,142 "," 	46,287 "," 	93,795 "," 	82,074 "," 	90,310 "," 	78,199 "," 	47,954 "," 	132,959 "
,2009-10,SEPTEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,671 "," 	41,119 "," 	52,790 "," 	1,757 "," 	13,726 "," 	15,483 "," 	2,114 ", 	89 ," 	35,838 "," 	79,215 "," 	68,104 "," 	77,304 "," 	67,893 "," 	35,581 "," 	103,453 "
,2009-10,SEPTEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,468 "," 	49,689 "," 	63,157 "," 	2,413 "," 	16,738 "," 	19,151 "," 	1,150 "," 	2,213 "," 	43,495 "," 	110,773 "," 	92,679 "," 	99,931 "," 	83,541 "," 	56,340 "," 	140,800 "
,2009-10,SEPTEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	15,483 "," 	50,174 "," 	65,657 "," 	2,224 "," 	14,250 "," 	16,474 ", 	692 ," 	1,280 "," 	41,881 "," 	111,139 "," 	101,243 "," 	105,945 "," 	96,332 "," 	51,476 "," 	146,253 "
,2009-10,SEPTEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,557 "," 	58,973 "," 	75,530 "," 	2,428 "," 	14,600 "," 	17,028 ", 	684 , 	836 ," 	58,302 "," 	149,237 "," 	127,291 "," 	140,849 "," 	118,001 "," 	74,960 "," 	217,687 "
,2009-10,SEPTEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,011 "," 	30,798 "," 	41,809 "," 	1,737 "," 	7,369 "," 	9,106 "," 	1,399 "," 	2,160 "," 	33,742 "," 	79,181 "," 	68,404 "," 	76,379 "," 	65,789 "," 	39,361 "," 	103,108 "
,2009-10,SEPTEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,545 "," 	29,583 "," 	38,128 "," 	1,482 "," 	8,192 "," 	9,674 "," 	1,417 "," 	2,922 "," 	29,518 "," 	64,519 "," 	58,464 "," 	62,722 "," 	55,929 "," 	32,177 "," 	96,469 "
