,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,SEPTEMBER,,,,England," 	136,743 "," 	480,977 "," 	617,718 "," 	21,884 "," 	147,774 "," 	169,658 "," 	23,829 "," 	449,293 "," 	1,001,854 "," 	873,209 "," 	947,148 "," 	827,326 "," 	525,634 "," 	1,409,958 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,SEPTEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,044 "," 	28,852 "," 	36,896 "," 	1,250 "," 	9,339 "," 	10,589 "," 	1,333 "," 	27,589 "," 	50,280 "," 	43,883 "," 	48,653 "," 	42,589 "," 	33,566 "," 	77,044 "
,2010-11,SEPTEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	20,644 "," 	70,954 "," 	91,598 "," 	3,220 "," 	19,695 "," 	22,915 "," 	3,926 "," 	72,742 "," 	145,975 "," 	128,163 "," 	140,092 "," 	122,345 "," 	85,030 "," 	205,880 "
,2010-11,SEPTEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,225 "," 	48,970 "," 	63,195 "," 	2,131 "," 	14,023 "," 	16,154 "," 	1,054 "," 	49,661 "," 	97,908 "," 	84,342 "," 	94,373 "," 	80,967 "," 	48,511 "," 	138,966 "
,2010-11,SEPTEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,414 "," 	42,143 "," 	53,555 "," 	1,749 "," 	14,372 "," 	16,121 ", 	780 ," 	37,150 "," 	77,466 "," 	68,875 "," 	75,888 "," 	66,847 "," 	36,030 "," 	104,676 "
,2010-11,SEPTEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,747 "," 	51,735 "," 	65,482 "," 	2,300 "," 	17,287 "," 	19,587 "," 	4,034 "," 	46,166 "," 	114,041 "," 	102,201 "," 	103,504 "," 	91,429 "," 	56,335 "," 	154,215 "
,2010-11,SEPTEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,651 "," 	50,420 "," 	65,071 "," 	1,925 "," 	14,927 "," 	16,852 "," 	2,102 "," 	41,596 "," 	108,169 "," 	93,403 "," 	104,026 "," 	89,849 "," 	53,353 "," 	144,562 "
,2010-11,SEPTEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,397 "," 	62,550 "," 	78,947 "," 	2,286 "," 	16,376 "," 	18,662 "," 	3,019 "," 	65,161 "," 	166,342 "," 	137,522 "," 	149,746 "," 	125,932 "," 	92,448 "," 	234,094 "
,2010-11,SEPTEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,072 "," 	34,208 "," 	46,280 "," 	2,491 "," 	9,906 "," 	12,397 "," 	2,139 "," 	35,570 "," 	82,319 "," 	72,229 "," 	78,365 "," 	68,674 "," 	42,174 "," 	113,975 "
,2010-11,SEPTEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,856 "," 	32,430 "," 	41,286 "," 	1,367 "," 	8,407 "," 	9,774 "," 	4,692 "," 	29,740 "," 	67,554 "," 	58,453 "," 	62,960 "," 	56,196 "," 	31,148 "," 	98,114 "
