,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,SEPTEMBER,,,,England," 	134,791 "," 	494,818 "," 	629,609 "," 	22,002 "," 	153,650 "," 	175,652 "," 	21,172 "," 	441,718 "," 	963,623 "," 	839,078 "," 	913,005 "," 	796,256 "," 	546,668 "," 	1,386,015 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,SEPTEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,138 "," 	31,503 "," 	39,641 "," 	1,337 "," 	10,666 "," 	12,003 "," 	1,501 "," 	26,743 "," 	48,951 "," 	43,408 "," 	47,140 "," 	42,177 "," 	33,800 "," 	77,772 "
,2011-12,SEPTEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,954 "," 	73,182 "," 	93,136 "," 	3,115 "," 	20,457 "," 	23,572 "," 	3,731 "," 	69,819 "," 	140,428 "," 	123,786 "," 	134,450 "," 	118,619 "," 	85,369 "," 	207,144 "
,2011-12,SEPTEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,049 "," 	51,681 "," 	65,730 "," 	2,441 "," 	15,645 "," 	18,086 ", 	737 ," 	49,963 "," 	95,632 "," 	82,359 "," 	92,846 "," 	78,949 "," 	50,797 "," 	136,746 "
,2011-12,SEPTEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,981 "," 	42,202 "," 	53,183 "," 	1,631 "," 	15,084 "," 	16,715 ", 	485 ," 	36,234 "," 	70,904 "," 	63,082 "," 	69,239 "," 	61,385 "," 	36,377 "," 	98,146 "
,2011-12,SEPTEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,207 "," 	51,925 "," 	66,132 "," 	2,631 "," 	17,857 "," 	20,488 "," 	3,357 "," 	45,867 "," 	105,931 "," 	91,951 "," 	97,449 "," 	82,796 "," 	60,306 "," 	145,815 "
,2011-12,SEPTEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,955 "," 	53,040 "," 	66,995 "," 	2,242 "," 	16,563 "," 	18,805 "," 	2,155 "," 	41,884 "," 	103,101 "," 	91,472 "," 	98,848 "," 	88,536 "," 	54,063 "," 	145,435 "
,2011-12,SEPTEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,543 "," 	64,414 "," 	80,957 "," 	2,265 "," 	16,964 "," 	19,229 "," 	2,652 "," 	63,383 "," 	166,795 "," 	136,703 "," 	148,466 "," 	124,564 "," 	96,570 "," 	231,263 "
,2011-12,SEPTEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,152 "," 	36,620 "," 	48,772 "," 	2,464 "," 	10,782 "," 	13,246 "," 	1,364 "," 	33,951 "," 	77,985 "," 	67,433 "," 	75,011 "," 	64,970 "," 	46,225 "," 	109,755 "
,2011-12,SEPTEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,639 "," 	30,935 "," 	39,574 "," 	1,169 "," 	7,137 "," 	8,306 "," 	4,579 "," 	30,061 "," 	63,750 "," 	56,035 "," 	61,262 "," 	53,199 "," 	33,066 "," 	93,670 "
,2011-12,SEPTEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,828 "," 	53,466 "," 	67,294 "," 	1,993 "," 	18,616 "," 	20,609 ", 	607 ," 	41,828 "," 	88,783 "," 	80,740 "," 	86,932 "," 	78,952 "," 	48,125 "," 	134,136 "
,2011-12,SEPTEMBER,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,345 "," 	5,850 "," 	8,195 ", 	714 ," 	3,879 "," 	4,593 ", 	4 ," 	1,985 "," 	1,363 "," 	2,109 "," 	1,362 "," 	2,109 "," 	1,970 "," 	6,133 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	823 ," 	3,291 "," 	4,114 ", 	178 ," 	1,162 "," 	1,340 ", 	125 ," 	2,902 "," 	4,888 "," 	4,611 "," 	4,727 "," 	4,432 "," 	3,946 "," 	9,469 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	623 ," 	2,695 "," 	3,318 ", 	87 , 	893 , 	980 , 	125 ," 	2,474 "," 	4,361 "," 	4,229 "," 	4,143 "," 	4,063 "," 	2,913 "," 	7,616 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	228 ," 	1,004 "," 	1,232 ", 	27 , 	296 , 	323 , 	7 , 	904 ," 	1,339 "," 	1,298 "," 	1,288 "," 	1,248 ", 	840 ," 	2,026 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	486 ," 	2,181 "," 	2,667 ", 	49 , 	708 , 	757 , 	58 ," 	1,595 "," 	2,928 "," 	2,815 "," 	2,878 "," 	2,778 "," 	1,456 "," 	4,185 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	394 , 	959 ," 	1,353 ", 	50 , 	222 , 	272 , 	2 ," 	1,011 "," 	1,644 "," 	1,374 "," 	1,578 "," 	1,366 "," 	1,395 "," 	2,958 "
,2011-12,SEPTEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	667 ," 	2,529 "," 	3,196 ", 	146 , 	877 ," 	1,023 ", 	584 ," 	2,005 "," 	4,275 "," 	3,718 "," 	4,140 "," 	3,614 "," 	1,994 "," 	6,357 "
