Code,Area,Resident Population (2013) - Denominator,Number of Admission Continuous Inpatient Spells - Numerator,Expected value,"Indirectly age and sex standardised rate per 100,000",Lower limit of 95% confidence interval,"Upper limit 
of 95% confidence interval",Lower limit of 99.8% confidence interval,"Upper limit 
of 99.8% confidence interval"
,,,,,,,,,
E09000001,City of London,7648,306,688.4,4077.8,3633.64,4561.27,3395.09,4850.94
E09000002,Barking and Dagenham,194352,16039,16241.46,9059.34,8919.67,9200.65,8839.9,9282.58
E09000003,Barnet,369088,22223,32631.26,6247.6,6165.72,6330.29,6118.89,6378.19
E09000004,Bexley,236687,19766,21870.61,8290.91,8175.72,8407.31,8109.87,8474.76
E09000005,Brent,317264,26192,26073.8,9215.28,9104.01,9327.57,9040.33,9392.6
E09000006,Bromley,317899,22692,30054.8,6926.33,6836.5,7017.05,6785.11,7069.6
E09000007,Camden,229719,15188,18951.84,7351.8,7235.33,7469.67,7168.83,7538.01
E09000008,Croydon,372752,23454,32044.2,6714.47,6628.81,6800.96,6579.8,6851.06
E09000009,Ealing,342494,32563,28534.17,10468.96,10355.55,10583.3,10290.6,10649.48
E09000010,Enfield,320524,22692,27584.67,7546.56,7448.69,7645.4,7392.7,7702.66
E09000011,Greenwich,264008,19869,21728.14,8388.76,8272.52,8506.23,8206.06,8574.3
E09000012,Hackney,257379,7368,19542.21,3458.76,3380.23,3538.65,3335.58,3585.09
E09000013,Hammersmith and Fulham,178685,16506,14270.34,10610.89,10449.62,10774.02,10357.5,10868.59
E09000014,Haringey,263386,19195,20555.22,8566.64,8445.87,8688.7,8376.83,8759.44
E09000015,Harrow,243373,19711,21729.96,8321.36,8205.59,8438.35,8139.4,8506.14
E09000016,Havering,242080,20321,23287.84,8004.98,7895.29,8115.81,7832.57,8180.03
E09000017,Hillingdon,286808,26124,24888.66,9629.03,9512.61,9746.51,9445.98,9814.55
E09000018,Hounslow,262407,22168,21693.49,9374.36,9251.35,9498.59,9181,9570.55
E09000019,Islington,215671,16663,16847.78,9073.08,8935.84,9211.91,8857.43,9292.39
E09000020,Kensington and Chelsea,155594,10760,13332.34,7403.72,7264.48,7544.96,7185.12,7626.95
E09000021,Kingston upon Thames,166793,10921,14507.97,6905.58,6776.66,7036.33,6703.18,7112.22
E09000022,Lambeth,314242,24105,24067.09,9188.14,9072.51,9304.88,9006.35,9372.49
E09000023,Lewisham,286180,23496,23123.01,9321.67,9202.85,9441.64,9134.88,9511.13
E09000024,Merton,203223,14902,17347.95,7880.26,7754.24,8007.82,7682.29,8081.79
E09000025,Newham,318227,10073,24013.14,3848.17,3773.38,3924.07,3730.77,3968.13
E09000026,Redbridge,288272,23842,24638.85,8877.01,8764.68,8990.41,8700.41,9056.1
E09000027,Richmond upon Thames,191365,12567,17124.94,6732.04,6614.85,6850.79,6547.99,6919.69
E09000028,Southwark,298465,24212,23190.57,9577.75,9457.48,9699.17,9388.67,9769.49
E09000029,Sutton,195914,16436,17611.93,8561.17,8430.78,8693.08,8356.3,8769.55
E09000030,Tower Hamlets,272890,7946,20298.46,3591.12,3512.59,3670.96,3467.91,3717.36
E09000031,Waltham Forest,265797,25056,21809.5,10539.27,10409.16,10670.59,10334.71,10746.64
E09000032,Wandsworth,310516,21229,24883.1,7826.53,7721.6,7932.54,7661.59,7993.95
E09000033,Westminster,226841,15545,18815.47,7579.14,7460.46,7699.24,7392.68,7768.87
,,,,,,,,,
E13000001,Inner London,3335443,212592,262578.96,7427.31,7395.77,7458.95,7377.63,7477.22
E13000002,Outer London,5081100,397538,441404.2,8262.02,8236.36,8287.75,8221.59,8302.6
,,,,,,,,,
E12000001,North East,2610481,293139,245571.3,10950.66,10911.05,10990.37,10888.26,11013.31
E12000002,North West,7103261,811391,659813.99,11281.14,11256.61,11305.71,11242.48,11319.89
E12000003,Yorkshire and the Humber,5337711,552194,495738.92,10218.4,10191.47,10245.39,10175.96,10260.97
E12000004,East Midlands,4598431,432702,431482.38,9199.63,9172.23,9227.08,9156.47,9242.92
E12000005,West Midlands,5674712,578697,530399.53,10009.04,9983.27,10034.86,9968.43,10049.76
E12000006,East of England,5954316,524341,568337.4,8463.54,8440.64,8486.48,8427.46,8499.72
E12000007,London,8416543,610130,703983.16,7950.68,7930.74,7970.66,7919.27,7982.19
E12000008,South East,8792766,708992,835258.65,7786.9,7768.79,7805.05,7758.35,7815.52
E12000009,South West,5377596,486639,533860.86,8362.25,8338.77,8385.78,8325.26,8399.36
,,,,,,,,,
,,,,,,,,,
E92000001,England,53865817,4998225,5004446.2,9162.29,9154.26,9170.33,9149.63,9174.96
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
