,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The hospital providers table contains episodes grouped according to the organisation that provided the admitted patient care (normally an NHS trust) within Clinical Commisioning Regions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Digital, Hospital Episode Statistics for England. Admitted Patient Care statistics, 2015-16 . ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero bed day cases §,,
Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,," 	19,239,608 "," 	16,251,841 "," 	8,610,730 "," 	10,626,399 "," 	2,479 "," 	5,764,765 "," 	6,255,747 "," 	2,208,468 "," 	2,022,861 ", 	55 , 	34 , 	5 , 	1 , 	53 ," 	1,031,176 "," 	471,715 "," 	317,670 "," 	261,228 "," 	67,289 "," 	70,482 "," 	81,856 "," 	96,763 "," 	111,652 "," 	735,435 "," 	950,847 "," 	979,215 "," 	815,546 "," 	785,317 "," 	943,092 "," 	1,093,763 "," 	1,188,624 "," 	1,242,940 "," 	1,584,570 "," 	1,550,780 "," 	1,575,181 "," 	1,419,823 "," 	1,066,297 "," 	687,445 "," 	6,886,981 "," 	47,294,178 "," 	1,701,043 "," 	299,514 "," 	615,785 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y54,North Of England,,,,,," 	6,051,824 "," 	5,134,803 "," 	2,707,078 "," 	3,344,503 ", 	243 ," 	1,844,123 "," 	2,009,257 "," 	722,069 "," 	559,354 ", 	52 , 	33 , 	5 , 	1 , 	53 ," 	289,137 "," 	154,611 "," 	103,773 "," 	84,430 "," 	21,413 "," 	22,655 "," 	26,455 "," 	31,836 "," 	36,668 "," 	239,144 "," 	296,793 "," 	290,018 "," 	239,900 "," 	248,168 "," 	305,242 "," 	358,806 "," 	391,444 "," 	409,945 "," 	517,435 "," 	496,434 "," 	509,595 "," 	442,787 "," 	315,618 "," 	188,555 "," 	2,250,102 "," 	14,405,678 "," 	538,161 "," 	79,753 "," 	177,581 "
Y55,Midlands And East Of England,,,,,," 	5,659,153 "," 	4,759,734 "," 	2,512,470 "," 	3,145,220 "," 	1,463 "," 	1,711,050 "," 	1,727,815 "," 	688,384 "," 	632,485 ", 	62 , 	35 , 	5 , 	1 , 	54 ," 	298,595 "," 	129,075 "," 	81,376 "," 	70,008 "," 	18,526 "," 	19,881 "," 	23,173 "," 	29,090 "," 	33,563 "," 	222,707 "," 	282,161 "," 	278,570 "," 	225,200 "," 	221,710 "," 	268,256 "," 	311,848 "," 	339,120 "," 	368,005 "," 	477,747 "," 	475,503 "," 	477,944 "," 	434,109 "," 	332,746 "," 	215,857 "," 	1,962,895 "," 	13,673,724 "," 	498,560 "," 	102,449 "," 	220,788 "
Y56,London,,,,,," 	2,898,365 "," 	2,468,557 "," 	1,296,355 "," 	1,601,384 ", 	626 ," 	813,541 "," 	974,937 "," 	306,000 "," 	374,079 ", 	51 , 	32 , 	5 , 	1 , 	48 ," 	201,837 "," 	87,938 "," 	67,532 "," 	52,512 "," 	12,487 "," 	12,366 "," 	13,364 "," 	13,656 "," 	15,847 "," 	110,983 "," 	168,463 "," 	196,080 "," 	169,046 "," 	138,253 "," 	152,653 "," 	170,179 "," 	176,595 "," 	169,375 "," 	192,176 "," 	181,093 "," 	187,699 "," 	167,731 "," 	124,240 "," 	83,919 "," 	1,021,150 "," 	7,622,381 "," 	244,102 "," 	42,571 "," 	98,451 "
Y57,South Of England,,,,,," 	4,630,131 "," 	3,888,612 "," 	2,094,758 "," 	2,535,226 ", 	147 ," 	1,396,051 "," 	1,543,603 "," 	492,015 "," 	456,943 ", 	54 , 	36 , 	5 , 	1 , 	55 ," 	241,607 "," 	100,091 "," 	64,989 "," 	54,278 "," 	14,863 "," 	15,580 "," 	18,864 "," 	22,181 "," 	25,573 "," 	162,600 "," 	203,430 "," 	214,546 "," 	181,394 "," 	177,179 "," 	216,932 "," 	252,911 "," 	281,455 "," 	295,600 "," 	397,185 "," 	397,735 "," 	399,926 "," 	375,192 "," 	293,690 "," 	199,114 "," 	1,652,824 "," 	11,592,031 "," 	420,220 "," 	74,737 "," 	118,965 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
