,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The hospital providers table contains episodes grouped according to the organisation that provided the admitted patient care (normally an NHS trust) within Clinical Commisioning Regions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Digital, Hospital Episode Statistics for England. Admitted Patient Care statistics, 2019-20.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero bed day cases §,,
Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,"20,912,276","17,202,558","9,498,494","11,403,768","10,014","6,509,586","6,386,203","2,455,895","1,850,874",60,33, 	4 ,1,54,"974,060","460,476","320,541","284,163","70,943","71,348","78,886","92,325","108,406","684,691","944,129","1,042,100","915,078","765,491","923,671","1,159,395","1,470,825","1,394,019","1,553,444","1,939,898","1,798,153","1,648,069","1,230,837","817,165","7,435,167","44,820,576","2,248,256","306,666","560,938"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y56,London,,,,,,"3,190,005","2,668,030","1,433,345","1,756,065",595,"899,505","1,031,350","382,725","354,450",55,31,4,1,50,"178,860","83,385","65,840","58,105","13,275","13,395","13,540","14,235","16,275","109,635","165,770","207,655","191,450","150,125","156,590","189,315","225,025","204,005","205,680","226,535","205,590","193,370","145,415","99,515","1,117,645","7,134,480","311,020","93,285","106,015"
Y58,South West,,,,,,"2,174,125","1,752,115","998,540","1,175,360",230,"662,890","633,710","280,660","174,855",66,35,5,1,57,"83,340","40,680","26,645","23,525","5,950","6,620","7,640","9,190","11,115","67,325","90,320","96,960","83,810","70,620","88,230","115,280","152,050","143,515","170,410","220,400","209,415","189,285","147,910","101,155","776,575","4,548,235","217,675","30,010","58,525"
Y59,South East,,,,,,"2,918,490","2,371,085","1,342,700","1,575,615",175,"954,695","917,930","262,080","236,380",60,36,5,1,56,"150,710","59,775","38,955","35,465","9,165","9,635","10,910","12,860","14,815","85,835","115,660","133,805","120,850","102,315","123,810","156,175","202,970","185,700","209,215","276,025","260,760","247,685","196,335","140,700","996,025","6,630,085","356,975","31,430","44,515"
Y60,Midlands,,,,,,"3,954,270","3,251,525","1,790,735","2,163,250",285,"1,247,865","1,145,725","506,310","351,630",61,31,4,1,55,"173,290","78,555","53,000","48,630","12,950","12,540","14,555","17,480","21,005","133,200","180,360","184,775","158,000","134,830","171,535","216,955","280,225","264,990","304,105","383,945","362,005","324,755","240,890","157,035","1,390,835","8,377,100","425,685","65,005","116,900"
Y61,East of England ,,,,,,"2,294,645","1,861,160","1,038,745","1,247,710","8,185","709,570","650,925","281,740","218,920",61,33,4,1,56,"112,885","43,880","28,050","25,170","6,440","6,730","7,895","9,430","10,835","70,095","98,425","109,140","92,350","78,945","94,735","120,205","155,980","148,160","172,600","226,595","210,505","194,520","150,480","104,795","805,605","4,787,290","229,705","21,415","71,165"
